key	field	review_value	pinned_value	status
KEGG:C02918|NNMT|ER_MonoEndoFib	q	0.5383551724137932	0.5383551724137932	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	n_specimens	61	61.0	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	ER_same_subset_rho	0.3844277473038987	0.3844277473038987	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	ER_same_subset_q	0.0534375	0.0534375	DONE
KEGG:C02918|NNMT|ER_MonoEndoFib	gene	NNMT	NNMT	DONE
KEGG:C00242|PNP|ER_PC12	rho	0.3975177521136612	0.3975177521136612	DONE
KEGG:C00242|PNP|ER_PC12	ci_lower	0.1220450787423209	0.1220450787423209	DONE
KEGG:C00242|PNP|ER_PC12	ci_upper	0.6113141818683182	0.6113141818683182	DONE
KEGG:C00242|PNP|ER_PC12	p	0.0028	0.0028	DONE
KEGG:C00242|PNP|ER_PC12	q	0.1368	0.1368	DONE
KEGG:C00242|PNP|ER_PC12	n_specimens	60	60.0	DONE
KEGG:C00242|PNP|ER_PC12	ER_same_subset_rho	0.4638239434100776	0.4638239434100776	DONE
KEGG:C00242|PNP|ER_PC12	ER_same_subset_q	0.0285	0.0285	DONE
KEGG:C00242|PNP|ER_PC12	gene	PNP	PNP	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	rho	0.3066719394929129	0.3066719394929129	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	ci_lower	0.0654400142477084	0.0654400142477084	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	ci_upper	0.5218531424067894	0.5218531424067894	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	p	0.0187	0.0187	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	q	0.3553	0.3553	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	n_specimens	60	60.0	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	ER_same_subset_rho	0.4638239434100776	0.4638239434100776	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	ER_same_subset_q	0.0285	0.0285	DONE
KEGG:C00242|PNP|ER_MonoEndoFib	gene	PNP	PNP	DONE
KEGG:C00275|PMM2|ER_PC12	rho	0.3064098723440674	0.3064098723440674	DONE
KEGG:C00275|PMM2|ER_PC12	ci_lower	-0.0114981401131545	-0.0114981401131545	DONE
KEGG:C00275|PMM2|ER_PC12	ci_upper	0.5572694497614515	0.5572694497614515	DONE
KEGG:C00275|PMM2|ER_PC12	p	0.031	0.031	DONE
KEGG:C00275|PMM2|ER_PC12	q	0.4077692307692308	0.4077692307692308	DONE
KEGG:C00275|PMM2|ER_PC12	n_specimens	51	51.0	DONE
KEGG:C00275|PMM2|ER_PC12	ER_same_subset_rho	0.2696828886037689	0.2696828886037689	DONE
KEGG:C00275|PMM2|ER_PC12	ER_same_subset_q	0.301921875	0.301921875	DONE
KEGG:C00275|PMM2|ER_PC12	gene	PMM2	PMM2	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	rho	0.2499544850843636	0.2499544850843636	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	ci_lower	-0.0609193801730607	-0.0609193801730607	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	ci_upper	0.5345160369770453	0.5345160369770453	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	p	0.0898	0.0898	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	q	0.5383551724137932	0.5383551724137932	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	n_specimens	51	51.0	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	ER_same_subset_rho	0.2696828886037689	0.2696828886037689	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	ER_same_subset_q	0.301921875	0.301921875	DONE
KEGG:C00275|PMM2|ER_MonoEndoFib	gene	PMM2	PMM2	DONE
KEGG:C00149|MDH2|ER_PC12	rho	0.0449900719995007	0.0449900719995007	DONE
KEGG:C00149|MDH2|ER_PC12	ci_lower	-0.2280214126203406	-0.2280214126203406	DONE
KEGG:C00149|MDH2|ER_PC12	ci_upper	0.3134950994327048	0.3134950994327048	DONE
KEGG:C00149|MDH2|ER_PC12	p	0.7347	0.7347	DONE
KEGG:C00149|MDH2|ER_PC12	q	0.8633157534246576	0.8633157534246576	DONE
KEGG:C00149|MDH2|ER_PC12	n_specimens	61	61.0	DONE
KEGG:C00149|MDH2|ER_PC12	ER_same_subset_rho	0.1884641169872589	0.1884641169872589	DONE
KEGG:C00149|MDH2|ER_PC12	ER_same_subset_q	0.43498125	0.43498125	DONE
KEGG:C00149|MDH2|ER_PC12	gene	MDH2	MDH2	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	rho	0.0559690224351996	0.0559690224351996	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	ci_lower	-0.2266949598706001	-0.2266949598706001	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	ci_upper	0.316168586301385	0.316168586301385	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	p	0.6862	0.6862	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	q	0.9297	0.9297	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	n_specimens	61	61.0	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	ER_same_subset_rho	0.1884641169872589	0.1884641169872589	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	ER_same_subset_q	0.43498125	0.43498125	DONE
KEGG:C00149|MDH2|ER_MonoEndoFib	gene	MDH2	MDH2	DONE
KEGG:C00148|PYCR1|ER_PC12	rho	0.2638051076295854	0.2638051076295854	DONE
KEGG:C00148|PYCR1|ER_PC12	ci_lower	-0.0273041829110624	-0.0273041829110624	DONE
KEGG:C00148|PYCR1|ER_PC12	ci_upper	0.5267682237505704	0.5267682237505704	DONE
KEGG:C00148|PYCR1|ER_PC12	p	0.0473	0.0473	DONE
KEGG:C00148|PYCR1|ER_PC12	q	0.4317750000000001	0.4317750000000001	DONE
KEGG:C00148|PYCR1|ER_PC12	n_specimens	61	61.0	DONE
KEGG:C00148|PYCR1|ER_PC12	ER_same_subset_rho	0.2933570167640607	0.2933570167640607	DONE
KEGG:C00148|PYCR1|ER_PC12	ER_same_subset_q	0.19665	0.19665	DONE
KEGG:C00148|PYCR1|ER_PC12	gene	PYCR1	PYCR1	DONE
KEGG:C00148|PYCR1|ER_MonoEndoFib	rho	0.2622782207355422	0.2622782207355422	DONE
KEGG:C00148|PYCR1|ER_MonoEndoFib	ci_lower	0.0184057753633969	0.0184057753633969	DONE
KEGG:C00148|PYCR1|ER_MonoEndoFib	ci_upper	0.5247888434516933	0.5247888434516933	DONE
KEGG:C00148|PYCR1|ER_MonoEndoFib	p	0.0529	0.0529	DONE
KEGG:C00148|PYCR1|ER_MonoEndoFib	q	0.452295	0.452295	DONE
KEGG:C00148|PYCR1|ER_MonoEndoFib	n_specimens	61	61.0	DONE
KEGG:C00148|PYCR1|ER_MonoEndoFib	ER_same_subset_rho	0.2933570167640607	0.2933570167640607	DONE
KEGG:C00148|PYCR1|ER_MonoEndoFib	ER_same_subset_q	0.19665	0.19665	DONE
KEGG:C00148|PYCR1|ER_MonoEndoFib	gene	PYCR1	PYCR1	DONE
KEGG:C00153|NAMPT|ER_PC12	rho	0.0425324927212303	0.0425324927212303	DONE
KEGG:C00153|NAMPT|ER_PC12	ci_lower	-0.2357518664912536	-0.2357518664912536	DONE
KEGG:C00153|NAMPT|ER_PC12	ci_upper	0.2856602706039354	0.2856602706039354	DONE
KEGG:C00153|NAMPT|ER_PC12	p	0.7631	0.7631	DONE
KEGG:C00153|NAMPT|ER_PC12	q	0.8700882352941176	0.8700882352941176	DONE
KEGG:C00153|NAMPT|ER_PC12	n_specimens	58	58.0	DONE
KEGG:C00153|NAMPT|ER_PC12	ER_same_subset_rho	-0.051975359060647	-0.051975359060647	DONE
KEGG:C00153|NAMPT|ER_PC12	ER_same_subset_q	0.83469375	0.83469375	DONE
KEGG:C00153|NAMPT|ER_PC12	gene	NAMPT	NAMPT	DONE
KEGG:C00153|NAMPT|ER_MonoEndoFib	rho	0.0153701960920515	0.0153701960920515	DONE
KEGG:C00153|NAMPT|ER_MonoEndoFib	ci_lower	-0.2679670806029393	-0.2679670806029393	DONE
KEGG:C00153|NAMPT|ER_MonoEndoFib	ci_upper	0.286924498141729	0.286924498141729	DONE
KEGG:C00153|NAMPT|ER_MonoEndoFib	p	0.9148	0.9148	DONE
KEGG:C00153|NAMPT|ER_MonoEndoFib	q	0.9501381818181818	0.9501381818181818	DONE
KEGG:C00153|NAMPT|ER_MonoEndoFib	n_specimens	58	58.0	DONE
KEGG:C00153|NAMPT|ER_MonoEndoFib	ER_same_subset_rho	-0.051975359060647	-0.051975359060647	DONE
KEGG:C00153|NAMPT|ER_MonoEndoFib	ER_same_subset_q	0.83469375	0.83469375	DONE
KEGG:C00153|NAMPT|ER_MonoEndoFib	gene	NAMPT	NAMPT	DONE
KEGG:C00025|BCAT1|ER_PC12	rho	0.3233231045890862	0.3233231045890862	DONE
KEGG:C00025|BCAT1|ER_PC12	ci_lower	0.0892003445981647	0.0892003445981647	DONE
KEGG:C00025|BCAT1|ER_PC12	ci_upper	0.5456033856978627	0.5456033856978627	DONE
KEGG:C00025|BCAT1|ER_PC12	p	0.0118	0.0118	DONE
KEGG:C00025|BCAT1|ER_PC12	q	0.252225	0.252225	DONE
KEGG:C00025|BCAT1|ER_PC12	n_specimens	61	61.0	DONE
KEGG:C00025|BCAT1|ER_PC12	ER_same_subset_rho	0.2099062996636585	0.2099062996636585	DONE
KEGG:C00025|BCAT1|ER_PC12	ER_same_subset_q	0.3379978723404255	0.3379978723404255	DONE
KEGG:C00025|BCAT1|ER_PC12	gene	BCAT1	BCAT1	DONE
KEGG:C00025|BCAT1|ER_MonoEndoFib	rho	0.1454576120457453	0.1454576120457453	DONE
KEGG:C00025|BCAT1|ER_MonoEndoFib	ci_lower	-0.1053762208016978	-0.1053762208016978	DONE
KEGG:C00025|BCAT1|ER_MonoEndoFib	ci_upper	0.403413321699425	0.403413321699425	DONE
KEGG:C00025|BCAT1|ER_MonoEndoFib	p	0.2824	0.2824	DONE
KEGG:C00025|BCAT1|ER_MonoEndoFib	q	0.7429447058823531	0.7429447058823531	DONE
KEGG:C00025|BCAT1|ER_MonoEndoFib	n_specimens	61	61.0	DONE
