gene	stable_gene_id	in_current_pool	history_only	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_background
UCKL1	UniProtKB:Q9NWZ5	True	False	-0.0309634000952664	0.7340862211936141	0.7781944061580373	11	NOT_SUPPORTED_THIS_TEST
UGDH	UniProtKB:O60701	False	True	0.5258871023322974	0.2379006166548026	0.3658041739960944	11	NOT_SUPPORTED_THIS_TEST
UPP1	UniProtKB:Q16831	True	False	0.2166251223975762	0.1561105322587548	0.2553596123702811	11	NOT_SUPPORTED_THIS_TEST
UPP2	UniProtKB:O95045	True	False	-0.0951267828446773	0.229900234196953	0.3360080345955468	11	NOT_SUPPORTED_THIS_TEST
USB1	UniProtKB:Q9BQ65	True	False	-0.159187031097577	0.2248799687304365	0.3315055512272763	11	NOT_SUPPORTED_THIS_TEST
UTY	UniProtKB:O14607	False	True	-0.0548047438691588	0.7075698419209663	0.7967124991708517	11	NOT_SUPPORTED_THIS_TEST
VCPKMT	UniProtKB:Q9H867	False	True	0.3965244492264282	0.003421764119843	0.0584311321184284	11	NOMINAL_EXPLORATORY
WARS1	UniProtKB:P23381	True	False	0.3472354110121644	0.0897593737544371	0.1930505332440246	11	NOT_SUPPORTED_THIS_TEST
WARS2	UniProtKB:Q9UGM6	True	False	-0.1752108482169179	0.0539332451836671	0.1387657454204768	11	NOT_SUPPORTED_THIS_TEST
XDH	UniProtKB:P47989	False	True	0.7579988118766736	0.0089585430345117	0.0686288386036706	11	NOMINAL_EXPLORATORY
ZCCHC4	UniProtKB:Q9H5U6	False	True	0.3056256750535019	0.0133103498567329	0.0702742022750811	11	NOMINAL_EXPLORATORY
