gene	stable_gene_id	in_current_pool	history_only	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_background	GSE263733__source_status	GSE263733__reason	GSE263733__display_top	GSE263733__mechanical_top	GSE263733__top_n	GSE263733__top_detection	GSE263733__bootstrap	GSE278688__source_status	GSE278688__reason	GSE278688__display_top	GSE278688__mechanical_top	GSE278688__top_n	GSE278688__top_detection	GSE278688__bootstrap	GSE242230__source_status	GSE242230__reason	GSE242230__display_top	GSE242230__mechanical_top	GSE242230__top_n	GSE242230__top_detection	GSE242230__bootstrap
AADAT	UniProtKB:Q8N5Z0	True	False	0.13386831099118	0.3477570247335529	0.4473749224436853	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.0839968606068198	0.72	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.0243375030640475	0.791	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.0284616796839034	0.759
AASS	UniProtKB:Q9UDR5	True	False	-0.5993745209815109	0.0526687366979074	0.1369387154145594	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.1368913224804418	0.586	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.1864344173694916	0.982	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.0971067185029379	0.801
ABAT	UniProtKB:P80404	True	False	-1.0301994819100253	0.0021131479659176	0.0319639403272975	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.274145028931136	0.788	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.0344253215758986	0.625	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.037558655679353	0.473
ABHD11	UniProtKB:Q8NFV4	False	True	-0.1004790672809507	0.2936580902031547	0.4207673725768321	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.6575772718692808	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.2594312133650035	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4855335152936352	0.732
ABHD12	UniProtKB:Q8N2K0	True	False	-0.2688849895141618	0.0076121038876326	0.0490225946823629	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.3410732747778219	0.751	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.3027764253526437	0.93	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.5096291063869774	0.94
ABHD16A	UniProtKB:O95870	True	False	-0.015628304209419	0.858225512329917	0.8869527261317552	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.0325087983726789	0.366	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.214094651760736	0.933	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4038238893373825	0.958
ABHD16B	UniProtKB:Q9H3Z7	True	False	-0.4533424643690726	0.0166660434044348	0.0722195214192178	11	NOMINAL_EXPLORATORY	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
ABHD2	UniProtKB:P08910	True	False	0.1605965623752218	0.5542255254346605	0.6396902092633698	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.7930099025223155	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.3610023004088956	0.998	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.4674037000845215	0.678
ABHD6	UniProtKB:Q9BV23	True	False	0.07227496456974	0.472768714912714	0.5668634591429144	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.12694923013499	0.393	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.1135545514583028	0.841	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.0710139977132921	0.948
ACAA2	UniProtKB:P42765	True	False	0.2651578435160655	0.1765112709547757	0.2794761790117282	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.5052272100513082	0.905	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.2509400658012936	0.828	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.7490515959968733	0.961
ACE2	UniProtKB:Q9BYF1	True	False	0.1892344173494891	0.4029487047439225	0.5052199496027862	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.158308200246095	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0144090889006806	0.59	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1987681906909792	0.891
ACER2	UniProtKB:Q5QJU3	True	False	-0.2123940845245365	0.1158869659288157	0.2201852352647499	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.0191986884491486	0.578	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0454716932295961	0.502	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.0534504114786905	0.928
ACLY	UniProtKB:P53396	False	True	0.5187682960700944	0.016897807122392	0.0755120755781894	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.5341204059822444	0.689	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.2289657421931709	0.624	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4334447626614043	0.905
ACO1	UniProtKB:P21399	False	True	-0.3804312510831039	0.0073170766936796	0.0627805180317716	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.4059604205694356	0.99	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.1453783276366576	0.997	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.1987550514452856	0.815
ACOT1	UniProtKB:Q86TX2	True	False	-0.1598927789761508	0.2496805435424004	0.3544315761780052	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.0108695652173913	0.54	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.0233902066740526	0.681
ACOT11	UniProtKB:Q8WXI4	True	False	0.2536963447739518	0.1410815746330699	0.2436863561843935	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.3077645489177238	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0899134666171099	0.999	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.1565052741954817	0.999
ACOT13	UniProtKB:Q9NPJ3	True	False	-0.0379213333998517	0.7220988419390246	0.7721143461425934	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.5198150152846479	0.759	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.1527556680706329	0.547	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4982963112460863	0.96
ACOT2	UniProtKB:P49753	True	False	-0.3023586672005509	0.0054619545780181	0.0435194445409835	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.1091011610292989	0.801	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.232149652673729	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.2492929244631654	0.515
ACOT4	UniProtKB:Q8N9L9	True	False	-0.0173009161208473	0.8244403782700724	0.85967181021557	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.1753796757499585	0.931	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.032639658014955	0.969	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.0913240189910427	0.558
ACOT7	UniProtKB:O00154	False	True	-0.1942545491524917	0.1820765860962743	0.3048673228327858	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.3102811036161672	0.911	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.1436771240570641	0.801	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.1516388834177806	0.889
ACOT8	UniProtKB:O14734	True	False	-0.2970008979910055	0.0233348481044833	0.0900579294032403	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.3904852654104382	0.999	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.1175576664526869	0.922	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.2534314729063304	0.701
ACOT9	UniProtKB:Q9Y305	False	True	0.6434515811073165	0.0203912263688342	0.0817554776843913	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.4077886191206342	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.288982208379838	0.771	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.2175890117493279	0.816
ACSL3	UniProtKB:O95573	False	True	0.957785199969198	0.0168972507187375	0.0755120755781894	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.652209705064255	0.959	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.3820984481440466	0.992	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.3024377965795251	0.528
ACSM1	UniProtKB:Q08AH1	True	False	-0.2480609682648273	0.0111070674402179	0.0596401229942138	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.0298951426517142	0.85	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.034366696417313	0.826	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.0593017593767218	0.947
ACSM2A	UniProtKB:Q08AH3	False	True	-0.014662194342759	0.9136298120385452	0.9490246715848328	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.0186737804878048	0.758	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
ACSM2B	UniProtKB:Q68CK6	True	False	-0.2241722335050745	0.0619707632950111	0.1512663776711788	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.0142360312164442	0.805	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
ACSM4	UniProtKB:P0C7M7	False	True	NA	NA	NA	0	NOT_EVALUABLE	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
ACY3	UniProtKB:Q96HD9	False	True	-0.3968687824263355	0.0124555989681695	0.0702742022750811	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.1583669458712247	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.083109254786855	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1786490835778692	0.927
ADA	UniProtKB:P00813	True	False	0.0635568880581509	0.7332510846555644	0.7781944061580373	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	20	0.1445424042066756	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.2194641784475689	0.83	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	21	0.0973202268167382	0.966
ADA2	UniProtKB:Q9NZK5	True	False	0.0489465506556999	0.7857431714240593	0.829395569836507	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.6706239272141884	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.367332933117408	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.4512628513838224	1.0
ADH1A	UniProtKB:P07327	False	True	-0.0572837919773217	0.7019336406279899	0.7941958468463751	11	NOT_SUPPORTED_THIS_TEST	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.0840148835838491	0.922125
ADH1B	UniProtKB:P00325	False	True	-0.3239206233507881	0.3572421252489527	0.4849901004170908	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.2931652927652501	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.1849703671530984	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.1392771575319915	0.978
ADH1C	UniProtKB:P00326	False	True	-0.3279551503534055	0.298545328827582	0.4240925366458035	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.2071402731322696	0.975	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.1291869421869712	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4736079609767765	0.956
ADH4	UniProtKB:P08319	False	True	0.0545318629944518	0.5547537462911093	0.664774740667279	11	NOT_SUPPORTED_THIS_TEST	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
ADH5	UniProtKB:P11766	False	True	0.5047590928524307	0.0531824731130206	0.1461765263654361	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.7282661752977488	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.5380504958049477	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.4614399988740442	0.573
ADH6	UniProtKB:P28332	False	True	0.1795532082775809	0.0960084914705904	0.2000112062406997	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.0633746885867915	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0161871174242051	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.057288182831661	0.635
ADH7	UniProtKB:P40394	False	True	-0.0864352643210817	0.4140793942311375	0.543241774083052	11	NOT_SUPPORTED_THIS_TEST	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
ADHFE1	UniProtKB:Q8IWW8	True	False	-0.5222293135875501	0.074790444227378	0.1681321851954083	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.0896193975379302	0.785	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	13	0.0410570154779489	0.936	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	21	0.0616764466211497	0.999
ADPRM	UniProtKB:Q3LIE5	False	True	0.0175607189237727	0.8859074394853429	0.9360943141359904	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.1144843191613215	0.83	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.0694878973617636	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.0545559666975023	0.367
AGMAT	UniProtKB:Q9BSE5	True	False	-0.0699239466786172	0.6570141141790136	0.7212554942320727	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.1085271003047835	0.722	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.0236237550139721	0.937	DONE	Descriptive donor-equal ranking;not differential expression	T/NK	T/NK	21	0.0244743251983842	0.505
AGXT	UniProtKB:P21549	True	False	-0.4525694094812134	0.0010410339895038	0.0318967003557723	11	FDR_SUPPORTED	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
AGXT2	UniProtKB:Q9BYV1	True	False	-0.2966561538394172	0.0377946350886805	0.1181680362899251	11	NOMINAL_EXPLORATORY	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
AHCY	UniProtKB:P23526	True	False	-0.43974812911883	0.0001337987322729	0.0221298125068847	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.5820203506098429	0.975	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.2885925615831244	0.944	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.5074668862150121	0.642
AIFM1	UniProtKB:O95831	False	True	-0.0051895113769363	0.9639279631862409	0.979917289589804	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.3751668684007843	0.833	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.1101802730716221	0.797	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.2275177582149096	0.939
AIFM2	UniProtKB:Q9BRQ8	False	True	-0.1660203294308108	0.0784889602714495	0.1756109461535955	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.3108452572681991	0.989	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0821513027598344	0.999	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.174683705155969	0.828
AK4	UniProtKB:P27144	True	False	1.2593824063012362	0.0140951021455245	0.0644720412952697	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.5008678608574467	0.998	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.094992445602906	0.997	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.2722803474033934	0.937
AK9	UniProtKB:Q5TCS8	True	False	-0.0554630904818773	0.5722827054526547	0.6544158715129894	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.1489426340312931	0.607	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	11	0.0544556744428644	0.777	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1053905739437973	0.898
AKR1A1	UniProtKB:P14550	True	False	-0.0546135311903564	0.7191330604711537	0.7721143461425934	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.583164697432325	0.688	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.5296736624794289	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.7280745845026204	0.818
AKR1B1	UniProtKB:P15121	True	False	0.432053129117799	0.1340814749373712	0.2365580307823621	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.3702226216891355	0.895	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.3899407938130771	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.2857178389577536	0.972
AKR1C1	UniProtKB:Q04828	False	True	0.3246617820127245	0.4613017838548632	0.5719608822940356	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.2075027069982479	0.697	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.1344175460302316	0.644	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.3838299333239363	0.95
AKR1C2	UniProtKB:P52895	False	True	0.4847221276601545	0.3906679615836499	0.5188747848897394	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.1857655674466726	0.999	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.0819747161632842	0.98	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.4729758518176809	0.962
AKR1C3	UniProtKB:P42330	False	True	0.4207937235997118	0.1979362030892499	0.3204325702841065	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.5535407699154191	0.961	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.2530701113930899	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.6259432249687122	0.946
AKR1C4	UniProtKB:P17516	False	True	-0.0923903161047272	0.2246284896695651	0.3491508045950849	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.0621193473246112	1.0	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.0836538461538461	0.949
AKR7A2	UniProtKB:O43488	True	False	-0.2810851559582362	0.0270738164782667	0.0983416569137043	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.631582533096947	0.997	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.3529483644619851	0.976	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.6849812807271579	0.959
ALDH1A1	UniProtKB:P00352	False	True	-0.8280974886978556	0.0120563034628162	0.0702742022750811	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.4209280532543265	0.885	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.292669232299675	0.582	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.7063610288872658	0.971
