gene	stable_gene_id	in_current_pool	history_only	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_background	GSE263733__source_status	GSE263733__reason	GSE263733__display_top	GSE263733__mechanical_top	GSE263733__top_n	GSE263733__top_detection	GSE263733__bootstrap	GSE278688__source_status	GSE278688__reason	GSE278688__display_top	GSE278688__mechanical_top	GSE278688__top_n	GSE278688__top_detection	GSE278688__bootstrap	GSE242230__source_status	GSE242230__reason	GSE242230__display_top	GSE242230__mechanical_top	GSE242230__top_n	GSE242230__top_detection	GSE242230__bootstrap
SLC38A2	UniProtKB:Q96QD8	False	True	0.4631624253455882	0.0047732018934277	0.0584311321184284	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	4	0.7494858778186839	0.758	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.6925482753816569	0.994	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.5542971035849596	0.423
SLC38A3	UniProtKB:Q99624	False	True	-0.887981509174021	0.022602235292378	0.0858084861984972	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.1334894090608417	0.738	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.04614261367331	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.1338341513004181	0.95
SLC38A4	UniProtKB:Q969I6	False	True	-0.5183228100679411	0.1013569682335367	0.2080485137425228	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.0664571171980242	0.578	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.0141846701676119	0.866	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.0279296260025852	0.98
SLC38A7	UniProtKB:Q9NVC3	False	True	-0.0950177516943746	0.3985563151511754	0.5260943359995516	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.148466365779354	0.72	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.0724379373159937	0.649	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.0769927589122541	0.498
SLC38A8	UniProtKB:A6NNN8	False	True	-0.3315652523046	0.0842250511763572	0.1828956891185449	11	NOT_SUPPORTED_THIS_TEST	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
SLC38A9	UniProtKB:Q8NBW4	True	False	0.1026402201201298	0.3991836097801382	0.5052199496027862	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.2286072905451451	0.891	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	13	0.1056909989708563	0.701	DONE	Descriptive donor-equal ranking;not differential expression	Endothelial	Endothelial	3	0.0884263541987871	0.315
SLC43A1	UniProtKB:O75387	True	False	-1.6112777098888047	0.0006830760983295	0.0318967003557723	11	FDR_SUPPORTED	DONE	Descriptive donor-equal ranking;not differential expression	Acinar	Acinar	4	0.3640684537361083	0.785	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.1031500495562764	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.0998343720800652	0.705
SLC43A2	UniProtKB:Q8N370	True	False	-0.1573721553989855	0.2092718855677289	0.3190750354026485	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.660166864879643	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.32414794303852	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.2652970082650574	1.0
SLC45A4	UniProtKB:Q5BKX6	True	False	-0.3927413079442553	0.0281830295489379	0.1005301231846563	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	18	0.3972204366203289	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Ductal (unresolved)	Ductal (unresolved)	12	0.1771716914774402	0.994	DONE	Descriptive donor-equal ranking;not differential expression	Normal epithelial (author)	Normal epithelial (author)	6	0.2876363634422105	0.942
SLC5A12	UniProtKB:Q1EHB4	False	True	0.0048351222273399	0.9230326637761304	0.9541711150842408	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.0122594868466414	0.851	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	DONE	Descriptive donor-equal ranking;not differential expression	Malignant (author)	Malignant (author)	23	0.0119333519291469	1.0
SLC5A8	UniProtKB:Q8N695	True	False	-0.1271010521653228	0.1221888108364354	0.2252286289298474	11	NOT_SUPPORTED_THIS_TEST	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
SLC6A1	UniProtKB:P30531	True	False	-0.056787520123559	0.4684940093033078	0.5644781477947173	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	11	0.0132758168711397	0.987	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	13	0.0374128058690598	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Fibroblast/CAF	Fibroblast/CAF	7	0.0359757021194897	0.979
SLC6A11	UniProtKB:P48066	True	False	-0.2091794073430682	0.0221570979932197	0.0868698921321474	11	NOMINAL_EXPLORATORY	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
SLC6A12	UniProtKB:P48065	True	False	-0.2687792894665554	0.0129128708461238	0.0644720412952697	11	NOMINAL_EXPLORATORY	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.037573722101703	0.998	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	13	0.0195916639103587	1.0	DONE	Descriptive donor-equal ranking;not differential expression	Myeloid	Myeloid	20	0.0229328157658325	0.997
SLC6A13	UniProtKB:Q9NSD5	True	False	-0.2605071113211037	0.0992304248914782	0.1967681513324342	11	NOT_SUPPORTED_THIS_TEST	DONE	Descriptive donor-equal ranking;not differential expression	B/Plasma	B/Plasma	17	0.0039265541733453	0.523	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	暂不可定位	NOT_EVALUABLE	NA	NA	NA
