cancer	cohort	relation_id	metabolite_key	stable_gene_id	gene	relation_type	metabolite_role	reaction_id	reaction_text	organism	evidence_id	source_url	evidence_level	mapping_status	identity_status	compound_specificity	added_or_reused	mapping_version	reason	metabolite_name	in_original42_relation_pool	legacy_relation_id	annotation_evidence
PDAC	CAMP_PDAC_GSE62452	1130a169b391ac63	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:O75907	DGAT1	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:37915	1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoyl-CoA = 1,2-di-(9Z-octadecenoyl)-glycerol + CoA	Homo sapiens	paired51_v2_evidence_row_11	https://www.uniprot.org/uniprotkb/O75907/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	1130a169b391ac63	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""28420705""}]"
PDAC	CAMP_PDAC_GSE62452	f566ce42ca76125d	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q96PD7	DGAT2	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:37915	1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoyl-CoA = 1,2-di-(9Z-octadecenoyl)-glycerol + CoA	Homo sapiens	paired51_v2_evidence_row_34	https://www.uniprot.org/uniprotkb/Q96PD7/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	f566ce42ca76125d	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""28420705""}]"
PDAC	CAMP_PDAC_GSE62452	7e19ac8b667d54c4	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q6ZPD8	DGAT2L6	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:37915	1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoyl-CoA = 1,2-di-(9Z-octadecenoyl)-glycerol + CoA	Homo sapiens	paired51_v2_evidence_row_27	https://www.uniprot.org/uniprotkb/Q6ZPD8/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	7e19ac8b667d54c4	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""28420705""}]"
PDAC	CAMP_PDAC_GSE62452	3145f9f521238ebf	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:P38571	LIPA	DIRECT_REACTION	WRITTEN_RIGHT_PRODUCT	RHEA:40967	1,2-di-(9Z-octadecenoyl)-glycerol + H2O = 1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoate + H(+)	Homo sapiens	paired51_v2_evidence_row_15	https://www.uniprot.org/uniprotkb/P38571/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	3145f9f521238ebf	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""7204383""}]"
PDAC	CAMP_PDAC_GSE62452	3145f9f521238ebf	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:P38571	LIPA	DIRECT_REACTION	WRITTEN_RIGHT_PRODUCT	RHEA:39939	1,3-di-(9Z-octadecenoyl)-glycerol + H2O = 1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoate + H(+)	Homo sapiens	paired51_v2_evidence_row_16	https://www.uniprot.org/uniprotkb/P38571/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	3145f9f521238ebf	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""7204383""}]"
PDAC	CAMP_PDAC_GSE62452	cd1df0f8564eb6dc	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q99685	MGLL	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:38487	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	Homo sapiens	paired51_v2_evidence_row_35	https://www.uniprot.org/uniprotkb/Q99685/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	cd1df0f8564eb6dc	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""20079333""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""22969151""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""24368842""}]"
PDAC	CAMP_PDAC_GSE62452	b7a4359c12bf4aaa	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q3SYC2	MOGAT2	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:37915	1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoyl-CoA = 1,2-di-(9Z-octadecenoyl)-glycerol + CoA	Homo sapiens	paired51_v2_evidence_row_23	https://www.uniprot.org/uniprotkb/Q3SYC2/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	b7a4359c12bf4aaa	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""12621063""}]"
PDAC	CAMP_PDAC_GSE62452	badc9656f792e221	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:P54317	PNLIPRP2	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:38487	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	Homo sapiens	paired51_v2_evidence_row_20	https://www.uniprot.org/uniprotkb/P54317/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	badc9656f792e221	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17401110""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""18702514""}]"
PDAC	CAMP_PDAC_GSE62452	4778c1ad986b531b	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q96AD5	PNPLA2	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:38331	1-(9Z-octadecenoyl)-glycerol + 1,3-di-(9Z-octadecenoyl)-glycerol = 1,2,3-tri-(9Z-octadecenoyl)-glycerol + glycerol	Homo sapiens	paired51_v2_evidence_row_30	https://www.uniprot.org/uniprotkb/Q96AD5/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	4778c1ad986b531b	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""15364929""}]"
PDAC	CAMP_PDAC_GSE62452	4778c1ad986b531b	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q96AD5	PNPLA2	DIRECT_REACTION	WRITTEN_LEFT_SUBSTRATE	RHEA:38327	1-(9Z-octadecenoyl)-glycerol + 1,2-di-(9Z-octadecenoyl)-glycerol = 1,2,3-tri-(9Z-octadecenoyl)-glycerol + glycerol	Homo sapiens	paired51_v2_evidence_row_31	https://www.uniprot.org/uniprotkb/Q96AD5/entry	HUMAN_EXPERIMENTAL_ANNOTATION	DIRECT	ANNOTATION_COMPATIBLE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	REUSED_PAIRED51_V2	PDAC_paired51_mapping_v2	Exact human experimental annotation; source chemistry inherited	1-oleoylglycerol (1-monoolein)	False	4778c1ad986b531b	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""15364929""}]"
