group	n_donors	n_cells	mean_expression	median_expression	expression_q25	expression_q75	mean_detection_fraction	median_pseudobulk_CPM
normal_reference	10	16138	0.23644514756435372	0.22785076837586268	0.18232035596824797	0.26954100386020513	0.1832506701047766	49.75587905728824
tumor_CNA	9	4477	0.3457079715649869	0.33528387830825473	0.253039402716269	0.42189506024421625	0.3431208492039566	54.355431321912526
tumor_CNN	11	7885	0.20708875062839818	0.1974745635740424	0.1713621193453623	0.2638047135801898	0.16225817955869318	38.36477756049416
