cohort	gene	matrix_label	method
GSE263733	SETD5	SETD5	EXACT_CANONICAL
GSE263733	SETD6	SETD6	EXACT_CANONICAL
GSE263733	SETD7	SETD7	EXACT_CANONICAL
GSE263733	SETDB1	SETDB1	EXACT_CANONICAL
GSE263733	SETDB2	SETDB2	EXACT_CANONICAL
GSE263733	SETMAR	SETMAR	EXACT_CANONICAL
GSE263733	SLC13A2	SLC13A2	EXACT_CANONICAL
GSE263733	SLC13A3	SLC13A3	EXACT_CANONICAL
GSE263733	SLC15A1	SLC15A1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC15A2	SLC15A2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC16A1	SLC16A1	EXACT_CANONICAL
GSE263733	SLC16A10	SLC16A10	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC16A11	SLC16A11	EXACT_CANONICAL
GSE263733	SLC16A3	SLC16A3	EXACT_CANONICAL
GSE263733	SLC16A6	SLC16A6	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC16A7	SLC16A7	EXACT_CANONICAL
GSE263733	SLC22A1	SLC22A1	EXACT_CANONICAL
GSE263733	SLC22A2	SLC22A2	EXACT_CANONICAL
GSE263733	SLC22A7	SLC22A7	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC22A8	SLC22A8	EXACT_CANONICAL
GSE263733	SLC25A11	SLC25A11	EXACT_CANONICAL
GSE263733	SLC25A15	SLC25A15	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC25A2	SLC25A2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC25A20	SLC25A20	EXACT_CANONICAL
GSE263733	SLC25A21	SLC25A21	EXACT_CANONICAL
GSE263733	SLC25A26	SLC25A26	EXACT_CANONICAL
GSE263733	SLC25A29	SLC25A29	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC25A36	SLC25A36	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC25A44	SLC25A44	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC28A1	SLC28A1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC28A2	SLC28A2	EXACT_CANONICAL
GSE263733	SLC28A3	SLC28A3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC29A1	SLC29A1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC29A2	SLC29A2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC29A3	SLC29A3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC32A1	SLC32A1	EXACT_CANONICAL
GSE263733	SLC36A1	SLC36A1	EXACT_CANONICAL
GSE263733	SLC36A2	SLC36A2	EXACT_CANONICAL
GSE263733	SLC36A4	SLC36A4	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC38A10	SLC38A10	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC38A2	SLC38A2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC38A8	SLC38A8	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC38A9	SLC38A9	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC43A1	SLC43A1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC43A2	SLC43A2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC45A4	SLC45A4	EXACT_CANONICAL
GSE263733	SLC5A12	SLC5A12	EXACT_CANONICAL
GSE263733	SLC5A8	SLC5A8	EXACT_CANONICAL
GSE263733	SLC6A1	SLC6A1	EXACT_CANONICAL
GSE263733	SLC6A11	SLC6A11	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC6A12	SLC6A12	EXACT_CANONICAL
GSE263733	SLC6A13	SLC6A13	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC6A14	SLC6A14	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC6A15	SLC6A15	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC6A17	SLC6A17	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC6A19	SLC6A19	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC6A20	SLC6A20	EXACT_CANONICAL
GSE263733	SLC6A6	SLC6A6	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC6A7	SLC6A7	EXACT_CANONICAL
GSE263733	SLC7A1	SLC7A1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC7A13	SLC7A13	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC7A14	SLC7A14	EXACT_CANONICAL
GSE263733	SLC7A2	SLC7A2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC7A3	SLC7A3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC7A5	SLC7A5	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC7A6	SLC7A6	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC7A7	SLC7A7	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC7A8	SLC7A8	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLC7A9	SLC7A9	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SLCO3A1	SLCO3A1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SMYD1	SMYD1	EXACT_CANONICAL
GSE263733	SMYD2	SMYD2	EXACT_CANONICAL
GSE263733	SMYD3	SMYD3	EXACT_CANONICAL
GSE263733	SMYD4	SMYD4	EXACT_CANONICAL
GSE263733	SMYD5	SMYD5	EXACT_CANONICAL
GSE263733	SPOUT1	C9orf114	UNIQUE_REVIEWED_ALIAS
GSE263733	SRM	SRM	EXACT_CANONICAL
GSE263733	SRR	SRR	EXACT_CANONICAL
GSE263733	SUV39H1	SUV39H1	EXACT_CANONICAL
GSE263733	SUV39H2	SUV39H2	EXACT_CANONICAL
GSE263733	TARBP1	TARBP1	EXACT_CANONICAL
GSE263733	TAT	TAT	EXACT_CANONICAL
GSE263733	TDO2	TDO2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	TET1	TET1	EXACT_CANONICAL
GSE263733	TET2	TET2	EXACT_CANONICAL
GSE263733	TET3	TET3	EXACT_CANONICAL
GSE263733	TFB1M	TFB1M	EXACT_CANONICAL
GSE263733	TFB2M	TFB2M	EXACT_CANONICAL
GSE263733	TGS1	TGS1	EXACT_CANONICAL
GSE263733	THEM4	THEM4	EXACT_CANONICAL
GSE263733	THUMPD2	THUMPD2	EXACT_CANONICAL
GSE263733	THUMPD3	THUMPD3	EXACT_CANONICAL
GSE263733	TK1	TK1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	TK2	TK2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	TKFC	TKFC	EXACT_CANONICAL
GSE263733	TMEM68	TMEM68	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	TMEM86A	TMEM86A	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	TMEM86B	TMEM86B	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	TMLHE	TMLHE	EXACT_CANONICAL
GSE263733	TMT1A	METTL7A	UNIQUE_REVIEWED_ALIAS
GSE263733	TMT1B	METTL7B	UNIQUE_REVIEWED_ALIAS
GSE263733	TOMT	LRTOMT	UNIQUE_REVIEWED_ALIAS
GSE263733	TPH1	TPH1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	TPH2	TPH2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	TPMT	TPMT	EXACT_CANONICAL
GSE263733	TRDMT1	TRDMT1	EXACT_CANONICAL
GSE263733	TRMO	TRMO	EXACT_CANONICAL
GSE263733	TRMT1	TRMT1	EXACT_CANONICAL
GSE263733	TRMT10A	TRMT10A	EXACT_CANONICAL
GSE263733	TRMT10B	TRMT10B	EXACT_CANONICAL
GSE263733	TRMT10C	TRMT10C	EXACT_CANONICAL
GSE263733	TRMT11	TRMT11	EXACT_CANONICAL
GSE263733	TRMT13	TRMT13	EXACT_CANONICAL
GSE263733	TRMT1L	TRMT1L	EXACT_CANONICAL
GSE263733	TRMT2A	TRMT2A	EXACT_CANONICAL
GSE263733	TRMT2B	TRMT2B	EXACT_CANONICAL
GSE263733	TRMT44	TRMT44	EXACT_CANONICAL
GSE263733	TRMT5	TRMT5	EXACT_CANONICAL
GSE263733	TRMT61A	TRMT61A	EXACT_CANONICAL
GSE263733	TRMT61B	TRMT61B	EXACT_CANONICAL
GSE263733	TYMP	TYMP	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	TYW1	TYW1	EXACT_CANONICAL
GSE263733	TYW1B	TYW1B	EXACT_CANONICAL
GSE263733	TYW3	TYW3	EXACT_CANONICAL
GSE263733	TYW5	TYW5	EXACT_CANONICAL
GSE263733	UCK1	UCK1	EXACT_CANONICAL
GSE263733	UCK2	UCK2	EXACT_CANONICAL
GSE263733	UCKL1	UCKL1	EXACT_CANONICAL
GSE263733	UPP1	UPP1	EXACT_CANONICAL
GSE263733	UPP2	UPP2	EXACT_CANONICAL
GSE263733	USB1	USB1	EXACT_CANONICAL
GSE263733	UTY	UTY	EXACT_CANONICAL
GSE263733	VCPKMT	VCPKMT	EXACT_CANONICAL
GSE263733	WARS1	WARS	UNIQUE_REVIEWED_ALIAS
GSE263733	WARS2	WARS2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ZCCHC4	ZCCHC4	EXACT_CANONICAL
GSE278688	AADAT	AADAT	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AASS	AASS	EXACT_CANONICAL
GSE278688	ABAT	ABAT	EXACT_CANONICAL
GSE278688	ABHD11	ABHD11	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ABHD12	ABHD12	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ABHD16A	ABHD16A	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ABHD16B	ABHD16B	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ABHD2	ABHD2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ABHD6	ABHD6	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ACAA2	ACAA2	EXACT_CANONICAL
GSE278688	ACE2	ACE2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ACER2	ACER2	EXACT_CANONICAL
GSE278688	ACOT1	ACOT1	EXACT_CANONICAL
GSE278688	ACOT11	ACOT11	EXACT_CANONICAL
GSE278688	ACOT13	ACOT13	EXACT_CANONICAL
GSE278688	ACOT2	ACOT2	EXACT_CANONICAL
GSE278688	ACOT4	ACOT4	EXACT_CANONICAL
GSE278688	ACOT7	ACOT7	EXACT_CANONICAL
GSE278688	ACOT8	ACOT8	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ACOT9	ACOT9	EXACT_CANONICAL
GSE278688	ACSL3	ACSL3	EXACT_CANONICAL
GSE278688	ACSM1	ACSM1	EXACT_CANONICAL
GSE278688	ACSM2A	ACSM2A	EXACT_CANONICAL
GSE278688	ACSM2B	ACSM2B	EXACT_CANONICAL
GSE278688	ACSM4	ACSM4	EXACT_CANONICAL
GSE278688	ACY3	ACY3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ADA	ADA	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ADA2	ADA2	EXACT_CANONICAL
GSE278688	ADHFE1	ADHFE1	EXACT_CANONICAL
GSE278688	AGMAT	AGMAT	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AGXT	AGXT	EXACT_CANONICAL
GSE278688	AGXT2	AGXT2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AHCY	AHCY	EXACT_CANONICAL
GSE278688	AK4	AK4	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AK9	AK9	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AKR1A1	AKR1A1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AKR1B1	AKR1B1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AKR7A2	AKR7A2	EXACT_CANONICAL
GSE278688	ALDH1A1	ALDH1A1	EXACT_CANONICAL
GSE278688	ALDH2	ALDH2	EXACT_CANONICAL
GSE278688	ALDH3A2	ALDH3A2	EXACT_CANONICAL
GSE278688	ALDH9A1	ALDH9A1	EXACT_CANONICAL
GSE278688	ALKBH1	ALKBH1	EXACT_CANONICAL
GSE278688	ALKBH2	ALKBH2	EXACT_CANONICAL
GSE278688	ALKBH3	ALKBH3	EXACT_CANONICAL
GSE278688	ALKBH4	ALKBH4	EXACT_CANONICAL
GSE278688	ALKBH5	ALKBH5	EXACT_CANONICAL
GSE278688	ALKBH7	ALKBH7	EXACT_CANONICAL
GSE278688	ALKBH8	ALKBH8	EXACT_CANONICAL
GSE278688	ANTKMT	ANTKMT	EXACT_CANONICAL
GSE278688	AOC1	AOC1	EXACT_CANONICAL
GSE278688	AQP1	AQP1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AQP10	AQP10	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AQP11	AQP11	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AQP2	AQP2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AQP3	AQP3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AQP7	AQP7	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AQP7B	NA	MISSING_OR_AMBIGUOUS
GSE278688	AQP9	AQP9	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ARG1	ARG1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ARG2	ARG2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	AS3MT	AS3MT	EXACT_CANONICAL
GSE278688	ASAH1	ASAH1	EXACT_CANONICAL
GSE278688	ASAH2	ASAH2	EXACT_CANONICAL
GSE278688	ASH1L	ASH1L	EXACT_CANONICAL
GSE278688	ASMT	ASMT	EXACT_CANONICAL
GSE278688	ASPG	ASPG	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ASPH	ASPH	EXACT_CANONICAL
GSE278688	ATP13A3	ATP13A3	EXACT_CANONICAL
GSE278688	ATP13A4	ATP13A4	EXACT_CANONICAL
GSE278688	ATPSCKMT	ATPSCKMT	EXACT_CANONICAL
GSE278688	AWAT2	NA	MISSING_OR_AMBIGUOUS
GSE278688	BAAT	BAAT	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	BBOX1	BBOX1	EXACT_CANONICAL
GSE278688	BCAT1	BCAT1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	BCAT2	BCAT2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	BCDIN3D	BCDIN3D	EXACT_CANONICAL
GSE278688	BEST1	BEST1	EXACT_CANONICAL
GSE278688	BUD23	BUD23	EXACT_CANONICAL
GSE278688	CAMKMT	CAMKMT	EXACT_CANONICAL
GSE278688	CARM1	CARM1	EXACT_CANONICAL
GSE278688	CARNMT1	CARNMT1	EXACT_CANONICAL
GSE278688	CARNS1	CARNS1	EXACT_CANONICAL
GSE278688	CDA	CDA	EXACT_CANONICAL
GSE278688	CDK5RAP1	CDK5RAP1	EXACT_CANONICAL
GSE278688	CDKAL1	CDKAL1	EXACT_CANONICAL
GSE278688	CEL	CEL	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	CES1	CES1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	CES2	CES2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	CISD1	CISD1	EXACT_CANONICAL
GSE278688	CLYBL	CLYBL	EXACT_CANONICAL
GSE278688	CMPK1	CMPK1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	CMPK2	CMPK2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	CMTR1	CMTR1	EXACT_CANONICAL
GSE278688	CMTR2	CMTR2	EXACT_CANONICAL
GSE278688	CNDP1	CNDP1	EXACT_CANONICAL
GSE278688	CNDP2	CNDP2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	COMT	COMT	EXACT_CANONICAL
GSE278688	COQ3	COQ3	EXACT_CANONICAL
GSE278688	COQ5	COQ5	EXACT_CANONICAL
GSE278688	CRAT	CRAT	EXACT_CANONICAL
GSE278688	CRYM	CRYM	EXACT_CANONICAL
GSE278688	CSAD	CSAD	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	CSKMT	CSKMT	EXACT_CANONICAL
GSE278688	CTH	CTH	EXACT_CANONICAL
GSE278688	CYP2E1	CYP2E1	EXACT_CANONICAL
GSE278688	CYP4A11	CYP4A11	EXACT_CANONICAL
GSE278688	CYP4B1	CYP4B1	EXACT_CANONICAL
GSE278688	CYP4F11	CYP4F11	EXACT_CANONICAL
GSE278688	CYP4V2	CYP4V2	EXACT_CANONICAL
GSE278688	CYP4Z1	CYP4Z1	EXACT_CANONICAL
GSE278688	D2HGDH	D2HGDH	EXACT_CANONICAL
GSE278688	DAGLA	DAGLA	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DAGLB	DAGLB	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DAO	DAO	EXACT_CANONICAL
GSE278688	DCK	DCK	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DCPH1	ARMT1	UNIQUE_REVIEWED_ALIAS
GSE278688	DCTD	DCTD	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DCTPP1	DCTPP1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DDHD2	DDHD2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DDO	DDO	EXACT_CANONICAL
GSE278688	DGAT1	DGAT1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DGAT2	DGAT2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DGAT2L6	DGAT2L6	EXACT_CANONICAL
GSE278688	DGKA	DGKA	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DGKB	DGKB	EXACT_CANONICAL
GSE278688	DGUOK	DGUOK	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DIMT1	DIMT1	EXACT_CANONICAL
GSE278688	DNMT1	DNMT1	EXACT_CANONICAL
GSE278688	DNMT3A	DNMT3A	EXACT_CANONICAL
GSE278688	DNMT3B	DNMT3B	EXACT_CANONICAL
GSE278688	DOT1L	DOT1L	EXACT_CANONICAL
GSE278688	DPEP1	DPEP1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	DPH5	DPH5	EXACT_CANONICAL
GSE278688	EEF1AKMT1	EEF1AKMT1	EXACT_CANONICAL
GSE278688	EEF1AKMT2	EEF1AKMT2	EXACT_CANONICAL
GSE278688	EEF1AKMT3	EEF1AKMT3	EXACT_CANONICAL
GSE278688	EEF1AKMT4	EEF1AKMT4	EXACT_CANONICAL
GSE278688	EEF2KMT	EEF2KMT	EXACT_CANONICAL
GSE278688	EGLN1	EGLN1	EXACT_CANONICAL
GSE278688	EGLN2	EGLN2	EXACT_CANONICAL
GSE278688	EGLN3	EGLN3	EXACT_CANONICAL
GSE278688	EHMT1	EHMT1	EXACT_CANONICAL
GSE278688	EHMT2	EHMT2	EXACT_CANONICAL
GSE278688	EMG1	EMG1	EXACT_CANONICAL
GSE278688	ENPP6	ENPP6	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	EPHX1	EPHX1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	ETFBKMT	ETFBKMT	EXACT_CANONICAL
GSE278688	EZH1	EZH1	EXACT_CANONICAL
GSE278688	EZH2	EZH2	EXACT_CANONICAL
GSE278688	FAAH	FAAH	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	FAHD1	FAHD1	EXACT_CANONICAL
GSE278688	FBL	FBL	EXACT_CANONICAL
GSE278688	FBLL1	FBLL1	EXACT_CANONICAL
GSE278688	FMO1	FMO1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	FMO3	FMO3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	FTO	FTO	EXACT_CANONICAL
GSE278688	FTSJ1	FTSJ1	EXACT_CANONICAL
GSE278688	FTSJ3	FTSJ3	EXACT_CANONICAL
GSE278688	GAD1	GAD1	EXACT_CANONICAL
GSE278688	GAD2	GAD2	EXACT_CANONICAL
GSE278688	GADL1	GADL1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GAMT	GAMT	EXACT_CANONICAL
GSE278688	GATM	GATM	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GDPD2	GDPD2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GDPD3	GDPD3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GDPD5	GDPD5	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GGCT	GGCT	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GGT1	GGT1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GGT5	GGT5	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GK	GK	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GK2	GK2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GK3	GK3P	UNIQUE_REVIEWED_ALIAS
GSE278688	GK5	GK5	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GLUD1	GLUD1	EXACT_CANONICAL
GSE278688	GLUD2	GLUD2	EXACT_CANONICAL
GSE278688	GNMT	GNMT	EXACT_CANONICAL
GSE278688	GOT1	GOT1	EXACT_CANONICAL
GSE278688	GOT1L1	GOT1L1	EXACT_CANONICAL
GSE278688	GOT2	GOT2	EXACT_CANONICAL
GSE278688	GPCPD1	GPCPD1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	GPT	GPT	EXACT_CANONICAL
GSE278688	GPT2	GPT2	EXACT_CANONICAL
GSE278688	HAO1	HAO1	EXACT_CANONICAL
GSE278688	HAO2	HAO2	EXACT_CANONICAL
GSE278688	HDAC10	HDAC10	EXACT_CANONICAL
GSE278688	HEMK1	HEMK1	EXACT_CANONICAL
GSE278688	HEMK2	N6AMT1	UNIQUE_REVIEWED_ALIAS
GSE278688	HENMT1	HENMT1	EXACT_CANONICAL
GSE278688	HIF1AN	HIF1AN	EXACT_CANONICAL
GSE278688	HNMT	HNMT	EXACT_CANONICAL
GSE278688	HOGA1	HOGA1	EXACT_CANONICAL
GSE278688	HPD	HPD	EXACT_CANONICAL
GSE278688	HR	HR	EXACT_CANONICAL
GSE278688	ICMT	ICMT	EXACT_CANONICAL
GSE278688	IDH1	IDH1	EXACT_CANONICAL
GSE278688	IDH2	IDH2	EXACT_CANONICAL
GSE278688	IDH3A	IDH3A	EXACT_CANONICAL
GSE278688	IDO1	IDO1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	IDO2	IDO2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	IL4I1	IL4I1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	IMPA1	IMPA1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	IMPA2	IMPA2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	INMT	INMT	EXACT_CANONICAL
GSE278688	JMJD4	JMJD4	EXACT_CANONICAL
GSE278688	JMJD6	JMJD6	EXACT_CANONICAL
GSE278688	JMJD7	JMJD7	EXACT_CANONICAL
GSE278688	KDM1A	KDM1A	EXACT_CANONICAL
GSE278688	KDM2A	KDM2A	EXACT_CANONICAL
GSE278688	KDM2B	KDM2B	EXACT_CANONICAL
GSE278688	KDM3A	KDM3A	EXACT_CANONICAL
GSE278688	KDM3B	KDM3B	EXACT_CANONICAL
GSE278688	KDM4A	KDM4A	EXACT_CANONICAL
GSE278688	KDM4B	KDM4B	EXACT_CANONICAL
GSE278688	KDM4C	KDM4C	EXACT_CANONICAL
GSE278688	KDM4D	KDM4D	EXACT_CANONICAL
GSE278688	KDM4E	NA	MISSING_OR_AMBIGUOUS
GSE278688	KDM4F	KDM4F	EXACT_CANONICAL
GSE278688	KDM5A	KDM5A	EXACT_CANONICAL
GSE278688	KDM5B	KDM5B	EXACT_CANONICAL
GSE278688	KDM5C	KDM5C	EXACT_CANONICAL
GSE278688	KDM5D	KDM5D	EXACT_CANONICAL
GSE278688	KDM6A	KDM6A	EXACT_CANONICAL
GSE278688	KDM6B	KDM6B	EXACT_CANONICAL
GSE278688	KDM7A	KDM7A	EXACT_CANONICAL
GSE278688	KDM8	KDM8	EXACT_CANONICAL
GSE278688	KMT2A	KMT2A	EXACT_CANONICAL
GSE278688	KMT2B	KMT2B	EXACT_CANONICAL
GSE278688	KMT2C	KMT2C	EXACT_CANONICAL
GSE278688	KMT2D	KMT2D	EXACT_CANONICAL
GSE278688	KMT5A	KMT5A	EXACT_CANONICAL
GSE278688	KMT5B	KMT5B	EXACT_CANONICAL
GSE278688	KMT5C	KMT5C	EXACT_CANONICAL
GSE278688	KYAT1	KYAT1	EXACT_CANONICAL
GSE278688	KYAT3	KYAT3	EXACT_CANONICAL
GSE278688	L2HGDH	L2HGDH	EXACT_CANONICAL
GSE278688	LACC1	LACC1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	LARS1	LARS	UNIQUE_REVIEWED_ALIAS
GSE278688	LARS2	LARS2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	LCMT1	LCMT1	EXACT_CANONICAL
GSE278688	LCMT2	LCMT2	EXACT_CANONICAL
GSE278688	LDHA	LDHA	EXACT_CANONICAL
GSE278688	LDHAL6A	LDHAL6A	EXACT_CANONICAL
GSE278688	LDHAL6B	LDHAL6B	EXACT_CANONICAL
GSE278688	LDHB	LDHB	EXACT_CANONICAL
GSE278688	LDHC	LDHC	EXACT_CANONICAL
GSE278688	LDHD	LDHD	EXACT_CANONICAL
GSE278688	LIPA	LIPA	EXACT_CANONICAL
GSE278688	LIPC	LIPC	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	LIPE	LIPE	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	LRRC8A	LRRC8A	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	LRRC8B	LRRC8B	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	LRRC8C	LRRC8C	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	LRRC8D	LRRC8D	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	LRRC8E	LRRC8E	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	LYPLA1	LYPLA1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	LYPLA2	LYPLA2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE278688	MBLAC2	MBLAC2	EXACT_CANONICAL
GSE278688	MDH1	MDH1	EXACT_CANONICAL
GSE278688	ME1	ME1	EXACT_CANONICAL
GSE278688	ME2	ME2	EXACT_CANONICAL
GSE278688	ME3	ME3	EXACT_CANONICAL
GSE278688	MECOM	MECOM	EXACT_CANONICAL
GSE278688	MEPCE	MEPCE	EXACT_CANONICAL
GSE278688	METTL1	METTL1	EXACT_CANONICAL
GSE278688	METTL13	METTL13	EXACT_CANONICAL
GSE278688	METTL15	METTL15	EXACT_CANONICAL
