cohort	gene	top_celltype	second_celltype	mean_expression	detection_fraction	donor_count	bootstrap_top_frequency	bootstrap_valid_draws	eligible_categories	seed
GSE263733	ACOT11	Epithelial/Ductal	Myeloid	2.5296649005343848	0.30776454891772376	18	1.0	1000	Acinar;B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ACOT13	Myeloid	Epithelial/Ductal	3.6076707860956594	0.2750631536195305	20	0.623	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ACOT2	Endothelial	T/NK	2.1017054859634126	0.10910116102929893	4	0.978	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ACOT4	Epithelial/Ductal	T/NK	1.9192197875706742	0.17537967574995852	18	0.737	1000	Acinar;B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ACOT7	Epithelial/Ductal	T/NK	2.79941880482825	0.3102811036161672	18	0.718	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ACOT8	Epithelial/Ductal	Fibroblast/CAF	2.910813805686283	0.39048526541043826	18	0.891	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ACOT9	Myeloid	Fibroblast/CAF	3.9129010954038286	0.4077886191206341	20	0.981	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ACSL3	Epithelial/Ductal	Fibroblast/CAF	4.0794758955267225	0.652209705064255	18	0.936	1000	Acinar;B/Plasma;Endothelial;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ACSM1	Epithelial/Ductal	B/Plasma	0.569944810179058	0.029895142651714248	18	0.99	1000	B/Plasma;Epithelial/Ductal;Fibroblast/CAF;Myeloid;T/NK	1027977293
GSE263733	ACSM2A	Myeloid	Epithelial/Ductal	0.0641931868394574	0.0012522059593211598	20	0.889	1000	Epithelial/Ductal;Myeloid;T/NK	1027977293
