cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	feature_id	normal_label_conflict	original_cohort_q	statistics_reused	family_n_planned	historical_status	current_status	current_reason
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	NAME:PS(18:1/0:0)	PS(18:1/0:0)	NA	author_case	74.0	6.0	Hedges_g_preserved	0.501188188293536	-0.334402167370183	1.33677854395725	0.0474867690809413	0.069100593406459	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:f5e9b2b9ae52ef6b	True	0.0691005934064591	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB12390	PS(18:1/18:1)	NA	author_case	74.0	6.0	Hedges_g_preserved	-1.72671933645924	-2.60065722199945	-0.85278145091902	0.0004849168843866	0.0013683686980463	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:f9936bcaca43d231	True	0.0013683686980464	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB12391	PS(18:1/18:2)	NA	author_case	74.0	6.0	Hedges_g_preserved	-0.01129142597704	-0.843266931245289	0.820684079291209	0.949023325653989	0.9531257319608506	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:ff4a6becfb7b7611	True	0.953125731960851	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB0112393	PS(18:1/20:1)	NA	author_case	74.0	6.0	Hedges_g_preserved	-1.12933198543579	-1.97950979724189	-0.279154173629703	0.0046354507631477	0.0088761241261372	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:12dda00860c1386d	True	0.0088761241261373	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB12394	PS(18:1/20:4)	NA	author_case	74.0	6.0	Hedges_g_preserved	-1.12142672330439	-1.97135325286852	-0.271500193740262	0.0028208323728437	0.0057664084351724	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:271e7087ae01fc0f	True	0.0057664084351725	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB12395	PS(18:1/22:6)	NA	author_case	74.0	6.0	Hedges_g_preserved	-0.718833802964253	-1.55823041736734	0.120562811438831	0.0586778359370215	0.0834683332672385	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:384e652a68f6ff59	True	0.0834683332672386	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB0112564	PS(20:1/22:6)	NA	author_case	74.0	6.0	Hedges_g_preserved	0.370604145727125	-0.463349025645483	1.20455731709973	0.319474249543763	0.3614894567137874	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:fca62a248ef67ed7	True	0.361489456713787	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB12439	PS(20:4/22:6)	NA	author_case	74.0	6.0	Hedges_g_preserved	-2.00904374814649	-2.8973515244916	-1.12073597180138	7.66278701644305e-05	0.0005881716412019	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:f279d863a3a5dd04	True	0.0005881716412019	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	NAME:PS(22:6/0:0)	PS(22:6/0:0)	NA	author_case	74.0	6.0	Hedges_g_preserved	-1.26504579184144	-2.11979977055092	-0.410291813131973	0.0009150604017127	0.0022457644365977	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:d7e4737372ecb7be	True	0.0022457644365977	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	HMDB:HMDB12450	PS(22:6/22:6)	NA	author_case	74.0	6.0	Hedges_g_preserved	-1.58344242005947	-2.45084095050704	-0.716043889611897	9.62196432802053e-05	0.0005987954586277	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:1e1da1f0e00b7318	True	0.0005987954586277	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
