metabolite_key	CAMP_name	annotation_hits	status	reason	fuscc_peak	fuscc_author_name	fuscc_hmdb	fuscc_kegg	fuscc_identification_level
KEGG:C00307	cytidine 5'-diphosphocholine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M489T434_POS	Cytidine 5'-diphosphocholine (CDP-choline)	HMDB0001413	C00307	B(i)
KEGG:C00319	sphingosine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M300T86_POS	Sphingosine	HMDB0000252	C00319	B(iii)
KEGG:C00327	citrulline	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M176T383_POS	L-Citrulline	HMDB0000904	C00327	B(i)
KEGG:C00328	kynurenine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M207T247_NEG	L-Kynurenine	HMDB0000684	C00328	B(i)
KEGG:C00345	6-phosphogluconate	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M241T229_POS	6-Phospho-D-gluconate	HMDB0001316	C00345	B(iii)
KEGG:C00346	phosphoethanolamine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M142T451_POS	O-Phosphoethanolamine	HMDB0000224	C00346	B(i)
KEGG:C00357	N-acetylglucosamine 6-phosphate	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M302T441_POS	N-Acetyl-D-Glucosamine 6-Phosphate	HMDB0001062	C00357	B(i)
KEGG:C00385	xanthine	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C00407	isoleucine	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C00429	5,6-dihydrouracil	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M173T307_NEG	Dihydrouracil	HMDB0000076	C00429	B(iii)
KEGG:C00491	cystine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M241T421_POS	L-Cystine	HMDB0000192	C00491	B(iii)
KEGG:C00668	glucose 6-phosphate	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C00670	glycerophosphorylcholine (GPC)	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M258T238_POS	Glycerophosphocholine	HMDB0000086	C00670	B(i)
KEGG:C00751	squalene	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C00794	sorbitol	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C00864	pantothenate	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M218T268_NEG	Pantothenate	HMDB0000210	C00864	B(i)
KEGG:C01157	trans-4-hydroxyproline	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C01179	4-hydroxyphenylpyruvate	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C01181	deoxycarnitine	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C01835	maltotriose	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M522T379_POS	Maltotriose	HMDB0001262	C01835	B(i)
KEGG:C02838	octanoylcarnitine (C8)	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C02862	butyrylcarnitine	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C02918	1-methylnicotinamide	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M137T286_POS	1-Methylnicotinamide	HMDB0000699	C02918	B(i)
KEGG:C02990	palmitoylcarnitine	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M400T145_POS	L-Palmitoylcarnitine	HMDB0000222	C02990	B(i)
KEGG:C04006	inositol 1-phosphate (I1P)	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C05282	gamma-glutamylglutamate	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M277T451_POS	gamma-L-Glutamyl-L-glutamic acid	HMDB0011737	C05282	B(i)
KEGG:C05345	fructose-6-phosphate	0	NOT_EVALUABLE	no_exact_author_identifier	NA	NA	NA	NA	NA
KEGG:C12270	N-acetyl-aspartyl-glutamate (NAAG)	1	DONE	unique_author_identifier;identity_not_spectrally_reconfirmed	M305T437_POS	N-Acetylaspartylglutamate (NAAG)	HMDB0001067	C12270	B(i)
