cohort	contrast	direction	pathway	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Wu2021	high_vs_zero	up	PI3K-Akt signaling pathway	14558	1305	243	24	0.3393991866	AREG;CCND1;CDKN1B;COL2A1;COL9A2;EFNA1;EIF4E;ERBB2;ERBB3;EREG;FGF10;G6PC3;GRB2;IGF1R;INSR;IRS1;MCL1;MYB;MYC;PPP2CA;PRKAA2;RHEB;SGK3;THBS1	0.866341892	0.7677743938
Wu2021	high_vs_zero	up	PPAR signaling pathway	14558	1305	54	5	0.5385395766	ACOX2;ACSL3;FABP5;PLIN5;SLC27A2	0.9403870407	0.901451528
Wu2021	high_vs_zero	up	Pancreatic cancer	14558	1305	75	5	0.8138918671	CCND1;ERBB2;GADD45B;GADD45G;RAC3	1	1
Wu2021	high_vs_zero	up	Pancreatic secretion	14558	1305	49	11	0.003462635384	ADCY1;ATP1A4;ATP2B1;CA2;GNAQ;PLA2G10;PLA2G12A;RAB27B;RAB8A;SLC12A2;SLC26A3	0.1348119376	0.07799334068
Wu2021	high_vs_zero	up	Pantothenate and CoA biosynthesis	14558	1305	15	2	0.3945440072	ENPP1;PANK3	0.8932521632	0.8057810983
Wu2021	high_vs_zero	up	Parathyroid hormone synthesis, secretion and action	14558	1305	82	6	0.7552241465	ADCY1;EGR1;GATA3;GNAQ;HBEGF;PTHLH	0.9764237648	1
Wu2021	high_vs_zero	up	Parkinson disease	14558	1305	208	32	0.001746953801	ATF6;ATP5MC2;ATP5PO;CALML5;COX6A1;COX6C;COX7C;MAOA;MAOB;NDUFA11;NDUFA13;NDUFA2;NDUFA5;NDUFA7;NDUFA8;NDUFA9;NDUFB8;NDUFC2;NDUFS4;PSMA1;PSMA2;PSMB1;PSMB7;PSMC5;PSMD3;TUBA3D;TUBA3E;UBB;UQCR11;VDAC1;VDAC3;XBP1	0.08501841834	0.05130294708
Wu2021	high_vs_zero	up	Pathogenic Escherichia coli infection	14558	1305	166	14	0.634963753	ACTG1;ARPC1B;ARPC4;BAIAP2;BRK1;CLDN10;CXCL8;OCLN;PYCARD;TMBIM6;TUBA3D;TUBA3E;WASL;WIPF2	0.9631657967	0.947951034
Wu2021	high_vs_zero	up	Pathways in cancer	14558	1305	410	31	0.8648525345	ADCY1;AGTR1;BBC3;BIRC3;CALML5;CCND1;CDKN1B;CXCL8;EGLN2;ELOC;ERBB2;ESR1;FGF10;GADD45B;GADD45G;GNAQ;GRB2;GSTM3;GSTT2B;HES1;IGF1R;IL6ST;MYC;NKX3-1;PMAIP1;RAC3;RARA;SKP1;SLC2A1;TRAF4;ZBTB16	1	1
Wu2021	high_vs_zero	up	Pathways of neurodegeneration	14558	1305	378	42	0.08529486323	ATF6;ATG101;ATP5MC2;ATP5PO;BECN1;CALML5;COX6A1;COX6C;COX7C;CSNK1A1;CSNK2B;DCTN6;DNALI1;GABARAPL2;GNAQ;GPX1;NDUFA11;NDUFA13;NDUFA2;NDUFA5;NDUFA7;NDUFA8;NDUFA9;NDUFB8;NDUFC2;NDUFS4;PSMA1;PSMA2;PSMB1;PSMB7;PSMC5;PSMD3;RAB8A;RB1CC1;TARDBP;TUBA3D;TUBA3E;UBB;UQCR11;VDAC1;VDAC3;XBP1	0.5279799751	0.4314468671
Wu2021	high_vs_zero	up	Pentose phosphate pathway	14558	1305	25	2	0.6694173989	FBP1;PRPS2	0.9644788105	0.9650278094
Wu2021	high_vs_zero	up	Peroxisome	14558	1305	71	8	0.3027512079	ACOX2;ACSL3;CRAT;GSTK1;HSD17B4;PEX2;PXMP2;SLC27A2	0.8047607392	0.7409101291
Wu2021	high_vs_zero	up	Pertussis	14558	1305	62	5	0.6631716002	CALML5;CXCL8;IRF1;PYCARD;TICAM1	0.9644788105	0.9624401598
Wu2021	high_vs_zero	up	Phagosome	14558	1305	118	14	0.1704626968	ACTG1;ATP6V0E1;ATP6V1A;ATP6V1B1;ATP6V1C1;ATP6V1E1;ATP6V1G1;ATP6V1H;CTSL;HLA-DRB1;RAB5C;THBS1;TUBA3D;TUBA3E	0.6544680507	0.5804983769
Wu2021	high_vs_zero	up	Phosphatidylinositol signaling system	14558	1305	85	5	0.8885562846	BPNT2;CALML5;CDS1;INPP4B;MTMR14	1	1
Wu2021	high_vs_zero	up	Phospholipase D signaling pathway	14558	1305	114	6	0.9493358394	ADCY1;AGTR1;CXCL8;GRB2;INSR;RHEB	1	1
Wu2021	high_vs_zero	up	Platelet activation	14558	1305	95	5	0.9358913279	ACTG1;ADCY1;GNAQ;GUCY1A2;PPP1CC	1	1
Wu2021	high_vs_zero	up	Porphyrin and chlorophyll metabolism	14558	1305	23	1	0.8848820324	UGT2B11	1	1
Wu2021	high_vs_zero	up	Primary immunodeficiency	14558	1305	22	0	1		1	1
