pathway	direction	p_value_Wu	q_contrast_Wu	overlap_n_Wu	genes_Wu	p_value_Pal	q_contrast_Pal	overlap_n_Pal	genes_Pal
Insulin signaling pathway	up	0.07698121305	0.397849809	16	BRAF;EIF4E;EXOC7;FBP1;G6PC3;GRB2;IKBKB;INSR;IRS1;PRKAR1A;PRKAR2B;RPS6KB1;SHC2;SOCS2;SOCS3;SREBF1	0.08290736322	0.3851180743	15	EIF4E;EIF4EBP1;FASN;FBP1;G6PC3;HRAS;IKBKB;IRS1;MAPK3;PHKG1;PHKG2;PTPN1;SOCS2;SREBF1;TSC2
Intestinal immune network for IgA production	up	1	1	0	NA	0.8752452699	0.9948362619	1	TGFB1
JAK-STAT signaling pathway	up	0.2592302709	0.687588575	11	BCL2;CISH;CSF3R;EGF;GRB2;IL20RA;IL6ST;PIAS3;PRLR;SOCS2;SOCS3	0.3585386656	0.7483113452	9	BCL2L1;CISH;CSF3R;HRAS;IL20;IL20RA;IL6ST;IL7R;SOCS2
Kaposi sarcoma-associated herpesvirus infection	up	0.8717413803	1	11	BECN1;CTNNB1;FGF2;GABARAP;IKBKB;IL6ST;NFATC4;PREX1;TBK1;UBB;UBC	0.7108214949	0.9409426699	12	FOS;HRAS;IKBKB;IL6ST;IRF7;JUN;MAPK3;NFATC3;NFATC4;PREX1;RB1;UBC
Legionellosis	up	0.04942459409	0.317186406	9	CLK1;CLK4;EEF1A2;HSPA1A;HSPA1B;HSPA2;HSPA6;PYCARD;SAR1B	0.1268154805	0.4738969073	7	HSPA1A;HSPA1B;HSPA2;HSPA6;NAIP;PYCARD;RAB1B
Leishmaniasis	up	0.9969408927	1	1	EEF1A2	0.5272260642	0.8303053169	5	CYBA;FOS;JUN;MAPK3;TGFB1
Leukocyte transendothelial migration	up	0.2674663876	0.687588575	10	AFDN;CLDN15;CTNNA1;CTNNB1;EZR;OCLN;PTK2;RHOA;RHOH;VAV3	0.2566751281	0.6908638961	9	CDC42;CLDN3;CLDN7;CLDN9;CYBA;EZR;GNAI1;RAC2;RHOH
Lipid and atherosclerosis	up	0.726929944	0.9849816411	14	ATF6;BCL2;HSPA1A;HSPA1B;HSPA2;HSPA4;HSPA6;IKBKB;PTK2;PYCARD;RHOA;TBK1;VAV3;XBP1	0.04877218798	0.3067401843	21	APOA1;BCL2L1;CAMK2B;CCL3;CDC42;CYBA;FOS;HRAS;HSPA1A;HSPA1B;HSPA2;HSPA6;IKBKB;IRF7;JUN;MAPK3;NFATC3;PLCB1;PYCARD;RXRA;XBP1
Long-term depression	up	0.2084525846	0.6260866627	6	BRAF;GNA13;GUCY1A2;IGF1R;PLA2G4C;PPP2CA	0.3093338122	0.7207172061	5	GNAI1;GRIA2;HRAS;MAPK3;PLCB1
Long-term potentiation	up	0.9642752116	1	2	ADCY1;BRAF	0.2783240938	0.7107531368	6	ADCY1;CAMK2B;GRIA2;HRAS;MAPK3;PLCB1
