pathway	direction	p_value_Wu	q_contrast_Wu	overlap_n_Wu	genes_Wu	p_value_Pal	q_contrast_Pal	overlap_n_Pal	genes_Pal
Primary immunodeficiency	up	1	1	0	NA	0.1935164088	0.5835887511	3	CD3D;IL7R;PTPRC
Prion disease	up	0.1337102361	0.5101850307	26	ATP5MC2;C1QA;C1QB;C1QC;COX6A1;COX6C;COX7C;CREB3L4;EGR1;HSPA1A;HSPA1B;HSPA2;HSPA6;NDUFA2;NDUFA5;NDUFB2;NDUFB8;NDUFV2;PRKCD;PSMA1;PSMC5;TUBA3D;TUBA3E;UQCR11;UQCRQ;VDAC1	0.4423532789	0.8149707692	20	ADRM1;ATP5F1E;CACNA1D;COX6A1;COX6C;COX7A1;CREB3L1;CREB3L4;CYBA;HSPA1A;HSPA1B;HSPA2;HSPA6;MAPK3;NDUFA13;NDUFA2;NDUFB10;RAC2;UQCR11;UQCRQ
Progesterone-mediated oocyte maturation	up	0.1782316717	0.6011224379	10	ADCY1;ANAPC11;ANAPC13;BRAF;CDC23;CPEB3;CPEB4;IGF1R;KIF22;PGR	0.3784585211	0.7622101684	8	ADCY1;ADCY9;CPEB2;CPEB4;GNAI1;KIF22;MAPK3;PGR
Prolactin signaling pathway	up	0.1695433648	0.5858776629	8	CGA;CISH;ESR1;GRB2;PRLR;SHC2;SOCS2;SOCS3	0.07408532206	0.3642282733	9	CGA;CISH;ESR1;FOS;HRAS;IRF1;MAPK3;SOCS2;TH
Propanoate metabolism	up	0.06350311476	0.3611143109	6	ABAT;ACADS;ACOX1;ACOX3;ALDH6A1;SUCLG2	0.7671897216	0.9746078538	2	ABAT;ACADS
Prostate cancer	up	0.1953679982	0.6134134997	11	BCL2;BRAF;CDKN1B;CREB3L4;CTNNB1;EGF;GRB2;IGF1R;IKBKB;MDM2;PLAT	0.4907784104	0.8270326387	8	CREB3L1;CREB3L4;FGFR1;HRAS;IKBKB;MAPK3;PLAT;RB1
Proteasome	up	0.9198395539	1	2	PSMA1;PSMC5	0.9829499723	1	1	ADRM1
Protein digestion and absorption	up	0.4115372105	0.8007305183	5	ATP1A4;COL12A1;COL9A2;SLC38A2;SLC7A8	0.2731767552	0.7056045336	5	COL12A1;COL1A1;COL3A1;CPB1;SLC7A8
Protein export	up	0.6462190207	0.9585670356	2	SPCS1;SRP9	1	1	0	NA
Protein processing in endoplasmic reticulum	up	0.4236730625	0.8138982516	16	AMFR;ATF6;BCL2;DNAJB1;EDEM3;HSPA1A;HSPA1B;HSPA2;HSPA6;HSPH1;SAR1B;SEC24B;SKP1;UBE2G1;UBQLN2;XBP1	0.4575263744	0.8158984262	15	AMFR;DNAJB1;DNAJB2;DNAJC5;ERO1B;HSPA1A;HSPA1B;HSPA2;HSPA6;HSPH1;RRBP1;SKP1;STUB1;WFS1;XBP1
Proteoglycans in cancer	up	0.2282550923	0.6470921065	19	BRAF;CTNNB1;DDX5;ERBB3;ERBB4;ESR1;EZR;FGF2;FLNB;FRS2;GRB2;IGF1R;MDM2;PTK2;RHOA;RPS6KB1;SDC4;THBS1;VAV3	0.04877218798	0.3067401843	21	CAMK2B;CDC42;COL1A1;CTTN;ERBB4;ESR1;EZR;FGFR1;FLNB;FRS2;HRAS;LUM;MAPK3;NUDT16L1;PDCD4;SDC1;SDC4;TGFB1;THBS1;TIMP3;WNT7B
Purine metabolism	up	0.1304717976	0.5080372561	13	ADA2;ADCY1;AK6;CANT1;DCK;ENPP1;ENTPD5;FHIT;GUCY1A2;NME1;NME2;NT5C;RRM2B	0.4772681834	0.8210472376	9	ADA2;ADCY1;ADCY9;ENTPD5;ENTPD8;NME3;NT5C;PDE5A;RRM2B
Pyrimidine metabolism	up	0.07434251301	0.3911353838	8	CANT1;DCK;ENPP1;ENTPD5;NME1;NME2;NT5C;RRM2B	0.4015723653	0.7680865533	5	ENTPD5;ENTPD8;NME3;NT5C;RRM2B
Pyruvate metabolism	up	0.6265381213	0.9532298678	3	ALDH3A2;GLO1;HAGH	0.8116434108	0.9825014262	2	ALDH2;HAGH
RIG-I-like receptor signaling pathway	up	0.7129738458	0.9777120583	4	AZI2;IKBKB;MAP3K1;TBK1	0.8309508261	0.9857714168	3	IKBKB;IRF7;MAP3K1
RNA degradation	up	0.4669252581	0.8505667883	7	BTG2;CNOT6L;CNOT7;DCP2;LSM1;PAN3;TOB1	0.8730680203	0.9948362619	4	BTG2;LSM1;PAN3;PARN
RNA polymerase	up	0.9521138988	1	1	POLR2K	0.7829374763	0.978211236	2	POLR2L;POLR3F
RNA transport	up	0.9544851716	1	9	EEF1A2;EIF4A1;EIF4A2;EIF4E;EIF4EBP3;NMD3;NUP58;NUP85;NXT2	0.999625071	1	4	EIF3J;EIF4E;EIF4EBP1;UPF2
Rap1 signaling pathway	up	0.09292046355	0.4354978499	21	ADCY1;AFDN;BRAF;CTNNB1;EFNA1;EGF;EVL;FGF10;FGF2;FGFR3;IGF1R;INSR;KITLG;MAGI1;PARD6B;RAC3;RHOA;SIPA1L3;SKAP1;THBS1;VAV3	0.2510354112	0.6908638961	16	ADCY1;ADCY9;CDC42;EVL;FGFR1;FGFR3;GNAI1;HRAS;KITLG;MAGI3;MAPK3;PARD6B;PLCB1;RAC2;SKAP1;THBS1
Ras signaling pathway	up	0.1117361804	0.4728545607	21	AFDN;EFNA1;EGF;FGF10;FGF2;FGFR3;GRB2;IGF1R;IKBKB;INSR;KITLG;NF1;PLA2G10;PLA2G12A;PLA2G4C;RAB5C;RAC3;RGL2;RHOA;SHC2;TBK1	0.4568531423	0.8158984262	14	BCL2L1;CDC42;EXOC2;FGFR1;FGFR3;HRAS;IKBKB;KITLG;MAPK3;PLA2G10;PLAAT3;RAB5C;RAC2;RGL2
Regulation of actin cytoskeleton	up	0.4287877987	0.8210231949	17	ARPC4;BRAF;BRK1;EGF;EZR;FGD3;FGF10;FGF2;FGFR3;GNA13;PIP4K2C;PTK2;RAC3;RHOA;SSH3;VAV3;WASL	0.8429021727	0.9857714168	11	ARPC1B;CDC42;EZR;FGD3;FGFR1;FGFR3;HRAS;ITGA3;MAPK3;RAC2;SSH3
Regulation of lipolysis in adipocytes	up	0.06637785047	0.3622865857	7	ABHD5;ADCY1;CGA;INSR;IRS1;NPY1R;PTGER3	0.001241674718	0.04470028983	10	ADCY1;ADCY9;CGA;GNAI1;IRS1;MGLL;NPY1R;PLAAT3;PNPLA2;PTGER3
Relaxin signaling pathway	up	0.9908072897	1	4	ADCY1;CREB3L4;GRB2;SHC2	0.04519936133	0.3067401843	14	ADCY1;ADCY9;ARRB1;COL1A1;COL3A1;CREB3L1;CREB3L4;FOS;GNAI1;HRAS;JUN;MAPK3;PLCB1;TGFB1
Renal cell carcinoma	up	0.7493400319	0.9971376994	5	ARNT;BRAF;EGLN2;ELOC;GRB2	0.5235495991	0.8303053169	6	CDC42;ELOB;HRAS;JUN;MAPK3;TGFB1
Renin secretion	up	0.9368895151	1	2	AGTR1;GUCY1A2	0.5697644982	0.8494077328	4	AGTR1;CACNA1D;GNAI1;PLCB1
Retinol metabolism	up	0.8722763281	1	1	DHRS4L2	0.8342646676	0.9857714168	1	DGAT1
Retrograde endocannabinoid signaling	up	0.715905807	0.9777120583	8	ADCY1;FAAH;KCNJ3;NDUFA2;NDUFA5;NDUFB2;NDUFB8;NDUFV2	0.06892400037	0.3558827628	13	ADCY1;ADCY9;CACNA1D;FAAH;GNAI1;GRIA2;KCNJ3;MAPK3;MGLL;NDUFA13;NDUFA2;NDUFB10;PLCB1
Rheumatoid arthritis	up	0.8230439338	1	5	ACP5;ATP6AP1;ATP6V1C1;ATP6V1G1;ATP6V1H	0.1813235082	0.5645531931	8	ATP6AP1;ATP6V1C1;ATP6V1H;CCL3;FOS;JUN;TCIRG1;TGFB1
Ribosome	up	0.9982247918	1	4	MRPL23;MRPL24;MRPL27;RPS27L	0.99771056	1	4	MRPL15;MRPL28;RPL36A;RPS4Y1
Ribosome biogenesis in eukaryotes	up	0.9672090985	1	3	AK6;NMD3;NXT2	0.9895209968	1	2	TBL3;UTP14C
SNARE interactions in vesicular transport	up	0.5845688229	0.9281239336	3	STX8;VAMP2;VAMP4	0.06332818284	0.3448731246	6	STX16;STX8;VAMP2;VAMP4;VAMP5;VAMP8
Salivary secretion	up	0.5407269829	0.9181432061	5	ADCY1;ATP1A4;CST3;GUCY1A2;VAMP2	0.2109474659	0.601513566	7	ADCY1;ADCY9;CAMP;MUC5B;PLCB1;SLC12A2;VAMP2
Salmonella infection	up	0.1595150669	0.5680292627	26	AHNAK;ARL8B;ARPC4;BCL2;BRK1;CTNNB1;DCTN6;DYNC1I2;DYNLRB1;DYNLRB2;DYNLT1;DYNLT3;EXOC7;FLNB;GSDMD;IKBKB;MYO6;PYCARD;RAB5C;RHOA;RHOB;RHOH;SKP1;TUBA3D;TUBA3E;WASL	0.4007742924	0.7680865533	21	AHNAK;ARPC1B;CDC42;DCTN1;DYNC1I2;DYNLRB2;EXOC2;FLNB;FOS;GSDMD;HRAS;IKBKB;JUN;MAPK3;NAIP;PTPRC;PYCARD;RAB5C;RHOB;RHOH;SKP1
Selenocompound metabolism	up	1	1	0	NA	1	1	0	NA
Serotonergic synapse	up	0.325746139	0.7316759429	7	ALOX15B;BRAF;CYP4X1;DUSP1;KCNJ3;MAOB;PLA2G4C	0.01437834948	0.1732486031	10	CACNA1D;CYP4X1;DUSP1;GNAI1;HRAS;KCNJ3;MAOB;MAPK3;PLCB1;TPH1
Shigellosis	up	0.2824571646	0.698584031	23	ARPC4;BCL10;BCL2;BECN1;GABARAP;H3-3B;H3-5;IKBKB;MDM2;PIK3R4;PRKCD;PTK2;PYCARD;RHOA;RPS6KB1;SKP1;TBK1;TRAF5;UBB;UBC;VDAC1;WASL;WIPI1	0.8074760584	0.9812367292	16	ARPC1B;BCL2L1;CDC42;CTTN;H3C10;IKBKB;JUN;MAPK3;NAIP;PLCB1;PYCARD;RBCK1;SHARPIN;SKP1;TRAF5;UBC
Signaling pathways regulating pluripotency of stem cells	up	0.341022308	0.7345182348	11	BMI1;BMPR1B;CTNNB1;FGF2;FGFR3;GRB2;IGF1R;IL6ST;SKIL;SMAD5;TBX3	0.6570122118	0.9141039469	8	BMPR1B;FGFR1;FGFR3;HRAS;IL6ST;MAPK3;PCGF3;WNT7B
Small cell lung cancer	up	0.1313589481	0.5080372561	11	BCL2;CDKN1B;FHIT;GADD45B;GADD45G;IKBKB;LAMB2;POLK;PTK2;TRAF4;TRAF5	0.2689226708	0.7009025266	9	BCL2L1;GADD45B;GADD45G;IKBKB;ITGA3;LAMA5;RB1;RXRA;TRAF5
Sphingolipid metabolism	up	0.02182799324	0.1847470732	8	ARSA;ASAH1;CERS2;CERS4;CERS6;DEGS2;NEU1;UGCG	0.1115290131	0.4467617741	6	ASAH1;CERS4;CERS6;DEGS2;NEU1;UGCG
Sphingolipid signaling pathway	up	0.251397853	0.6765730239	12	ASAH1;BCL2;CERS2;CERS4;CERS6;DEGS2;FCER1G;GNA13;PPP2CA;RAC3;RHOA;S1PR3	0.3014281113	0.7207172061	11	ASAH1;CERS4;CERS6;CTSD;DEGS2;GNAI1;HRAS;MAPK3;PLCB1;PPP2R2C;RAC2
Spinocerebellar ataxia	up	0.6396622272	0.9578531813	10	ATP2A3;BECN1;KCND3;OMA1;PIK3R4;PSMA1;PSMC5;VDAC1;WIPI1;XBP1	0.8987980744	1	7	ADRM1;ATP2A3;GRIA2;PLCB1;RB1CC1;RBPJ;XBP1
Spliceosome	up	0.677644378	0.9648487489	11	DDX5;HSPA1A;HSPA1B;HSPA2;HSPA6;SLU7;SRSF1;SRSF6;WBP11;XAB2;ZMAT2	0.737474348	0.958849114	10	HSPA1A;HSPA1B;HSPA2;HSPA6;PRPF6;PUF60;SNRPB2;SRSF6;XAB2;ZMAT2
Staphylococcus aureus infection	up	0.06046448923	0.3603189971	8	C1QA;C1QB;C1QC;CFB;CFD;KRT18;KRT19;KRT23	0.1879669484	0.5728516522	5	CAMP;CFB;CFD;KRT18;KRT19
Starch and sucrose metabolism	up	0.2586388194	0.687588575	3	ENPP1;G6PC3;GAA	0.8342646676	0.9857714168	1	G6PC3
Steroid biosynthesis	up	1	1	0	NA	1	1	0	NA
Steroid hormone biosynthesis	up	0.8722763281	1	1	HSD17B8	0.8628551028	0.9948362619	1	HSD17B8
Synaptic vesicle cycle	up	0.1942294551	0.6131351447	7	AP2B1;ATP6V1C1;ATP6V1G1;ATP6V1H;CLTC;SLC1A2;VAMP2	0.003626725556	0.07495626726	11	AP2A1;AP2B1;ATP6V1C1;ATP6V1H;CLTCL1;CPLX1;NSF;SLC1A2;SYT1;TCIRG1;VAMP2
Systemic lupus erythematosus	up	0.05237882241	0.3219919188	12	C1QA;C1QB;C1QC;H2AC15;H2AC20;H2AC6;H2AJ;H2BC18;H2BC21;H2BC5;H3-3B;H3-5	0.3101729605	0.7207172061	7	H2AC19;H2AJ;H2BC12;H2BC18;H2BC5;H3C10;H4C11
T cell receptor signaling pathway	up	0.8781719252	1	5	BCL10;GRB2;IKBKB;RHOA;VAV3	0.2097012508	0.601513566	9	CD3D;CDC42;FOS;HRAS;IKBKB;JUN;MAPK3;NFATC3;PTPRC
TGF-beta signaling pathway	up	0.06370052407	0.3611143109	11	BMPR1B;FMOD;PPP2CA;RHOA;RPS6KB1;SKP1;SMAD5;SMAD7;THBS1;THSD4;ZFYVE16	0.4464046303	0.8158984262	7	BMP7;BMPR1B;MAPK3;SKP1;TGFB1;THBS1;THSD4
TNF signaling pathway	up	0.9901170735	1	4	CREB3L4;IKBKB;SOCS3;TRAF5	0.4641832941	0.820825065	9	BAG4;CREB3L1;CREB3L4;FOS;IKBKB;IRF1;JUN;MAPK3;TRAF5
Taste transduction	up	1	1	0	NA	0.2424518183	0.673606712	3	PLCB1;SCNN1A;SCNN1B
Terpenoid backbone biosynthesis	up	1	1	0	NA	0.8628551028	0.9948362619	1	PMVK
Th1 and Th2 cell differentiation	up	0.9914589407	1	2	GATA3;IKBKB	0.2421823752	0.673606712	8	CD3D;FOS;GATA3;IKBKB;JUN;MAPK3;NFATC3;RBPJ
Th17 cell differentiation	up	0.9514086797	1	4	GATA3;IKBKB;IL6ST;RARA	0.07808520428	0.3748089805	11	CD3D;FOS;GATA3;IKBKB;IL6ST;JUN;MAPK3;NFATC3;RARA;RXRA;TGFB1
Thermogenesis	up	0.09318147278	0.4354978499	24	ADCY1;ATP5MC2;ATP5ME;COA3;COX11;COX16;COX17;COX6A1;COX6C;COX7C;CREB3L4;FRS2;GRB2;NDUFA2;NDUFA5;NDUFAF3;NDUFB2;NDUFB8;NDUFV2;RPS6KB1;SMARCE1;UCP1;UQCR11;UQCRQ	0.07461620876	0.3642282733	23	ADCY1;ADCY9;ATP5F1E;ATP5ME;COA3;COX6A1;COX6C;COX7A1;CREB3L1;CREB3L4;FGFR1;FRS2;HRAS;MGLL;NDUFA13;NDUFA2;NDUFAF3;NDUFAF5;NDUFB10;PNPLA2;TSC2;UQCR11;UQCRQ
Thyroid cancer	up	0.2240116576	0.6470921065	5	BRAF;CTNNB1;GADD45B;GADD45G;POLK	0.0717613377	0.3594307001	6	GADD45B;GADD45G;HRAS;MAPK3;RET;RXRA
Thyroid hormone signaling pathway	up	0.4707619658	0.8536049162	10	ATP1A4;ATP2A3;CTNNB1;DIO1;ESR1;MDM2;MED13;MED13L;MED24;NCOA2	0.3653103968	0.7569021172	10	ATP2A3;DIO1;ESR1;HRAS;MAPK3;MED16;MED24;PLCB1;RXRA;TSC2
Thyroid hormone synthesis	up	0.3221230089	0.7316759429	6	ADCY1;ATP1A4;CGA;CREB3L4;GPX1;LRP2	0.1164504562	0.4562956651	7	ADCY1;ADCY9;CGA;CREB3L1;CREB3L4;LRP2;PLCB1
Tight junction	up	0.206774318	0.6256798016	16	AFDN;ARPC4;CGN;CGNL1;CLDN15;EZR;HSPA4;MAGI1;MAP3K1;OCLN;PARD6B;PPP2CA;RHOA;TJP3;TUBA3D;TUBA3E	0.1372995064	0.4973096665	16	ARPC1B;CACNA1D;CDC42;CLDN3;CLDN7;CLDN9;CRB3;CTTN;DLG3;EZR;JUN;MAP3K1;PARD6B;PPP2R2C;SCRIB;TJP3
Toll-like receptor signaling pathway	up	0.9949100533	1	2	IKBKB;TBK1	0.2551105738	0.6908638961	8	CCL3;CCL4;CCL4L2;FOS;IKBKB;IRF7;JUN;MAPK3
Toxoplasmosis	up	0.7854391107	1	7	BCL2;HSPA1A;HSPA1B;HSPA2;HSPA6;IKBKB;LAMB2	0.2687542629	0.7009025266	10	BCL2L1;GNAI1;HSPA1A;HSPA1B;HSPA2;HSPA6;IKBKB;LAMA5;MAPK3;TGFB1
Transcriptional misregulation in cancer	up	0.06162842247	0.3611143109	19	AFF1;BAIAP3;BMI1;BMP2K;CDKN1B;DDX5;FUT8;GADD45B;GADD45G;H3-3B;H3-5;IGF1R;MDM2;MLF1;PBX1;PLAT;POLK;PTK2;RARA	0.5692300143	0.8494077328	11	BAIAP3;BCL2L1;GADD45B;GADD45G;H3C10;HPGD;NUPR1;PBX1;PLAT;RARA;RXRA
Tryptophan metabolism	up	0.5624876937	0.9225043149	3	ALDH3A2;KMO;MAOB	0.2838076762	0.7107531368	4	AFMID;ALDH2;MAOB;TPH1
Tuberculosis	up	0.9776662069	1	7	ATP6AP1;ATP6V1H;BCL10;BCL2;FCER1G;RAB5C;RHOA	0.7102671665	0.9409426699	10	ATP6AP1;ATP6V1H;CAMK2B;CAMP;CORO1A;CTSD;MAPK3;RAB5C;TCIRG1;TGFB1
Type I diabetes mellitus	up	1	1	0	NA	1	1	0	NA
Type II diabetes mellitus	up	0.06350311476	0.3611143109	6	IKBKB;INSR;IRS1;PRKCD;SOCS2;SOCS3	0.1423543456	0.5030435769	5	CACNA1D;IKBKB;IRS1;MAPK3;SOCS2
Tyrosine metabolism	up	0.4798719099	0.8544508821	2	MAOB;MIF	0.1700669553	0.5498186882	3	MAOB;TAT;TH
Ubiquitin mediated proteolysis	up	0.182842521	0.601834709	16	ANAPC11;ANAPC13;CDC23;ELOC;KLHL9;MAP3K1;MDM2;PIAS3;SKP1;SOCS3;UBB;UBC;UBE2B;UBE2G1;UBE2W;WWP1	0.8582631295	0.9948362619	9	ELOB;MAP3K1;MGRN1;SKP1;STUB1;UBC;UBE2F;UBE2W;WWP1
VEGF signaling pathway	up	0.3221230089	0.7316759429	6	HSPB1;MAPKAPK3;PLA2G4C;PTK2;RAC3;SHC2	0.419989628	0.7858402613	5	CDC42;HRAS;HSPB1;MAPK3;RAC2
Valine, leucine and isoleucine degradation	up	0.2395333373	0.6629737867	6	ABAT;ACADS;ACADSB;ALDH3A2;ALDH6A1;MCCC2	0.3093338122	0.7207172061	5	ABAT;ACADS;ACADSB;ALDH2;MCCC2
Various types of N-glycan biosynthesis	up	0.6838263448	0.9693072461	3	B4GALT1;CHST8;FUT8	0.9698821064	1	1	B4GALT1
Vascular smooth muscle contraction	up	0.03873738115	0.2693170308	14	ADCY1;AGTR1;BRAF;GNA13;GUCY1A2;NPPC;PLA2G10;PLA2G12A;PLA2G4C;PRKCD;RAMP1;RAMP2;RAMP3;RHOA	0.3717022516	0.7591333282	9	ADCY1;ADCY9;AGTR1;CACNA1D;MAPK3;NPPC;PLA2G10;PLCB1;RAMP1
Vasopressin-regulated water reabsorption	up	0.05215460159	0.3219919188	7	AQP3;ARHGDIB;CREB3L4;DCTN6;DYNC1I2;RAB5C;VAMP2	0.004687294196	0.08587423669	9	ADCY9;ARHGDIB;CREB3L1;CREB3L4;DCTN1;DYNC1I2;NSF;RAB5C;VAMP2
Vibrio cholerae infection	up	0.6330161751	0.9545602795	4	ATP6AP1;ATP6V1C1;ATP6V1G1;ATP6V1H	0.2018652297	0.5982216962	6	ADCY9;ATP6AP1;ATP6V1C1;ATP6V1H;SLC12A2;TCIRG1
Viral carcinogenesis	up	0.8117330623	1	13	CDKN1B;CREB3L4;EGR3;GRB2;H2BC18;H2BC21;H2BC5;HPN;IL6ST;MDM2;RBL2;RHOA;TRAF5	0.2087025204	0.601513566	18	CDC42;CREB3L1;CREB3L4;H2BC12;H2BC18;H2BC5;H4C11;HDAC11;HRAS;IL6ST;IRF7;JUN;MAPK3;RB1;RBPJ;SCRIB;TRAF5;YWHAZ
Viral myocarditis	up	0.9890216147	1	1	RAC3	0.9793887317	1	1	RAC2
Viral protein interaction with cytokine and cytokine receptor	up	0.93162915	1	2	IL20RA;IL6ST	0.08080619059	0.3784094779	6	CCL3;CCL4;CCL4L2;IL20;IL20RA;IL6ST
Wnt signaling pathway	up	0.8548617484	1	9	CSNK1A1;CTNNB1;CTNND2;GPC4;NFATC4;RAC3;RHOA;RNF43;SKP1	0.7481667449	0.9635459728	9	CAMK2B;JUN;NFATC3;NFATC4;PLCB1;RAC2;SKP1;TLE3;WNT7B
Yersinia infection	up	0.8355370345	1	9	ARPC4;IKBKB;PTK2;PYCARD;RAC3;RHOA;TBK1;VAV3;WASL	0.7391128587	0.958849114	9	ARPC1B;CDC42;FOS;IKBKB;JUN;MAPK3;NFATC3;PYCARD;RAC2
beta-Alanine metabolism	up	0.008028273222	0.09975556514	6	ABAT;ACADS;ACOX1;ACOX3;ALDH3A2;ALDH6A1	0.2930744601	0.7207172061	3	ABAT;ACADS;ALDH2
cAMP signaling pathway	up	0.1308220452	0.5080372561	17	ACOX1;ACOX3;ADCY1;AFDN;ATP1A4;ATP2A3;BRAF;CGA;CREB3L4;GLI3;NPY1R;PPP1R1B;PTGER3;RAC3;RHOA;VAV3;VIPR2	0.08657887771	0.3896049497	16	ADCY1;ADCY9;ATP2A3;CACNA1D;CAMK2B;CGA;CREB3L1;CREB3L4;FOS;GNAI1;GRIA2;JUN;MAPK3;NPY1R;PTGER3;RAC2
cGMP-PKG signaling pathway	up	0.09731040046	0.4439787021	15	ADCY1;AGTR1;ATP1A4;ATP2A3;CREB3L4;GNA13;GUCY1A2;INSR;IRS1;KCNJ8;MEF2D;NFATC4;NPPC;RHOA;VDAC1	0.01253938746	0.1578569347	17	ADCY1;ADCY9;ADRA2A;AGTR1;ATP2A3;CACNA1D;CREB3L1;CREB3L4;GNAI1;GTF2I;IRS1;MAPK3;NFATC3;NFATC4;NPPC;PDE5A;PLCB1
mRNA surveillance pathway	up	0.9877170129	1	3	MSI2;NXT2;PPP2CA	0.9847084245	1	3	CSTF1;PPP2R2C;UPF2
mTOR signaling pathway	up	0.1906622964	0.605249812	16	ATP6V1C1;ATP6V1G1;ATP6V1H;BRAF;EIF4E;FNIP1;GRB2;IGF1R;IKBKB;INSR;IRS1;LAMTOR2;LAMTOR3;RHOA;RPS6KB1;TELO2	0.2827666321	0.7107531368	14	ATP6V1C1;ATP6V1H;EIF4E;EIF4EBP1;HRAS;IKBKB;IRS1;LPIN2;LPIN3;MAPK3;TELO2;TSC2;WDR24;WNT7B
p53 signaling pathway	up	0.1060982718	0.4555984614	10	BCL2;CCNG1;CCNG2;GADD45B;GADD45G;MDM2;MDM4;PPM1D;RRM2B;THBS1	0.2551105738	0.6908638961	8	BCL2L1;CCNG2;GADD45B;GADD45G;MDM4;RRM2B;THBS1;TSC2
ABC transporters	down	0.2692062614	0.687588575	4	ABCA1;DEFB1;TAP1;TAP2	0.8299719773	0.9857714168	1	DEFB1
AGE-RAGE signaling pathway in diabetic complications	down	0.06521133584	0.3611143109	14	CCL2;CDK4;COL1A1;COL1A2;COL3A1;COL4A1;EDN1;FN1;MMP2;PIK3R1;SERPINE1;TGFB1;TGFBR2;VEGFA	0.4557921123	0.8158984262	6	CDK4;COL4A1;COL4A2;EDN1;ICAM1;PIK3R1
AMPK signaling pathway	down	0.9807988873	1	5	CREB5;IRS2;PFKP;PIK3R1;RPS6KB2	0.6011889869	0.8782620741	6	CCNA2;CREB3L2;CREB5;PFKP;PIK3R1;PPP2R3A
Acute myeloid leukemia	down	0.701393161	0.9777120583	5	PIK3R1;PML;RPS6KB2;TCF7L1;TCF7L2	0.0677175436	0.3545936829	7	BCL2A1;CCNA2;DUSP6;KIT;MYC;PIK3R1;TCF7L1
Adherens junction	down	0.08792042706	0.4278794117	11	ACTN4;CSNK2A2;EGFR;MET;PARD3;SNAI2;TCF7L1;TCF7L2;TGFBR2;TJP1;WASF2	0.2551240099	0.6908638961	6	ACTN1;EGFR;ERBB2;NECTIN1;TCF7L1;YES1
Adipocytokine signaling pathway	down	0.9227578819	1	3	ACSL1;ACSL5;IRS2	1	1	0	NA
Adrenergic signaling in cardiomyocytes	down	0.6765533004	0.9648487489	9	ATP1B3;CACNA2D1;CACNB4;CALM1;CAMK2G;CREB5;GNAS;PRKACB;TPM2	0.1437465906	0.5048660741	9	ATP1B3;CALML3;CALML5;CREB3L2;CREB5;PPP1R1A;PPP2R3A;TPM2;TPM4
African trypanosomiasis	down	0.3619637362	0.760059286	3	FAS;IL18;LAMA4	0.7066064013	0.9409426699	1	ICAM1
Alanine, aspartate and glutamate metabolism	down	0.1842532243	0.601834709	5	ASNS;ASS1;CPS1;GLS;RIMKLA	0.8299719773	0.9857714168	1	GLS
Alcoholism	down	0.4735753302	0.8536049162	13	CALM1;CREB5;GNAS;GNB2;GNG11;GNG12;GNG4;H2AZ2;H4C3;HDAC2;MACROH2A2;NTRK2;PRKACB	0.3873222359	0.7660394114	8	CALML3;CALML5;CREB3L2;CREB5;H4C3;HDAC2;NTRK2;SHC4
Aldosterone synthesis and secretion	down	0.6599141707	0.9640846464	6	ATP1B3;CALM1;CAMK2G;CREB5;GNAS;PRKACB	0.3873486108	0.7660394114	5	ATP1B3;CALML3;CALML5;CREB3L2;CREB5
Aldosterone-regulated sodium reabsorption	down	0.2009488248	0.624224009	4	ATP1B3;PIK3R1;SFN;SGK1	0.05278457807	0.3167074684	4	ATP1B3;PIK3R1;SFN;SGK1
Allograft rejection	down	2.691889458e-10	7.860317218e-08	15	FAS;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F	0.3340408329	0.7299643635	2	HLA-DQA1;HLA-DRB1
Alzheimer disease	down	0.1341559386	0.5101850307	37	APOE;ATP5F1A;ATP5F1C;BACE1;BACE2;BID;CALM1;CHRM3;COX4I1;COX5A;CSF1;CSNK2A2;DKK1;FAS;FZD1;FZD7;GAPDH;IRS2;LRP1;LRP5;LRP6;MAP3K5;MME;NDUFA4L2;NDUFS5;NRBF2;PIK3R1;PPP3CA;PSMA7;PSMB2;PSMD7;SDHD;TUBA4A;TUBB;TUBB6;UQCRH;WIPI2	0.02369254711	0.2158826678	28	ATP5F1B;ATP5F1C;ATP5MC3;ATP5PO;CALML3;CALML5;CHRM3;DKK1;FZD7;GAPDH;LRP6;MME;NDUFA4L2;NDUFB5;PIK3R1;PSMB1;PSMB2;PSMB3;SDHD;SLC25A5;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB6;UQCRH;UQCRHL;VDAC2
Amino sugar and nucleotide sugar metabolism	down	0.06554472082	0.3611143109	8	CYB5R2;CYB5R3;GALE;GMDS;GPI;HEXA;PGM1;UGP2	0.1398683437	0.4973096665	5	GMDS;GNE;PGM1;PGM3;UGP2
Aminoacyl-tRNA biosynthesis	down	0.2877364096	0.7060422824	6	CARS2;KARS1;PSTK;QRSL1;WARS1;YARS1	0.9502396952	1	1	QRSL1
