cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Pal2021_reprocessed	high_vs_low_detected	prerank	Pertussis	-0.36448235893848163	-1.020305361383897	0.4814070351758794	0.8252470529921153	1.0	21/52	35.79%	ITGB1;CALML3;CALM2;CALML5;IRAK1;RHOA;C1S;C3;CFL1;GNAI3;C1R;CASP1;CFL2;GNAI2;SERPING1;MAPK12;MAPK13;NFKB1;CALM1;MAPK1;RELA	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Neurotrophin signaling pathway	-0.3489057915290518	-1.016776790425408	0.462	0.8346699394748757	1.0	46/101	37.66%	CALML3;ATF4;CALM2;CALML5;PIK3R1;RIPK2;MAGED1;IRAK1;RHOA;SHC4;NTRK2;BEX3;BAX;RAP1A;FOXO3;RAF1;ZNF274;KRAS;CAMK2D;MAP2K1;NFKBIA;MAPK12;RPS6KA1;PIK3CA;MAPK13;MAP2K2;PTPN11;GSK3B;NFKB1;SHC1;SORT1;NTRK3;ARHGDIA;AKT2;NFKBIE;CRK;PLCG2;CALM1;GAB1;MAPK1;CAMK2G;RELA;MAP2K7;NFKBIB;KIDINS220;MAPK14	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Basal cell carcinoma	-0.37159184120116806	-1.0150743256800736	0.4874118831822759	0.8371109840318312	1.0	17/40	33.36%	TCF7L2;GADD45A;TCF7L1;FZD7;BAX;CDKN1A;FZD1;FZD2;WNT6;WNT2B;PTCH2;SMO;PTCH1;FZD8;GSK3B;DVL3;DDB2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Hematopoietic cell lineage	-0.36784019493606074	-1.007368963334402	0.49342770475227504	0.8637879739507345	1.0	9/43	12.79%	ITGA6;KIT;CD59;MME;TFRC;CD55;CD9;IL1R2;CD44	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Human papillomavirus infection	-0.33539431574102696	-1.0056481227509189	0.484	0.8655169697634627	1.0	138/247	47.99%	HDAC2;CDK4;MAML2;ITGB1;RHEB;CREB3L2;HEY1;ITGA6;COL4A2;CDK6;COL4A1;PIK3R1;NOTCH3;COL6A2;TCF7L2;CCND1;HEY2;TCF7L1;DLG1;HDAC1;HES4;ITGB8;PKM;IFNAR2;FZD7;JAG1;EGFR;PPP2CB;MX1;LAMB3;PPP2R3A;ATM;TBPL1;COL6A1;TNFRSF1A;CCNA2;PPP2R1A;CREB5;BAX;PRKCI;ITGA9;MX2;STAT1;LAMB1;RAF1;IFNAR1;ITGAV;GNAS;CDKN1A;PPP2R2A;HLA-F;FZD1;CHD4;ATP6V1G1;VEGFA;LAMC1;LAMC2;NOTCH1;PPP2R1B;FZD2;WNT6;PARD3;CREB3;WNT2B;NOTCH2;ATP6V1A;KRAS;RBL1;PRKACA;ATP6V1B2;TUBG1;PPP2R3B;TNC;COL9A3;TADA3;MAP2K1;CDK2;FAS;ATP6V1E2;HES1;PIK3CA;CCNE2;PPP2R5E;FZD8;MAP2K2;COL2A1;PTEN;GSK3B;NFKB1;DVL3;AKT2;LAMA4;CDKN1B;MAPK1;RELA;CTNNB1;TBP;BCAP31;ATP6V0E1;RPS6KB2;ATP6V0B;CCNE1;IKBKG;HLA-E;SOS2;EP300;ITGB4;TICAM1;PPP2R5D;ATP6V1D;ATP6V1C2;PPP2R5C;THBS2;CREB1;THBS3;E2F1;PPP2R3C;PIK3R3;FZD4;TBK1;PSMC1;PARD6G;TRADD;NFX1;CSNK1A1;CASP8;BAD;PTGER4;COL9A2;TNF;PTGS2;NRAS;EIF2AK2;ATP6V1F;TYK2;TRAF3;UBE3A;ATP6V0E2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Sphingolipid metabolism	-0.37263789369114014	-1.004956571469546	0.5096251266464032	0.8630129128893715	1.0	6/37	9.25%	SPHK1;PLPP2;UGT8;DEGS1;PSAP;KDSR	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Fat digestion and absorption	-0.4062886243216265	-1.004646515032081	0.49267782426778245	0.8589847081622732	1.0	4/19	8.42%	PLPP2;ACAT2;ACAT1;DGAT2	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Autophagy	-0.3431273261786291	-1.0013230565563465	0.491	0.8667060360134978	1.0	63/127	44.96%	RHEB;MRAS;TANK;RRAGA;RAB1A;DAPK1;PIK3R1;SH3GLB1;NRBF2;ATG101;RAB8A;LAMP2;RRAGC;CFLAR;PPP2CB;RRAGD;ATG3;ERN1;DDIT4;EIF2S1;PRKAA1;IRS2;RAF1;GABARAPL2;HMGB1;RAB7A;ATG5;WDR41;WIPI2;KRAS;PRKACA;ATG4C;ATG10;MAP2K1;DAPK2;MAP3K7;PIK3CA;EIF2AK4;MTMR4;PRKAA2;MAP2K2;PTEN;AKT1S1;AKT2;UVRAG;MAPK1;GABARAPL1;STX17;WIPI1;RPS6KB2;LAMP1;RRAS;SQSTM1;RRAS2;ATG12;CTSB;SNAP29;PIK3R3;TBK1;PIK3C3;C9orf72;RAB33B;EIF2AK3	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Fatty acid elongation	-0.3894676392386408	-0.9977558450301052	0.5219611848825332	0.8763424313016911	1.0	10/24	22.53%	HSD17B12;ELOVL4;HADHA;TECR;ACAA2;HADH;MECR;ELOVL6;HACD2;HADHB	KEGG_2021_Human	zero means below permutation resolution, not exact zero
Pal2021_reprocessed	high_vs_low_detected	prerank	Carbohydrate digestion and absorption	-0.3990928751912837	-0.9973524528817838	0.5154320987654321	0.8726394505514921	1.0	3/22	6.19%	ATP1A1;ATP1B3;PIK3R1	KEGG_2021_Human	zero means below permutation resolution, not exact zero
