dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	hedges_g	hedges_g_variance	hedges_g_se	effect_fdr	max_input_raw_missing_rate	source_type	source_effects
PRAD	PRAD	1-palmitoyl-GPI (16:0)	1-palmitoyl-GPI (16:0)	NA	HMDB61695	HMDB:HMDB61695	HIGH_ID	Lipid	Lysophospholipid	0.648661609325027	0.0342637687355167	0.185104750710285	0.0283480827184559	0.0217391304347826	single_dataset	PRAD
PRAD	PRAD	1-(1-enyl-palmitoyl)-GPE (P-16:0)	1-(1-enyl-palmitoyl)-GPE (P-16:0)	NA	NA	NAME:1-(1-enyl-palmitoyl)-GPE (P-16:0)	MODERATE_NAME_ONLY	Lipid	Lysoplasmalogen	0.0781522506152649	0.0327504325707871	0.180970805852179	0.80800129038578	0.21978021978022	single_dataset	PRAD
PRAD	PRAD	1-pentadecanoylglycerophosphocholine (15:0)	1-pentadecanoylglycerophosphocholine (15:0)	NA	NA	NAME:1-pentadecanoylglycerophosphocholine (15:0)	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.084802168529223	0.0327543874376157	0.180981732331238	0.798828299496792	0.630434782608696	single_dataset	PRAD
PRAD	PRAD	1-stearoylglycerol (18:0)	1-stearoylglycerol (18:0)	D01947	NA	KEGG:D01947	HIGH_ID	Lipid	Monoacylglycerol	0.165858577763704	0.0328285394815228	0.181186477093416	0.785756903732169	0.108695652173913	single_dataset	PRAD
PRAD	PRAD	1-stearoyl-GPC (18:0)	1-stearoyl-GPC (18:0)	NA	HMDB10384	HMDB:HMDB10384	HIGH_ID	Lipid	Lysophospholipid	-0.0150828355911351	0.0327289716863099	0.180911502360436	0.980835870068248	0.0217391304347826	single_dataset	PRAD
PRAD	PRAD	1-stearoylglycerophosphoethanolamine	1-stearoylglycerophosphoethanolamine	NA	HMDB11130	HMDB:HMDB11130	HIGH_ID	Lipid	Lysolipid	-0.0038203831761164	0.0327281946914126	0.180909354902981	0.80964085469056	0.0	single_dataset	PRAD
PRAD	PRAD	1-stearoyl-GPG (18:0)	1-stearoyl-GPG (18:0)	NA	NA	NAME:1-stearoyl-GPG (18:0)	MODERATE_NAME_ONLY	Lipid	Lysophospholipid	0.226220623689838	0.0329149143091316	0.181424679437864	0.515246941938894	0.543478260869565	single_dataset	PRAD
PRAD	PRAD	1-stearoyl-GPI (18:0)	1-stearoyl-GPI (18:0)	NA	HMDB61696	HMDB:HMDB61696	HIGH_ID	Lipid	Lysophospholipid	0.54465509895817	0.0338108026530678	0.183877140104657	0.0612996443067379	0.0	single_dataset	PRAD
PRAD	PRAD	10-nonadecenoate (19:1n9)	10-nonadecenoate (19:1n9)	NA	HMDB13622	HMDB:HMDB13622	HIGH_ID	Lipid	Long Chain Monounsaturated Fatty Acid	0.676389995167332	0.0343978619550435	0.185466606037431	0.0114780480450615	0.0434782608695652	single_dataset	PRAD
PRAD	PRAD	13-methylmyristic acid	13-methylmyristic acid	NA	NA	NAME:13-methylmyristic acid	MODERATE_NAME_ONLY	Lipid	Fatty Acid, Branched	-0.123457911443578	0.0327837686351002	0.181062885857649	0.948530203147992	0.5	single_dataset	PRAD
PRAD	PRAD	2-aminoadipate	2-aminoadipate	C00956	HMDB00510	KEGG:C00956	HIGH_ID	Amino acid	Lysine Metabolism	0.602735174304011	0.0340540162060684	0.184537303020469	0.0325974599394852	0.0	single_dataset	PRAD
PRAD	PRAD	2-aminobutyrate	2-aminobutyrate	C02261	HMDB00650	KEGG:C02261	HIGH_ID	Amino acid	Butanoate Metabolism	0.208517484254165	0.0328868258808727	0.181347252201054	0.425875154321911	0.010989010989011	single_dataset	PRAD
PRAD	PRAD	2-arachidonoylglycerophosphocholine	2-arachidonoylglycerophosphocholine	NA	NA	NAME:2-arachidonoylglycerophosphocholine	MODERATE_NAME_ONLY	Lipid	Lysolipid	-0.260252008397274	0.0329753352481542	0.181591121060899	0.280595149711827	0.0769230769230769	single_dataset	PRAD
PRAD	PRAD	2-arachidonoylglycerophosphoethanolamine	2-arachidonoylglycerophosphoethanolamine	NA	NA	NAME:2-arachidonoylglycerophosphoethanolamine	MODERATE_NAME_ONLY	Lipid	Lysolipid	-0.358013637370368	0.03319592888563	0.182197499668985	0.148928416145788	0.0	single_dataset	PRAD
PRAD	PRAD	2-ethylhexanoate (isobar with 2-propylpentanoate)	2-ethylhexanoate (isobar with 2-propylpentanoate)	NA	NA	NAME:2-ethylhexanoate (isobar with 2-propylpentanoate)	MODERATE_NAME_ONLY	Xenobiotics	Chemical	-0.365354727777105	0.0332153095884253	0.182250677881936	0.208333677845045	0.373626373626374	single_dataset	PRAD
PRAD	PRAD	2-hydroxybutyrate (AHB)	2-hydroxybutyrate (AHB)	C05984	HMDB00008	KEGG:C05984	HIGH_ID	Amino acid	Cysteine, methionine, SAM, taurine metabolism	-0.118617455937842	0.0327794921568344	0.181051076099631	0.843561005782725	0.0	single_dataset	PRAD
PRAD	PRAD	2-hydroxyglutarate	2-hydroxyglutarate	C02630	HMDB00606	KEGG:C02630	HIGH_ID	Lipid	Fatty Acid, Dicarboxylate	-0.0098986235032249	0.032728499025061	0.180910196022947	0.527097514069346	0.0	single_dataset	PRAD
PRAD	PRAD	2-linoleoylglycerophosphocholine	2-linoleoylglycerophosphocholine	NA	NA	NAME:2-linoleoylglycerophosphocholine	MODERATE_NAME_ONLY	Lipid	Lysolipid	-0.0466138745136321	0.0327360715453161	0.180931123760718	0.745899650606711	0.164835164835165	single_dataset	PRAD
PRAD	PRAD	2-methylbutyroylcarnitine	2-methylbutyroylcarnitine	NA	HMDB00378	HMDB:HMDB00378	HIGH_ID	Amino acid	Valine, leucine and isoleucine metabolism	0.264181007441656	0.0329828553095341	0.181611825907715	0.364562291469725	0.0	single_dataset	PRAD
PRAD	PRAD	2-oleoylglycerophosphocholine	2-oleoylglycerophosphocholine	NA	NA	NAME:2-oleoylglycerophosphocholine	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.0835373237905963	0.0327536103452027	0.180979585437703	0.929024886999219	0.41304347826087	single_dataset	PRAD
PRAD	PRAD	2-oleoylglycerophosphoethanolamine	2-oleoylglycerophosphoethanolamine	NA	NA	NAME:2-oleoylglycerophosphoethanolamine	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.347600641324808	0.0331691129779886	0.18212389458275	0.328525632850378	0.0652173913043478	single_dataset	PRAD
PRAD	PRAD	2-oleoylglycerophosphoserine	2-oleoylglycerophosphoserine	NA	NA	NAME:2-oleoylglycerophosphoserine	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.328639536732437	0.0331223164059239	0.181995374682776	0.208333677845045	0.739130434782609	single_dataset	PRAD
PRAD	PRAD	2-palmitoylglycerol (16:0)	2-palmitoylglycerol (16:0)	NA	HMDB11533	HMDB:HMDB11533	HIGH_ID	Lipid	Monoacylglycerol	0.0449228658282882	0.0327355066204149	0.180929562593886	0.991879285943422	0.41304347826087	single_dataset	PRAD
PRAD	PRAD	2-palmitoyl-GPC (16:0)	2-palmitoyl-GPC (16:0)	NA	HMDB61702	HMDB:HMDB61702	HIGH_ID	Lipid	Lysophospholipid	-0.0890978092901194	0.0327571137581742	0.180989264206953	0.747027174688917	0.0869565217391304	single_dataset	PRAD
PRAD	PRAD	2-palmitoylglycerophosphoethanolamine	2-palmitoylglycerophosphoethanolamine	NA	NA	NAME:2-palmitoylglycerophosphoethanolamine	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.239169028541137	0.032936907205594	0.181485280961278	0.824509870369111	0.0217391304347826	single_dataset	PRAD
PRAD	PRAD	2-phosphoglycerate	2-phosphoglycerate	C00631	HMDB03391	KEGG:C00631	HIGH_ID	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	-0.197247337486691	0.032870135993668	0.181301229983881	0.619519619005419	0.736263736263736	single_dataset	PRAD
PRAD	PRAD	2-stearoylglycerophosphocholine	2-stearoylglycerophosphocholine	NA	NA	NAME:2-stearoylglycerophosphocholine	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.0470760116589889	0.0327362295656685	0.180931560446674	0.929299561710299	0.5	single_dataset	PRAD
PRAD	PRAD	2-stearoylglycerophosphoglycerol	2-stearoylglycerophosphoglycerol	NA	NA	NAME:2-stearoylglycerophosphoglycerol	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.156146448357474	0.0328171257790296	0.181154977240565	0.669030033952216	0.630434782608696	single_dataset	PRAD
PRAD	PRAD	2-stearoylglycerophosphoinositol	2-stearoylglycerophosphoinositol	NA	NA	NAME:2-stearoylglycerophosphoinositol	MODERATE_NAME_ONLY	Lipid	Lysolipid	0.170896351945597	0.0328347310701743	0.181203562520648	0.669030033952216	0.369565217391304	single_dataset	PRAD
PRAD	PRAD	3-(4-hydroxyphenyl)lactate	3-(4-hydroxyphenyl)lactate	C03672	HMDB00755	KEGG:C03672	HIGH_ID	Amino acid	Phenylalanine and Tyrosine Metabolism	0.0934243378788904	0.0327599958285677	0.18099722602451	0.912667886314077	0.152173913043478	single_dataset	PRAD
PRAD	PRAD	3-aminoisobutyrate	3-aminoisobutyrate	C05145	HMDB03911	KEGG:C05145	HIGH_ID	Nucleotide	Pyrimidine Metabolism, Thymine containing; Valine, leucine and isoleucine metabolism/	0.259587163144952	0.0329740738882814	0.181587647950739	0.512002546275533	0.0652173913043478	single_dataset	PRAD
PRAD	PRAD	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	NA	HMDB61112	HMDB:HMDB61112	HIGH_ID	Lipid	Fatty Acid, Dicarboxylate	-0.232723679715808	0.0329258067927734	0.181454696254391	0.508496604641267	0.274725274725275	single_dataset	PRAD
PRAD	PRAD	3-dehydrocarnitine	3-dehydrocarnitine	C02636	HMDB12154	KEGG:C02636	HIGH_ID	Lipid	Carnitine Metabolism	-0.0460690883641118	0.0327358872665042	0.180930614508723	0.857623836113148	0.0	single_dataset	PRAD
PRAD	PRAD	3-hydroxybutyrate (BHBA)	3-hydroxybutyrate (BHBA)	C01089	HMDB00357	KEGG:C01089	HIGH_ID	Lipid	Ketone bodies	-0.0841371416004048	0.0327539774040735	0.180980599524019	0.815605024724815	0.0	single_dataset	PRAD
PRAD	PRAD	3-hydroxyhippurate	3-hydroxyhippurate	NA	HMDB06116	HMDB:HMDB06116	HIGH_ID	Xenobiotics	Benzoate Metabolism	-0.00024967268529	0.0327281416512989	0.180909208309856	0.98027091819487	0.695652173913043	single_dataset	PRAD
PRAD	PRAD	3-indoxyl sulfate	3-indoxyl sulfate	NA	HMDB00682	HMDB:HMDB00682	HIGH_ID	Amino acid	Tryptophan Metabolism	-0.373194187447145	0.0332364403345393	0.182308640317839	0.0612996443067379	0.0659340659340659	single_dataset	PRAD
