cohort	analysis_type	conclusion	count
Pal2021_reprocessed	ALL	NOT_EVALUABLE	20
Wu2021	ALL	NOT_EVALUABLE	2
Wu2021	ALL	NOT_FDR_SUPPORTED	18
Wu2021	AUTHOR_NAIVE	NOT_EVALUABLE	2
Wu2021	AUTHOR_NAIVE	NOT_FDR_SUPPORTED	18
