cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	holm20	positive_pairs	negative_pairs	equal_pairs	mean_malignant	mean_nonmalignant	mean_detection_malignant	mean_detection_nonmalignant	median_difference	conclusion
BRCA	Wu2021	06_EXTERNAL	20260923T040012Z_epithelial_paired20_v1	epithelial_paired20_v1	AUTHOR_NAIVE	NA	NA	PCYT2	paired_publisher_donor_label	7	7	mean_paired_mean_log1p10k_difference	0.15090664793959288	0.04426821139573154	0.2798777745257164	0.03125	0.15625	Wu2021_AUTHOR_NAIVE_planned20	18	DONE		GSE176078	0.53125	6	1	0	0.22982385659509005	0.07891720865549716	0.34760008591652614	0.13848809438033766	0.0808634255898609	NOT_FDR_SUPPORTED
BRCA	Wu2021	06_EXTERNAL	20260923T040012Z_epithelial_paired20_v1	epithelial_paired20_v1	AUTHOR_NAIVE	NA	NA	SLC22A2	paired_publisher_donor_label	7	7	mean_paired_mean_log1p10k_difference	0.0	NA	NA	NA	NA	Wu2021_AUTHOR_NAIVE_planned20	18	NOT_EVALUABLE	both_groups_mean_detection_below_1percent	GSE176078	NA	0	0	7	0.0	0.0	0.0	0.0	0.0	NOT_EVALUABLE
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260923T040012Z_epithelial_paired20_v1	epithelial_paired20_v1	ALL	NA	NA	ABHD12	paired_publisher_donor_label	0	0	mean_paired_mean_log1p10k_difference	NA	NA	NA	NA	NA	Pal2021_reprocessed_ALL_planned20	0	NOT_EVALUABLE	fewer_than_6_paired_donors;no_unpaired_fallback	Pal2021_reprocessed	NA	0	0	0	NA	NA	NA	NA	NA	NOT_EVALUABLE
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260923T040012Z_epithelial_paired20_v1	epithelial_paired20_v1	ALL	NA	NA	CEPT1	paired_publisher_donor_label	0	0	mean_paired_mean_log1p10k_difference	NA	NA	NA	NA	NA	Pal2021_reprocessed_ALL_planned20	0	NOT_EVALUABLE	fewer_than_6_paired_donors;no_unpaired_fallback	Pal2021_reprocessed	NA	0	0	0	NA	NA	NA	NA	NA	NOT_EVALUABLE
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260923T040012Z_epithelial_paired20_v1	epithelial_paired20_v1	ALL	NA	NA	CHKA	paired_publisher_donor_label	0	0	mean_paired_mean_log1p10k_difference	NA	NA	NA	NA	NA	Pal2021_reprocessed_ALL_planned20	0	NOT_EVALUABLE	fewer_than_6_paired_donors;no_unpaired_fallback	Pal2021_reprocessed	NA	0	0	0	NA	NA	NA	NA	NA	NOT_EVALUABLE
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260923T040012Z_epithelial_paired20_v1	epithelial_paired20_v1	ALL	NA	NA	CHKB	paired_publisher_donor_label	0	0	mean_paired_mean_log1p10k_difference	NA	NA	NA	NA	NA	Pal2021_reprocessed_ALL_planned20	0	NOT_EVALUABLE	fewer_than_6_paired_donors;no_unpaired_fallback	Pal2021_reprocessed	NA	0	0	0	NA	NA	NA	NA	NA	NOT_EVALUABLE
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260923T040012Z_epithelial_paired20_v1	epithelial_paired20_v1	ALL	NA	NA	CHPT1	paired_publisher_donor_label	0	0	mean_paired_mean_log1p10k_difference	NA	NA	NA	NA	NA	Pal2021_reprocessed_ALL_planned20	0	NOT_EVALUABLE	fewer_than_6_paired_donors;no_unpaired_fallback	Pal2021_reprocessed	NA	0	0	0	NA	NA	NA	NA	NA	NOT_EVALUABLE
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260923T040012Z_epithelial_paired20_v1	epithelial_paired20_v1	ALL	NA	NA	ENPP2	paired_publisher_donor_label	0	0	mean_paired_mean_log1p10k_difference	NA	NA	NA	NA	NA	Pal2021_reprocessed_ALL_planned20	0	NOT_EVALUABLE	fewer_than_6_paired_donors;no_unpaired_fallback	Pal2021_reprocessed	NA	0	0	0	NA	NA	NA	NA	NA	NOT_EVALUABLE
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260923T040012Z_epithelial_paired20_v1	epithelial_paired20_v1	ALL	NA	NA	ETNK1	paired_publisher_donor_label	0	0	mean_paired_mean_log1p10k_difference	NA	NA	NA	NA	NA	Pal2021_reprocessed_ALL_planned20	0	NOT_EVALUABLE	fewer_than_6_paired_donors;no_unpaired_fallback	Pal2021_reprocessed	NA	0	0	0	NA	NA	NA	NA	NA	NOT_EVALUABLE
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260923T040012Z_epithelial_paired20_v1	epithelial_paired20_v1	ALL	NA	NA	ETNK2	paired_publisher_donor_label	0	0	mean_paired_mean_log1p10k_difference	NA	NA	NA	NA	NA	Pal2021_reprocessed_ALL_planned20	0	NOT_EVALUABLE	fewer_than_6_paired_donors;no_unpaired_fallback	Pal2021_reprocessed	NA	0	0	0	NA	NA	NA	NA	NA	NOT_EVALUABLE
