cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	statistics_reused	previous_p	previous_q	previous_effect	previous_run	bootstrap_mean_lower	bootstrap_mean_upper	positive_pairs	negative_pairs	equal_pairs	positive_pair_fraction	median_paired_difference	seed
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	CPT1A	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.0232401680680624	-0.1789540249186859	0.132473688782561	0.7649899070752535	0.8264124543586681	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|CPT1A	True	0.7649899070752535	0.8293348525301814	-0.0232401680680624	20260921T103911Z_camp_pair_sensitivity_v1	-0.1633793659362736	0.1390651620697118	13.0	32.0	0.0	0.28888888888888886	-0.11952113843194034	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	CPT1B	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.154362579582981	0.0510002115604074	0.2577249476055545	0.0043165086656427	0.00967944367447151	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|CPT1B	True	0.0043165086656427	0.0106535107492458	0.154362579582981	20260921T103911Z_camp_pair_sensitivity_v1	0.0585397076150158	0.2565668224008862	31.0	14.0	0.0	0.6888888888888889	0.12809711166706883	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	CPT2	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.1337156225030978	0.0253405929692027	0.2420906520369928	0.016763605613786	0.03264491619526747	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|CPT2	True	0.016763605613786	0.0347246116285568	0.1337156225030978	20260921T103911Z_camp_pair_sensitivity_v1	0.0314393948660186	0.2370484537945922	30.0	15.0	0.0	0.6666666666666666	0.1425892541009901	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	CRAT	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.1526721363945524	-0.414423621512021	0.1090793487229162	0.2461140367374654	0.334173187496742	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|CRAT	True	0.2461140367374654	0.3398717650184046	-0.1526721363945524	20260921T103911Z_camp_pair_sensitivity_v1	-0.3957282997897733	0.1084497525371322	16.0	29.0	0.0	0.35555555555555557	-0.2603958164372404	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	CTNS	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.0084074275093402	-0.1099240818877772	0.0931092268690968	0.8682062578633117	0.8985631200263646	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|CTNS	True	0.8682062578633117	0.8992136242155728	-0.0084074275093402	20260921T103911Z_camp_pair_sensitivity_v1	-0.1056571152458389	0.0888288937031374	20.0	25.0	0.0	0.4444444444444444	-0.07113128031696991	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	CYP4F2	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.07523229107710293	-0.007115123171812801	0.15757970532601867	0.07233568167190528	0.11764484491694484	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|CYP4F2	False	NA	NA	NA	NA	-0.006176515228929404	0.151453615678932	28.0	17.0	0.0	0.6222222222222222	0.09231289834023926	857057205.0
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	DPYD	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.3273890638679049	-0.4976541170427716	-0.1571240106930383	0.0003507833171873	0.0011536873543048977	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|DPYD	True	0.0003507833171873	0.0014031332687493	-0.3273890638679049	20260921T103911Z_camp_pair_sensitivity_v1	-0.4978840691836007	-0.1643270400982664	13.0	32.0	0.0	0.28888888888888886	-0.24607370753236069	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	DPYS	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-0.0512902298912861	-0.1484111488641322	0.0458306890815599	0.2929856351762507	0.3811329901011446	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|DPYS	True	0.2929856351762507	0.3862083372777851	-0.0512902298912861	20260921T103911Z_camp_pair_sensitivity_v1	-0.1445311654695611	0.0403519430073128	18.0	27.0	0.0	0.4	-0.036542977979419966	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ENPP2	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	-1.5031096726259476	-1.8568301461500776	-1.1493891991018177	6.339395563642676e-11	3.1274351447303866e-09	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ENPP2	False	NA	NA	NA	NA	-1.8544049249656274	-1.165522469062793	5.0	40.0	0.0	0.1111111111111111	-1.3624139515180893	2159850039.0
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ETNK1	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.2524707458298525	0.1304991178273927	0.3744423738323124	0.0001399761474708	0.0004892312431675759	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ETNK1	True	0.0001399761474708	0.0005799011823791	0.2524707458298525	20260921T103911Z_camp_pair_sensitivity_v1	0.1349805861857368	0.3705644588759939	36.0	9.0	0.0	0.8	0.15888778765911926	NA
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260921T150000Z_mapping262_patient_v1	mapping262_patient_v1	paired_RNA150	NA	NA	ETNK2	author_case_row	45.0	45.0	mean_tumor_minus_normal_author_expression_scale	0.6069032075144858	0.2655322067720269	0.9482742082569446	0.0008448298187328	0.0022733602394991712	paired_RNA150	148.0	DONE	paired_t_on_author_scale;not_protein_or_flux	CAMP_GSE37751_original_author_case_table	NA|ETNK2	True	0.0008448298187328	0.0028000073992288	0.6069032075144858	20260921T103911Z_camp_pair_sensitivity_v1	0.2636892485236499	0.9269932638470804	32.0	13.0	0.0	0.7111111111111111	0.3258420668627702	NA
