cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	partition	celltype	n_source_labels_total	n_cells_total	n_cells_eligible	median_donor_mean	donor_mean_q25	donor_mean_q75	mean_detection_fraction	median_detection_fraction	annotation_origin	row_scaled
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	OAT	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.21619834566583213	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.21414743796722013	0.12370426345038599	0.29654468959269226	0.12897627034804138	0.13182720953326713	Wu2021_author_celltype_major_via_CELLxGENE	0.2923156160923874
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	ODC1	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.4338530471585396	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.3413462272888875	0.23852910859476487	0.5428813454652586	0.23909605048100052	0.16985645933014354	Wu2021_author_celltype_major_via_CELLxGENE	1.0
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	OTC	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.0	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.0	0.0	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.0
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PAH	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.00016450453809962548	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.0	0.00010121457489878542	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.046620029467791035
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PANK1	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.004060603778772261	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.004153386908591867	0.0033469670860578255	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.24016998713433754
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PANK2	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.07649346940211485	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.06682723467281465	0.04841404147085979	0.10458804391642758	0.05327129221882276	0.04185415945540556	Wu2021_author_celltype_major_via_CELLxGENE	0.5509845870058757
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PANK3	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.04216286862320516	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.035926605440727274	0.015167996258164219	0.052651546514845673	0.02676055253927786	0.019360269360269362	Wu2021_author_celltype_major_via_CELLxGENE	0.2718590505163626
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PCYT1A	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.061568379872	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.050547249312346984	0.02946790688675934	0.08481160390461755	0.038484190713961586	0.031215495031284506	Wu2021_author_celltype_major_via_CELLxGENE	0.539670713104084
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PCYT1B	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.0	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.0	0.0	0.0	0.0	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.0
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	PCYT2	publisher_donor_label	20	NA	equal_donor_mean_log1p_counts_per_10k	0.018866202432947964	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	B_cells	20	3206	3206	0.00691269565438905	0.0	0.030869487008640718	0.014245964405281147	0.0058823529411764705	Wu2021_author_celltype_major_via_CELLxGENE	0.1139120421084153
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MAT1A	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	1.553839233816236e-05	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.0	0.0	0.0	4.101049868766404e-05	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.009744055523265089
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MAT2A	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.43326849175665066	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.40605993073448693	0.3441806248761583	0.5271306563703761	0.334871033867749	0.3318815763351201	Wu2021_author_celltype_major_via_CELLxGENE	0.7214327759386273
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MDH1	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.27605080446845237	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.2779558054509385	0.19109039562566443	0.3452697405079779	0.24308772264916292	0.23309759547383307	Wu2021_author_celltype_major_via_CELLxGENE	0.3982613151409434
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MDH2	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	0.4339403544707186	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.4094794916465986	0.3007262368165322	0.5900101559109142	0.35620304730516555	0.34170117118182897	Wu2021_author_celltype_major_via_CELLxGENE	0.3816606002968239
BRCA	Wu2021	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	MGAM	publisher_donor_label	24	NA	equal_donor_mean_log1p_counts_per_10k	1.4499006827885323e-05	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE176078_CELLxGENE_22a27631	ALL	Endothelial	26	7605	7587	0.0	0.0	0.0	1.499880009599232e-05	0.0	Wu2021_author_celltype_major_via_CELLxGENE	0.0021494648054205985
