cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	partition	celltype	n_source_labels_total	n_cells_total	n_cells_eligible	median_donor_mean	donor_mean_q25	donor_mean_q75	mean_detection_fraction	median_detection_fraction	annotation_origin	row_scaled
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CEPT1	publisher_donor_label	14	NA	equal_donor_mean_log1p_counts_per_10k	0.09504228427091047	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	ALL	B_cells	24	5423	5314	0.10220434218301867	0.07472541123284938	0.14364978853000787	0.04752074807140303	0.04841724879064281	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	0.8780357384898889
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CHKA	publisher_donor_label	14	NA	equal_donor_mean_log1p_counts_per_10k	0.014655061683823118	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	ALL	B_cells	24	5423	5314	0.004598857826586913	0.0	0.02277241515085038	0.00891660145517378	0.002233228206325686	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	0.1679371127102139
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CHKB	publisher_donor_label	14	NA	equal_donor_mean_log1p_counts_per_10k	0.01490693698309157	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	ALL	B_cells	24	5423	5314	0.0	0.0	0.008660784681747913	0.009831454553559618	0.0	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	0.42345333744272934
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CHPT1	publisher_donor_label	14	NA	equal_donor_mean_log1p_counts_per_10k	0.15822500945160664	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	ALL	B_cells	24	5423	5314	0.16693780383688595	0.11138060737330933	0.21757348845572932	0.07643004645490349	0.07884462151394422	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	0.42716945650333893
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CKB	publisher_donor_label	14	NA	equal_donor_mean_log1p_counts_per_10k	0.006955978648107356	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	ALL	B_cells	24	5423	5314	0.0	0.0	0.008423193325254675	0.003711655102879705	0.0	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	0.02670937071820896
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CKM	publisher_donor_label	14	NA	equal_donor_mean_log1p_counts_per_10k	0.0	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	ALL	B_cells	24	5423	5314	0.0	0.0	0.0	0.0	0.0	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	0.0
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CMAS	publisher_donor_label	14	NA	equal_donor_mean_log1p_counts_per_10k	0.07728237735454127	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	ALL	B_cells	24	5423	5314	0.05594507896480655	0.030617369843750495	0.11734792132049379	0.040881846400030626	0.029631255487269532	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	0.43508260823527434
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CMPK1	publisher_donor_label	14	NA	equal_donor_mean_log1p_counts_per_10k	0.2399528265985336	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	ALL	B_cells	24	5423	5314	0.20884769984420287	0.17060164983993986	0.31759994006296977	0.1306399067099911	0.10650501442505839	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	0.6459197060368503
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CMPK2	publisher_donor_label	14	NA	equal_donor_mean_log1p_counts_per_10k	0.044511469545339834	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	ALL	B_cells	24	5423	5314	0.01176411255271831	0.0	0.06679756845785322	0.023713210450992502	0.006422023729231058	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	0.4682469493826074
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260919T140105Z_scRNA117_v1	sc117_v1	descriptive_cell_source	NA	NA	CPT1A	publisher_donor_label	14	NA	equal_donor_mean_log1p_counts_per_10k	0.02001955185802412	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE		GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	ALL	B_cells	24	5423	5314	0.004352377417715919	0.0	0.03519742113166863	0.00974292621824166	0.001929570670525808	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	0.11478090613220054
