label	count	unit
DIRECT_MAPPED	93	入口代谢物
UNKNOWN_FEATURE	53	入口代谢物
NAMED_UNRESOLVED	31	入口代谢物
CONDITIONAL_ONLY	13	入口代谢物
直接关系	262	关系
当前基因	150	基因
历史保留	6	基因
