cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	partition	celltype	human_gene_id	n_donors	n_cells	mean_expression	mean_detection_fraction	expression_scale	row_scaled
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	OAT	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.12742593665041863	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	B cells	hsa:4942	22	3926	0.12742593665041863	0.14308161722258855	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.3022377572753651
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	OGT	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.10660865788785756	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	B cells	hsa:8473	22	3926	0.10660865788785756	0.11498176567818912	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.5906598719762178
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	OPLAH	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.002476363343107803	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	B cells	hsa:26873	22	3926	0.002476363343107803	0.004273000744038206	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.042926777531131305
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	OXCT1	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.04402037619670855	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	B cells	hsa:5019	22	3926	0.04402037619670855	0.047818251173002375	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.4620487619962311
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	OXCT2	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.004704404004461699	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	B cells	hsa:64064	22	3926	0.004704404004461699	0.005278103860741581	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.2287440555765372
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	P4HA1	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.062088120097295724	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	B cells	hsa:5033	22	3926	0.062088120097295724	0.07057584303401403	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.2105441014329749
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	P4HA2	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.012674255358598422	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	B cells	hsa:8974	22	3926	0.012674255358598422	0.023439704029727535	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.04416748356626912
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	P4HA3	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.005029352307916118	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	B cells	hsa:283208	22	3926	0.005029352307916118	0.005327315136380659	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.06816803417386229
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	PAH	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.0012218456930465904	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	B cells	hsa:5053	22	3926	0.0012218456930465904	0.0026174626289042764	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.07665697482215517
COAD	Lee	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	PANK1	author_source_donor_label	22	NA	donor_equal_mean_log1p_CP10K	0.0026349969165778988	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Lee original count matrix and annotation	Lee	ALL	B cells	hsa:53354	22	3926	0.0026349969165778988	0.0033255625885170556	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.05119719996952525
