cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	partition	celltype	human_gene_id	n_donors	n_cells	mean_expression	mean_detection_fraction	expression_scale	row_scaled
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB2B	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.13163872448936936	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:84932	11	1948	0.13163872448936936	0.08704943155607128	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.7191508310962071
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB33B	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.0637046599415345	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:83452	11	1948	0.0637046599415345	0.04003787358426886	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.6449819719799428
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB34	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.03882859226823292	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:83871	11	1948	0.03882859226823292	0.023214508920135657	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.04985440429567487
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB35	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.07342275871569365	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:11021	11	1948	0.07342275871569365	0.04977795932357809	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.34572928161988536
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB36	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.00013203362082168994	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:9609	11	1948	0.00013203362082168994	0.000225022502250225	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.008011036919986322
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB37	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.05822507923646089	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:326624	11	1948	0.05822507923646089	0.03770055025298432	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.21984441884652142
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB38	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.001791732573235949	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:23682	11	1948	0.001791732573235949	0.001180637544273908	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.02075129434787958
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB39A	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.025759020109479214	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:54734	11	1948	0.025759020109479214	0.017420842093662705	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.7000475945376092
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB39B	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.04557000533924525	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:116442	11	1948	0.04557000533924525	0.0319242818993546	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.6366581244093689
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB3A	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.004438469235156663	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:5864	11	1948	0.004438469235156663	0.002969090148183977	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.09433151748156365
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB3B	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.0035666637057249124	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:5865	11	1948	0.0035666637057249124	0.0032054137106491297	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.12403512211507747
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB3C	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.0022234130967921898	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:115827	11	1948	0.0022234130967921898	0.0017153354679730268	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.008785585570911428
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB3D	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.00494948590461472	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:9545	11	1948	0.00494948590461472	0.0036375805409218365	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.035162284984971905
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB4A	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.18360741894159138	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:5867	11	1948	0.18360741894159138	0.12122018559864228	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.5459749136744089
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB4B	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	NA	NA	NA	NA	NA	NA:descriptive only	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:53916	11	1948	NA	NA	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	NA
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB5A	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.20730753800624227	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:5868	11	1948	0.20730753800624227	0.13568611816667908	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.3947279363673601
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB5B	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.13234015490487316	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:5869	11	1948	0.13234015490487316	0.08540372221206262	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.46622027923365617
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB5C	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.006966023339334656	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:5878	11	1948	0.006966023339334656	0.005130720191372112	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.2816616610408285
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB6A	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.10807612136787234	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:5870	11	1948	0.10807612136787234	0.06890651543442722	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.20585087075170924
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB6B	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.0	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:51560	11	1948	0.0	0.0	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.0
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB7A	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.3536151345909011	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:7879	11	1948	0.3536151345909011	0.22227796264538888	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.3375714847251495
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB8A	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.33768190002756665	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:4218	11	1948	0.33768190002756665	0.20691613411983328	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.6890704378789472
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB8B	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.42414192383811194	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:51762	11	1948	0.42414192383811194	0.25365511619416353	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.694603333196714
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB9A	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.1527422398442633	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:9367	11	1948	0.1527422398442633	0.09987226804855412	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.46387843352298413
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAB9B	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.0017039353697022583	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:51209	11	1948	0.0017039353697022583	0.0011251125112511251	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.05477150763412308
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	RAN	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	1.1050775381755322	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:5901	11	1948	1.1050775381755322	0.5584240174221046	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.9560939691589724
