label	count	unit
HAS_DIRECT_RELATIONS	78	入口代谢物
CONDITIONAL_IDENTITY	15	入口代谢物
NO_DIRECT_HIT_IN_SCOPED_SEARCH	6	入口代谢物
CONDITIONAL_RELATIONS_ONLY	2	入口代谢物
直接关系	891	关系
当前基因	526	基因
条件或历史保留	285	基因
