cohort	unit	source_malignant_donors	eligible_donors	malignant_cells	min_cells	max_cells	annotation_origin
Wu2021	publisher_donor_label	20	20	24489	124	4053	Wu2021_author_celltype_major_via_CELLxGENE
Pal2021_reprocessed	publisher_donor_label	33	33	130078	51	13939	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels
