test_id	n	R_rho	absolute_difference	P_formula_matches
Wu2021|LYPLA1	20	0.2	0	TRUE
Wu2021|LYPLA2	20	0.305263157894737	0	TRUE
Pal2021_reprocessed|LYPLA1	33	0.433823529411765	0	TRUE
Pal2021_reprocessed|LYPLA2	33	0.21524064171123	0	TRUE
CAMP|processed	60	-0.158532524188618	2.77555756156289e-17	TRUE
CAMP|author_available	55	-0.145093795093795	0	TRUE
CAMP|processed_ER_PC12	60	-0.0540749260116697	1.17961196366423e-16	TRUE
CAMP|author_available_ER_PC12	55	0.00607143235532106	6.41847686111419e-17	TRUE
