population	PC1_loading	PC2_loading
B lineage	0.3518293271480177	0.2567056981778998
Cytotoxic lymphocytes	0.42232116764578637	0.23327303440725744
Endothelial cells	0.18517118206461888	-0.558309543523657
Fibroblasts	0.11188419535770339	-0.5499834679547778
Monocytic lineage	0.3568299761890405	0.09356582383057138
Myeloid dendritic cells	0.3973592881453157	-0.176390352864898
NK cells	0.32558842837083674	-0.004036497079042902
Neutrophils	0.22717607437350623	-0.4121505881133629
T cells	0.45630657111162826	0.23609742473079023
