cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	partition	celltype	median	q25	q75	resampling_lower	resampling_upper	n_bootstrap_evaluable	mean_detection
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ACLY	source_donor_label	23	NA	mean_log1p_counts_per10k	0.1197295018156605	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Fibroblasts	0.1027505333761313	0.0824926343914822	0.1481996142915321	0.0992716480622113	0.1449415732781924	1000	0.133704249714361
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ACLY	source_donor_label	20	NA	mean_log1p_counts_per10k	0.1912727331973979	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Malignant_epithelial	0.1682004425437011	0.1263838217803699	0.2366740521888773	0.1477662980874741	0.2375385157009519	1000	0.2758291654739049
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ACLY	source_donor_label	26	NA	mean_log1p_counts_per10k	0.0964585926467445	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Myeloid	0.0948912842276458	0.0664185984904876	0.1227251478494429	0.0774536504558002	0.1139303149523668	1000	0.1223447709737882
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ACLY	source_donor_label	10	NA	mean_log1p_counts_per10k	0.1161751192178897	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Nonmalignant_epithelial	0.1158549492313143	0.0950760434249211	0.1343559260792221	0.0883429165476983	0.1453869527301273	999	0.1826667040217818
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ACLY	source_donor_label	24	NA	mean_log1p_counts_per10k	0.0816950775140818	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Perivascular	0.0831883175458735	0.0462595872513122	0.1204957010389607	0.0630662659834739	0.1008715725415257	1000	0.0873069494403191
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ACLY	source_donor_label	14	NA	mean_log1p_counts_per10k	0.0288368236492786	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Plasma_cells	0.0225789969100825	0.018115569044413	0.0322779023538926	0.0169564707388912	0.0463078280997271	1000	0.0352148711282092
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ACLY	source_donor_label	26	NA	mean_log1p_counts_per10k	0.0669894898571622	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	T_NK_cells	0.0655246833018682	0.0397102652969995	0.0854149296821239	0.0559099171919971	0.0795071496132902	1000	0.0430893425871138
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA	source_donor_label	20	NA	mean_log1p_counts_per10k	0.0426825030465246	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	B_cells	0.0249578881446956	0.0	0.0642655738778331	0.0252951011298779	0.0621822836609643	1000	0.0325917509155126
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA	source_donor_label	24	NA	mean_log1p_counts_per10k	0.1349589086443705	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Endothelial	0.1318955078922608	0.0947086537132571	0.1813119870258467	0.1087946544536512	0.1603899616125976	1000	0.1402325345121872
BRCA	Wu2021	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	source_label_expression_distribution	NA	NA	ADA	source_donor_label	23	NA	mean_log1p_counts_per10k	0.0841445802308726	NA	NA	NA	NA	NA_descriptive_no_tests	NA	DONE	NA	previous_sc117_private_aggregates	ALL	Fibroblasts	0.0541651225524102	0.042131628097013	0.1095089734649245	0.0602134235513381	0.1138275424875706	1000	0.0906809926367563
