population	B lineage	Cytotoxic lymphocytes	Endothelial cells	Fibroblasts	Monocytic lineage	Myeloid dendritic cells	NK cells	Neutrophils	T cells
B lineage	1.0	0.5212992117469574	0.010221321104236078	-0.10376416286557065	0.32905593042124864	0.4624402873073907	0.12767939871834713	0.030004889038179976	0.8351884336552153
Cytotoxic lymphocytes	0.5212992117469574	1.0	-0.00823429793844044	-0.15040526547237548	0.4991362843533949	0.41374252827763314	0.691791404944729	0.21526904559230045	0.7379947297498098
Endothelial cells	0.010221321104236078	-0.00823429793844044	1.0	0.652002941363254	0.03920044634356823	0.4317036836024845	0.19909775233039342	0.5488254158025608	0.041347379569051664
Fibroblasts	-0.10376416286557065	-0.15040526547237548	0.652002941363254	1.0	0.11755432175755617	0.328908765933816	0.04482952857886035	0.38123827472662636	-0.01910004304440655
Monocytic lineage	0.32905593042124864	0.4991362843533949	0.03920044634356823	0.11755432175755617	1.0	0.39579673395644993	0.3629129665181196	0.16977059316335277	0.6423645884028371
Myeloid dendritic cells	0.4624402873073907	0.41374252827763314	0.4317036836024845	0.328908765933816	0.39579673395644993	1.0	0.3611693800343062	0.3551632399403379	0.5757930712974728
NK cells	0.12767939871834713	0.691791404944729	0.19909775233039342	0.04482952857886035	0.3629129665181196	0.3611693800343062	1.0	0.2546838584782869	0.3274172765835192
Neutrophils	0.030004889038179976	0.21526904559230045	0.5488254158025608	0.38123827472662636	0.16977059316335277	0.3551632399403379	0.2546838584782869	1.0	0.12388858366976888
T cells	0.8351884336552153	0.7379947297498098	0.041347379569051664	-0.01910004304440655	0.6423645884028371	0.5757930712974728	0.3274172765835192	0.12388858366976888	1.0
