cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	ER_v3_rho	ER_v3_p	ER_v3_q	original_q	signed_delta_from_ER	abs_effect_change	design_condition_number	seed	bootstrap_valid	interval_scope
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00021	S-adenosylhomocysteine (SAH)	AHCY	author_mapped_tumor_specimen_NOT_verified_independent_patient	55.0	NA	partial_rank_correlation	0.0030561038729811	-0.2382767232276893	0.2611510529832321	0.984	0.9949182352941176	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00021|AHCY	0.0842096092455079	0.5501	0.7394142857142856	0.8987240506329114	-0.0811535053725267	-0.0811535053725267	1.7830917451138062	1653483579.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00021	S-adenosylhomocysteine (SAH)	AHCY	author_mapped_tumor_specimen_NOT_verified_independent_patient	55.0	NA	partial_rank_correlation	-0.0015545141722717	-0.2880165601951368	0.2699289076711689	0.9919	0.9919	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00021|AHCY	0.0842096092455079	0.5501	0.7394142857142856	0.8987240506329114	-0.0857641234177796	-0.0826550950732361	2.5041802162623363	4050578439.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00021	S-adenosylhomocysteine (SAH)	NNMT	author_mapped_tumor_specimen_NOT_verified_independent_patient	55.0	NA	partial_rank_correlation	0.1185545377585772	-0.2208369122869062	0.3855012918205329	0.4127	0.7275432989690721	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00021|NNMT	-0.0164548079061766	0.9068	0.9406030120481929	0.5264242990654207	0.1350093456647538	0.1020997298524006	1.7830917451138062	489292601.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00021	S-adenosylhomocysteine (SAH)	NNMT	author_mapped_tumor_specimen_NOT_verified_independent_patient	55.0	NA	partial_rank_correlation	0.1279603495987813	-0.1605377283198441	0.3644753059505027	0.3807	0.7524	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00021|NNMT	-0.0164548079061766	0.9068	0.9406030120481929	0.5264242990654207	0.1444151575049579	0.1115055416926047	2.5041802162623363	4010600711.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	ASNS	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.0392852584997148	-0.1974370745062603	0.3047800126472662	0.7643	0.8700882352941176	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|ASNS	0.1774358594121097	0.1929	0.4780565217391304	0.212735593220339	-0.1381506009123949	-0.1381506009123949	1.680666914287067	1495122136.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	ASNS	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1151397391890122	-0.1548522194498681	0.3610038247181041	0.4038	0.7625472527472527	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|ASNS	0.1774358594121097	0.1929	0.4780565217391304	0.212735593220339	-0.0622961202230975	-0.0622961202230975	2.508176151229478	870738602.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	BCAT1	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.3233231045890862	0.0892003445981647	0.5456033856978627	0.0118	0.252225	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|BCAT1	0.2099062996636585	0.0891	0.3379978723404255	0.12426	0.1134168049254276	0.1134168049254276	1.680666914287067	2152197342.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	BCAT1	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1454576120457453	-0.1053762208016978	0.403413321699425	0.2824	0.7429447058823531	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|BCAT1	0.2099062996636585	0.0891	0.3379978723404255	0.12426	-0.0644486876179132	-0.0644486876179132	2.508176151229478	3672667731.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	BCAT2	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.2743544131124995	0.004905853804074	0.5558009027208581	0.0417	0.4317750000000001	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|BCAT2	0.393455269671664	0.0025	0.0534375	0.0800590909090909	-0.1191008565591645	-0.1191008565591645	1.680666914287067	1900841252.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	BCAT2	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.2947578805913827	0.006718791159388	0.5437866966874065	0.0302	0.43035	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|BCAT2	0.393455269671664	0.0025	0.0534375	0.0800590909090909	-0.0986973890802813	-0.0986973890802813	2.508176151229478	2110810495.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	FOLH1	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.0636224103482834	-0.2231478165728426	0.3512487392946498	0.6377	0.8163335820895523	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|FOLH1	0.124245104163345	0.3502	0.5986693069306931	0.2592260869565218	-0.0606226938150616	-0.0606226938150616	1.680666914287067	4284895216.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	FOLH1	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1674458966003898	-0.1541514996965164	0.4353984111259419	0.216	0.6812517857142857	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|FOLH1	0.124245104163345	0.3502	0.5986693069306931	0.2592260869565218	0.0432007924370447	0.0432007924370447	2.508176151229478	203356734.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GCLC	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.0799491235769119	-0.1738557010739014	0.339743045717733	0.5502	0.8163335820895523	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GCLC	0.1354059021646802	0.2895	0.5210999999999999	0.4955679611650485	-0.0554567785877683	-0.0554567785877683	1.680666914287067	181726307.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GCLC	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.0522973498156961	-0.2445918080351438	0.3594623015181657	0.6988	0.9297	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GCLC	0.1354059021646802	0.2895	0.5210999999999999	0.4955679611650485	-0.0831085523489841	-0.0831085523489841	2.508176151229478	2464905601.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GLS	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.2125618582908159	-0.0459840988717018	0.4564891645580786	0.1134	0.5876181818181818	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GLS	0.176069622215776	0.1844	0.4637117647058824	0.2675095890410958	0.0364922360750397	0.0364922360750397	1.680666914287067	3120479532.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GLS	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1260846747863644	-0.1232110030883772	0.3940895248602492	0.3562	0.7429447058823531	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GLS	0.176069622215776	0.1844	0.4637117647058824	0.2675095890410958	-0.0499849474294116	-0.0499849474294116	2.508176151229478	2089042834.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GLS2	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	-0.1829022848286624	-0.4141137891397853	0.0467793169354277	0.1836	0.6415448275862069	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GLS2	-0.1711409119605062	0.1974	0.4804625	0.125216129032258	-0.011761372868156	0.011761372868156	1.680666914287067	355389151.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GLS2	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	-0.2221826407921487	-0.4717413150198496	0.0533063295440678	0.101	0.53971875	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GLS2	-0.1711409119605062	0.1974	0.4804625	0.125216129032258	-0.0510417288316424	0.0510417288316424	2.508176151229478	1857508094.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GLUL	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.0521799623546518	-0.2084709644595355	0.3394705063848905	0.6934	0.8456617021276596	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GLUL	0.0571613233209296	0.6592	0.8051657142857144	0.899314024390244	-0.0049813609662777	-0.0049813609662777	1.680666914287067	2434620749.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GLUL	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	-0.0074770939019084	-0.3177569048610387	0.2616661548767606	0.9568	0.9704752941176472	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GLUL	0.0571613233209296	0.6592	0.8051657142857144	0.899314024390244	-0.064638417222838	-0.0496842294190211	2.508176151229478	2818179108.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GOT1	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1316121439351839	-0.1397152500829341	0.3729772976280828	0.3362	0.6796758620689655	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GOT1	0.3100636877625135	0.0224	0.19665	0.0693	-0.1784515438273296	-0.1784515438273296	1.680666914287067	605246984.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GOT1	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1669970709330422	-0.1173473859585137	0.4247245157148056	0.2231	0.6812517857142857	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GOT1	0.3100636877625135	0.0224	0.19665	0.0693	-0.1430666168294714	-0.1430666168294714	2.508176151229478	3828392419.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GOT2	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.0936881527851156	-0.2050312892837564	0.3804561707976661	0.4918	0.7933754716981133	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GOT2	0.2430625522265695	0.07	0.3379978723404255	0.212735593220339	-0.1493743994414539	-0.1493743994414539	1.680666914287067	1029376420.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	GOT2	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1362571402105472	-0.1681180174436558	0.3929546453242184	0.3225	0.7429447058823531	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|GOT2	0.2430625522265695	0.07	0.3379978723404255	0.212735593220339	-0.1068054120160223	-0.1068054120160223	2.508176151229478	932744808.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	OAT	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	-0.1503778011581066	-0.401066902582207	0.1487142740951537	0.2711	0.6765338028169015	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|OAT	-0.1149135673284696	0.3916	0.6258280373831776	0.5552470588235294	-0.035464233829637	0.035464233829637	1.680666914287067	765120055.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	OAT	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	-0.1251259599644201	-0.400622815217472	0.159269892598474	0.3624	0.7429447058823531	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|OAT	-0.1149135673284696	0.3916	0.6258280373831776	0.5552470588235294	-0.0102123926359505	0.0102123926359505	2.508176151229478	2264287928.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	SLC7A11	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1294947041009422	-0.1856825593143936	0.4059824610640464	0.3208	0.6796758620689655	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|SLC7A11	0.2839476239722817	0.0328	0.224352	0.0466363636363636	-0.1544529198713395	-0.1544529198713395	1.680666914287067	125181520.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	SLC7A11	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.1808330513351983	-0.1129731288207051	0.4211426312545772	0.1787	0.636975	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|SLC7A11	0.2839476239722817	0.0328	0.224352	0.0466363636363636	-0.1031145726370834	-0.1031145726370834	2.508176151229478	3715003625.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	TAT	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	-0.0492672013827742	-0.3104176173708578	0.1761848031393292	0.706	0.8501830985915493	ER_PC12	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|TAT	-0.1403281593427693	0.2811	0.5210999999999999	0.2220241935483871	0.0910609579599951	-0.0910609579599951	1.680666914287067	568049367.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
BRCA	CAMP_BRCA1	04_ROBUSTNESS	20260919T151200Z_all117_robustness_v2	all117_robustness_v2	partial_rank_composition_proxy_sensitivity	KEGG:C00025	glutamate	TAT	author_mapped_tumor_specimen_NOT_verified_independent_patient	61.0	NA	partial_rank_correlation	0.0966753588809778	-0.1821987131455257	0.3310821583040196	0.4863	0.8233396039603961	ER_MonoEndoFib	171.0	DONE	NA	GSE37751_CAMP_processed	KEGG:C00025|TAT	-0.1403281593427693	0.2811	0.5210999999999999	0.2220241935483871	0.2370035182237471	-0.0436528004617914	2.508176151229478	1947604210.0	500.0	pointwise_stratified_specimen_bootstrap;covariate_scores_fixed;independence_unverified
