population	PC1_loading	PC2_loading
B lineage	0.35746158085745416	0.25018636148594914
Cytotoxic lymphocytes	0.424783094033816	0.22256746966435897
Endothelial cells	0.17276128841211613	-0.564000729378619
Fibroblasts	0.10357778671944406	-0.5509352007694575
Monocytic lineage	0.36104354341617084	0.09135821511054643
Myeloid dendritic cells	0.39741058950602426	-0.17614366298032527
NK cells	0.32464674516428565	-0.012493334443660437
Neutrophils	0.21864081056972648	-0.41934178610228257
T cells	0.45795064196052077	0.22553837219826633
