study	cells	source_donor_labels	gene_library_size	genes_measured	candidate_genes	nonnegative_integer_input	normalization	annotation_origin	source_group	source_tissue_scope
Darmanis2017	3589	4	22124	140	142	True	log1p(10000*gene_count/full_retained_gene_library);Smartseq_read_counts_not_UMI	author_clusters_standardized_by_CELLxGENE	root	GBM tumors plus original sampled margins;not healthy donor reference
Neftel2019	19030	23	27632	137	142	True	log1p(10000*gene_count/full_retained_gene_library);Smartseq_read_counts_not_UMI	GBmap_harmonized_reannotation_of_Neftel2019	raw/	GBM tumors plus original sampled margins;not healthy donor reference
