stable_gene_id	cancer	gene	all3_same_unique_top	all3_top_bootstrap_ge080	cell_background	source_type	GSE263733_top_celltype	GSE263733_runner_celltype	GSE263733_top_gap	GSE263733_bootstrap_top_frequency	GSE263733_bootstrap_valid	GSE263733_max_detection	GSE263733_n_evaluable_celltypes	GSE263733_status	GSE263733_matrix_coverage_status	GSE263733_top_detection_fraction	GSE263733_top_source_labels	GSE278688_top_celltype	GSE278688_runner_celltype	GSE278688_top_gap	GSE278688_bootstrap_top_frequency	GSE278688_bootstrap_valid	GSE278688_max_detection	GSE278688_n_evaluable_celltypes	GSE278688_status	GSE278688_matrix_coverage_status	GSE278688_top_detection_fraction	GSE278688_top_source_labels	GSE242230_top_celltype	GSE242230_runner_celltype	GSE242230_top_gap	GSE242230_bootstrap_top_frequency	GSE242230_bootstrap_valid	GSE242230_max_detection	GSE242230_n_evaluable_celltypes	GSE242230_status	GSE242230_matrix_coverage_status	GSE242230_top_detection_fraction	GSE242230_top_source_labels
UniProtKB:Q8N5Z0	PDAC	AADAT	True	False	ALL3_SAME_TOP	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Acinar	0.004923824364294	0.72	1000	0.0839968606068198	7	DONE	DONE	0.0839968606068198	11.0	Fibroblast/CAF	Ductal (unresolved)	0.0050221854414103	0.791	1000	0.0243375030640475	6	DONE	DONE	0.0243375030640475	13.0	Fibroblast/CAF	Normal epithelial (author)	0.0038194928236547	0.759	1000	0.0284616796839034	8	DONE	DONE	0.0284616796839034	7.0
UniProtKB:Q9UDR5	PDAC	AASS	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Endothelial	Fibroblast/CAF	0.0161252823467054	0.586	1000	0.1568438067439438	7	DONE	DONE	0.1368913224804418	4.0	Fibroblast/CAF	Endothelial	0.0481280941267291	0.982	1000	0.1864344173694916	6	DONE	DONE	0.1864344173694916	13.0	Fibroblast/CAF	Endothelial	0.0134054431077308	0.801	1000	0.0971067185029379	8	DONE	DONE	0.0971067185029379	7.0
UniProtKB:P80404	PDAC	ABAT	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Acinar	Myeloid	0.0937622215669324	0.788	1000	0.274145028931136	7	DONE	DONE	0.274145028931136	4.0	T/NK	B/Plasma	0.0038059452389513	0.625	1000	0.0412300696617895	6	DONE	DONE	0.0344253215758986	13.0	Myeloid	Malignant (author)	0.0022378091311456	0.473	1000	0.0547465546563469	8	DONE	DONE	0.037558655679353	20.0
UniProtKB:Q8NFV4	PDAC	ABHD11	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Endothelial	0.3655765282988281	1.0	1000	0.6575772718692808	7	DONE	DONE	0.6575772718692808	18.0	Ductal (unresolved)	Myeloid	0.2459203578008691	1.0	1000	0.2594312133650035	6	DONE	DONE	0.2594312133650035	12.0	Normal epithelial (author)	Malignant (author)	0.0226265697845083	0.732	1000	0.4855335152936352	8	DONE	DONE	0.4855335152936352	6.0
UniProtKB:Q8N2K0	PDAC	ABHD12	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Myeloid	Ductal (unresolved)	0.0247290283128182	0.751	1000	0.5362879222673302	7	DONE	DONE	0.3410732747778219	20.0	Myeloid	Ductal (unresolved)	0.042213104663477	0.93	1000	0.3027764253526437	6	DONE	DONE	0.3027764253526437	13.0	Normal epithelial (author)	Myeloid	0.1491883213022225	0.94	1000	0.5096291063869774	8	DONE	DONE	0.5096291063869774	6.0
UniProtKB:O95870	PDAC	ABHD16A	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Myeloid	0.0008088257338102	0.366	1000	0.0384373912355447	7	DONE	DONE	0.0325087983726789	11.0	Myeloid	Endothelial	0.0251323102832184	0.933	1000	0.214094651760736	6	DONE	DONE	0.214094651760736	13.0	Normal epithelial (author)	Fibroblast/CAF	0.1302437040868622	0.958	1000	0.4038238893373825	8	DONE	DONE	0.4038238893373825	6.0
UniProtKB:Q9H3Z7	PDAC	ABHD16B	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0011058129300892	7	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0001373334185483	6	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0010063319764812	8	NOT_EVALUABLE	DONE	NA	NA
UniProtKB:P08910	PDAC	ABHD2	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Myeloid	0.4112166391837806	1.0	1000	0.7930099025223155	7	DONE	DONE	0.7930099025223155	18.0	Ductal (unresolved)	Fibroblast/CAF	0.2215304064994642	0.998	1000	0.3610023004088956	6	DONE	DONE	0.3610023004088956	12.0	Malignant (author)	Normal epithelial (author)	0.0297426319928997	0.678	1000	0.6163653750048053	8	DONE	DONE	0.4674037000845215	23.0
UniProtKB:Q9BV23	PDAC	ABHD6	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Endothelial	Myeloid	0.0027263548605701	0.393	1000	0.12694923013499	7	DONE	DONE	0.12694923013499	4.0	Myeloid	B/Plasma	0.0143936182931173	0.841	1000	0.1135545514583028	6	DONE	DONE	0.1135545514583028	13.0	Myeloid	B/Plasma	0.0162023280327176	0.948	1000	0.0710139977132921	8	DONE	DONE	0.0710139977132921	20.0
UniProtKB:P42765	PDAC	ACAA2	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Myeloid	0.0726578022451435	0.905	1000	0.5052272100513082	7	DONE	DONE	0.5052272100513082	11.0	Ductal (unresolved)	Myeloid	0.0406742616843378	0.828	1000	0.2509400658012936	6	DONE	DONE	0.2509400658012936	12.0	Normal epithelial (author)	Fibroblast/CAF	0.5018117039846874	0.961	1000	0.7490515959968733	8	DONE	DONE	0.7490515959968733	6.0
UniProtKB:Q9BYF1	PDAC	ACE2	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Endothelial	0.0891490256363097	1.0	1000	0.158308200246095	7	DONE	DONE	0.158308200246095	18.0	Ductal (unresolved)	Fibroblast/CAF	0.0008084985298023	0.59	1000	0.0144090889006806	6	DONE	DONE	0.0144090889006806	12.0	Normal epithelial (author)	Malignant (author)	0.0980556690695771	0.891	1000	0.1987681906909792	8	DONE	DONE	0.1987681906909792	6.0
UniProtKB:Q5QJU3	PDAC	ACER2	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Endothelial	B/Plasma	0.0032477148006089	0.578	1000	0.0191986884491486	7	DONE	DONE	0.0191986884491486	4.0	Ductal (unresolved)	Endothelial	0.0002753711999268	0.502	1000	0.0710231857058764	6	DONE	DONE	0.0454716932295961	12.0	Malignant (author)	Normal epithelial (author)	0.0160539323092179	0.928	1000	0.0534504114786905	8	DONE	DONE	0.0534504114786905	23.0
UniProtKB:P53396	PDAC	ACLY	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Endothelial	0.0105900405199936	0.689	1000	0.5341204059822444	7	DONE	DONE	0.5341204059822444	18.0	Ductal (unresolved)	Endothelial	0.0451402920188614	0.624	1000	0.2939273487315879	6	DONE	DONE	0.2289657421931709	12.0	Normal epithelial (author)	Endothelial	0.0801559610395924	0.905	1000	0.4334447626614043	8	DONE	DONE	0.4334447626614043	6.0
UniProtKB:P21399	PDAC	ACO1	True	True	ALL3_SAME_TOP_AND_BOOTSTRAP_GE080	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Ductal (unresolved)	0.0838249428585582	0.99	1000	0.4059604205694356	7	DONE	DONE	0.4059604205694356	11.0	Fibroblast/CAF	Endothelial	0.0434952313898124	0.997	1000	0.1453783276366576	6	DONE	DONE	0.1453783276366576	13.0	Fibroblast/CAF	Endothelial	0.0253728645516116	0.815	1000	0.2137024970420772	8	DONE	DONE	0.1987550514452856	7.0
UniProtKB:Q86TX2	PDAC	ACOT1	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Acinar	Myeloid	0.0118793809248928	0.54	1000	0.0108695652173913	7	DONE	DONE	0.0108695652173913	4.0	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0070570187347595	6	NOT_EVALUABLE	DONE	NA	NA	Fibroblast/CAF	Malignant (author)	0.0018250699993184	0.681	1000	0.0266878322165659	8	DONE	DONE	0.0233902066740526	7.0
UniProtKB:Q8WXI4	PDAC	ACOT11	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Myeloid	0.0634231489415239	1.0	1000	0.3077645489177238	7	DONE	DONE	0.3077645489177238	18.0	Ductal (unresolved)	Myeloid	0.0521339589194999	0.999	1000	0.0899134666171099	6	DONE	DONE	0.0899134666171099	12.0	Malignant (author)	Normal epithelial (author)	0.0599599970723572	0.999	1000	0.1565052741954817	8	DONE	DONE	0.1565052741954817	23.0
UniProtKB:Q9NPJ3	PDAC	ACOT13	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Myeloid	0.0301730621561424	0.759	1000	0.5198150152846479	7	DONE	DONE	0.5198150152846479	18.0	Myeloid	Ductal (unresolved)	0.0053492733909	0.547	1000	0.1635283832160908	6	DONE	DONE	0.1527556680706329	13.0	Normal epithelial (author)	Malignant (author)	0.1835224655872532	0.96	1000	0.4982963112460863	8	DONE	DONE	0.4982963112460863	6.0
UniProtKB:P49753	PDAC	ACOT2	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Endothelial	Fibroblast/CAF	0.0233285351783847	0.801	1000	0.1091011610292989	7	DONE	DONE	0.1091011610292989	4.0	Fibroblast/CAF	Myeloid	0.1007364267451635	1.0	1000	0.232149652673729	6	DONE	DONE	0.232149652673729	13.0	Fibroblast/CAF	Normal epithelial (author)	0.0006473673374552	0.515	1000	0.2861835642008056	8	DONE	DONE	0.2492929244631654	7.0
UniProtKB:Q8N9L9	PDAC	ACOT4	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Myeloid	0.014790394013796	0.931	1000	0.1753796757499585	7	DONE	DONE	0.1753796757499585	18.0	T/NK	Ductal (unresolved)	0.0106721949005972	0.969	1000	0.0365967934799612	6	DONE	DONE	0.032639658014955	13.0	Malignant (author)	Normal epithelial (author)	0.0004590215744176	0.558	1000	0.1219488546325128	8	DONE	DONE	0.0913240189910427	23.0
UniProtKB:O00154	PDAC	ACOT7	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Endothelial	0.0445366931908401	0.911	1000	0.3102811036161672	7	DONE	DONE	0.3102811036161672	18.0	Myeloid	Endothelial	0.0308543479371804	0.801	1000	0.1436771240570641	6	DONE	DONE	0.1436771240570641	13.0	Malignant (author)	Myeloid	0.0256345631208095	0.889	1000	0.1516388834177806	8	DONE	DONE	0.1516388834177806	23.0
UniProtKB:O14734	PDAC	ACOT8	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Fibroblast/CAF	0.0350698297908263	0.999	1000	0.3904852654104382	7	DONE	DONE	0.3904852654104382	18.0	Ductal (unresolved)	Endothelial	0.0241011413603134	0.922	1000	0.1175576664526869	6	DONE	DONE	0.1175576664526869	12.0	Malignant (author)	Normal epithelial (author)	0.0152033710763083	0.701	1000	0.2630751397805371	8	DONE	DONE	0.2534314729063304	23.0
UniProtKB:Q9Y305	PDAC	ACOT9	True	False	ALL3_SAME_TOP	Expression-source descriptive only;not unique action cell	Myeloid	Fibroblast/CAF	0.0872871490430692	1.0	1000	0.4475237370715658	7	DONE	DONE	0.4077886191206342	20.0	Myeloid	Endothelial	0.0212507684375798	0.771	1000	0.288982208379838	6	DONE	DONE	0.288982208379838	13.0	Myeloid	Endothelial	0.0148304656085302	0.816	1000	0.2318630748728199	8	DONE	DONE	0.2175890117493279	20.0
UniProtKB:O95573	PDAC	ACSL3	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Fibroblast/CAF	0.0876001903839407	0.959	1000	0.652209705064255	7	DONE	DONE	0.652209705064255	18.0	Myeloid	Endothelial	0.1254683939370722	0.992	1000	0.3820984481440466	6	DONE	DONE	0.3820984481440466	13.0	Malignant (author)	Normal epithelial (author)	0.001982434174542	0.528	1000	0.3991022117146555	8	DONE	DONE	0.3024377965795251	23.0
UniProtKB:Q08AH1	PDAC	ACSM1	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	B/Plasma	0.0037204676221958	0.85	1000	0.0298951426517142	7	DONE	DONE	0.0298951426517142	18.0	Ductal (unresolved)	B/Plasma	0.0146755804213354	0.826	1000	0.034366696417313	6	DONE	DONE	0.034366696417313	12.0	Normal epithelial (author)	Malignant (author)	0.0211692982144968	0.947	1000	0.0593017593767218	8	DONE	DONE	0.0593017593767218	6.0
UniProtKB:Q08AH3	PDAC	ACSM2A	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Endothelial	Myeloid	0.0093377439911485	0.758	1000	0.0186737804878048	7	DONE	DONE	0.0186737804878048	4.0	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.003023349810167	6	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0006060606060606	8	NOT_EVALUABLE	DONE	NA	NA
UniProtKB:Q68CK6	PDAC	ACSM2B	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Endothelial	Ductal (unresolved)	0.0075842171594511	0.805	1000	0.0142360312164442	7	DONE	DONE	0.0142360312164442	4.0	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.002210470921737	6	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	7.47434431314513e-06	8	NOT_EVALUABLE	DONE	NA	NA
UniProtKB:P0C7M7	PDAC	ACSM4	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0001489203276247	7	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0	6	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	7.47434431314513e-06	8	NOT_EVALUABLE	DONE	NA	NA
UniProtKB:Q96HD9	PDAC	ACY3	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	B/Plasma	0.0315774054673943	1.0	1000	0.1583669458712247	7	DONE	DONE	0.1583669458712247	18.0	Ductal (unresolved)	B/Plasma	0.0474442971486446	1.0	1000	0.083109254786855	6	DONE	DONE	0.083109254786855	12.0	Normal epithelial (author)	Malignant (author)	0.0400777086046596	0.927	1000	0.1786490835778692	8	DONE	DONE	0.1786490835778692	6.0
UniProtKB:P00813	PDAC	ADA	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	T/NK	Endothelial	0.0458540684709748	1.0	1000	0.1733113063736769	7	DONE	DONE	0.1445424042066756	20.0	Endothelial	T/NK	0.0234944463472354	0.83	1000	0.2194641784475689	6	DONE	DONE	0.2194641784475689	13.0	T/NK	Endothelial	0.0532365755091839	0.966	1000	0.0973202268167382	8	DONE	DONE	0.0973202268167382	21.0
UniProtKB:Q9NZK5	PDAC	ADA2	True	True	ALL3_SAME_TOP_AND_BOOTSTRAP_GE080	Expression-source descriptive only;not unique action cell	Myeloid	B/Plasma	0.5691442085143601	1.0	1000	0.6706239272141884	7	DONE	DONE	0.6706239272141884	20.0	Myeloid	B/Plasma	0.2738897848137508	1.0	1000	0.367332933117408	6	DONE	DONE	0.367332933117408	13.0	Myeloid	T/NK	0.4228126811533878	1.0	1000	0.4512628513838224	8	DONE	DONE	0.4512628513838224	20.0
UniProtKB:P07327	PDAC	ADH1A	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0090477806298108	7	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0027717263780915	6	NOT_EVALUABLE	DONE	NA	NA	Normal epithelial (author)	Malignant (author)	0.0481737080391773	0.922125	1000	0.0840148835838491	8	DONE	DONE	0.0840148835838491	6.0
UniProtKB:P00325	PDAC	ADH1B	True	True	ALL3_SAME_TOP_AND_BOOTSTRAP_GE080	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Endothelial	0.4014264860840524	1.0	1000	0.2931652927652501	7	DONE	DONE	0.2931652927652501	11.0	Fibroblast/CAF	Ductal (unresolved)	0.3562813153415053	1.0	1000	0.1849703671530984	6	DONE	DONE	0.1849703671530984	13.0	Fibroblast/CAF	Malignant (author)	0.3115024802629343	0.978	1000	0.1392771575319915	8	DONE	DONE	0.1392771575319915	7.0
UniProtKB:P00326	PDAC	ADH1C	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Fibroblast/CAF	0.1261731142179052	0.975	1000	0.2071402731322696	7	DONE	DONE	0.2071402731322696	18.0	Ductal (unresolved)	Fibroblast/CAF	0.1638262218295606	1.0	1000	0.1291869421869712	6	DONE	DONE	0.1291869421869712	12.0	Normal epithelial (author)	Malignant (author)	0.4842099674739311	0.956	1000	0.4736079609767765	8	DONE	DONE	0.4736079609767765	6.0
UniProtKB:P08319	PDAC	ADH4	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0091006583309416	7	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0040937966843114	6	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0053062678062678	8	NOT_EVALUABLE	DONE	NA	NA
UniProtKB:P11766	PDAC	ADH5	True	False	ALL3_SAME_TOP	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Ductal (unresolved)	0.2548113828564057	1.0	1000	0.7282661752977488	7	DONE	DONE	0.7282661752977488	11.0	Fibroblast/CAF	Endothelial	0.2998241818240522	1.0	1000	0.5380504958049477	6	DONE	DONE	0.5380504958049477	13.0	Fibroblast/CAF	Normal epithelial (author)	0.0065383702583559	0.573	1000	0.6340493214930997	8	DONE	DONE	0.4614399988740442	7.0
UniProtKB:P28332	PDAC	ADH6	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	Fibroblast/CAF	0.0201538108065268	1.0	1000	0.0633746885867915	7	DONE	DONE	0.0633746885867915	18.0	Ductal (unresolved)	Fibroblast/CAF	0.0153298486234254	1.0	1000	0.0161871174242051	6	DONE	DONE	0.0161871174242051	12.0	Normal epithelial (author)	Malignant (author)	0.0113991023423581	0.635	1000	0.057288182831661	8	DONE	DONE	0.057288182831661	6.0
UniProtKB:P40394	PDAC	ADH7	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0007969552110995	7	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0	6	NOT_EVALUABLE	DONE	NA	NA	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0085111360153324	8	NOT_EVALUABLE	DONE	NA	NA
UniProtKB:Q8IWW8	PDAC	ADHFE1	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Acinar	T/NK	0.0290509669875077	0.785	1000	0.0896193975379302	7	DONE	DONE	0.0896193975379302	4.0	T/NK	Ductal (unresolved)	0.0099005085789828	0.936	1000	0.0422222119437054	6	DONE	DONE	0.0410570154779489	13.0	T/NK	Normal epithelial (author)	0.0434560535336135	0.999	1000	0.088741366496239	8	DONE	DONE	0.0616764466211497	21.0
UniProtKB:Q3LIE5	PDAC	ADPRM	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Endothelial	0.0127008061776596	0.83	1000	0.1144843191613215	7	DONE	DONE	0.1144843191613215	11.0	B/Plasma	T/NK	0.0332941967841002	1.0	1000	0.0694878973617636	6	DONE	DONE	0.0694878973617636	11.0	Endothelial	T/NK	0.0143225927737335	0.367	1000	0.1300638676388301	8	DONE	DONE	0.0545559666975023	3.0
UniProtKB:Q9BSE5	PDAC	AGMAT	False	False	STUDY_DEPENDENT_OR_NOT_EVALUABLE	Expression-source descriptive only;not unique action cell	Ductal (unresolved)	B/Plasma	0.0072855365244246	0.722	1000	0.1085271003047835	7	DONE	DONE	0.1085271003047835	18.0	B/Plasma	T/NK	0.0127651256786921	0.937	1000	0.0236237550139721	6	DONE	DONE	0.0236237550139721	11.0	T/NK	Malignant (author)	0.001093947262344	0.505	1000	0.0501731040692465	8	DONE	DONE	0.0244743251983842	21.0
