dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	hedges_g	hedges_g_variance	hedges_g_se	effect_fdr	max_input_raw_missing_rate	source_type	source_effects	paired_p	paired_q	paired_n	paired_effect	paired_median_delta	paired_evidence	database_names	standard_names	aliases_used	chemical_identity_note	identity_status	mapping_status	direct_genes	n_direct_relations	n_conditional_relations
PDAC	PDAC	2-linoleoylglycerol (2-monolinolein)	2-linoleoylglycerol (2-monolinolein)	NA	HMDB11538	HMDB:HMDB11538	HIGH_ID	Lipid	Monoacylglycerol	-0.929421885080316	0.131445050376348	0.36255351381051	0.038488432104132	0.666666666666667	single_dataset	PDAC	0.009765625	0.1873779296875	11	-2.8527992103652084	-2.130483709791699	NOMINAL_EXPLORATORY	NA	2-(9Z,12Z-octadecadienoyl)-glycerol	2-(9Z,12Z-octadecadienoyl)-glycerol	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD16A;ABHD6;DAGLA;DAGLB;MGLL	6	0
PDAC	PDAC	2-myristoylglycerol (2-monomyristin)	2-myristoylglycerol (2-monomyristin)	NA	NA	NAME:2-myristoylglycerol (2-monomyristin)	MODERATE_NAME_ONLY	Lipid	Monoacylglycerol	-0.827377634666605	0.129146700503018	0.359369865880569	0.0429368517077875	0.740740740740741	single_dataset	PDAC	0.0390625	0.25783203125	11	-1.509392448693191	-0.9481752504472	NOMINAL_EXPLORATORY	NA	NA	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	NA	0	4
PDAC	PDAC	2-oleoylglycerol (2-monoolein)	2-oleoylglycerol (2-monoolein)	NA	NA	NAME:2-oleoylglycerol (2-monoolein)	MODERATE_NAME_ONLY	Lipid	Monoacylglycerol	-0.949440922097222	0.131927268633868	0.3632179354518	0.038488432104132	0.62962962962963	single_dataset	PDAC	0.013671875	0.2209087171052631	11	-2.4045744466111545	-2.587677727279601	NOMINAL_EXPLORATORY	NA	2-(9Z-octadecenoyl)-glycerol	2-(9Z-octadecenoyl)-glycerol	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD16A;ABHD6;AWAT2;DAGLA;DAGLB;DGAT1;DGAT2;DGKA;LIPE;MGLL;MOGAT2;MOGAT3;PNPLA2;PNPLA6	15	8
PDAC	PDAC	2-palmitoylglycerol (16:0)	2-palmitoylglycerol (16:0)	NA	HMDB11533	HMDB:HMDB11533	HIGH_ID	Lipid	Monoacylglycerol	-1.16446341254789	0.137754665744251	0.371153156721388	0.038488432104132	0.333333333333333	single_dataset	PDAC	0.001953125	0.1748860677083333	11	-2.41354784096831	-2.4780835061038005	NOMINAL_EXPLORATORY	NA	2-hexadecanoylglycerol	2-hexadecanoylglycerol	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD16A;ABHD6;MGLL;PNPLA6	5	1
PDAC	PDAC	2-stearoylglycerol (2-monostearin)	2-stearoylglycerol (2-monostearin)	NA	NA	NAME:2-stearoylglycerol (2-monostearin)	MODERATE_NAME_ONLY	Lipid	Monoacylglycerol	-1.05559683069442	0.134656071254628	0.366955135206783	0.0393227498525208	0.666666666666667	single_dataset	PDAC	0.01171875	0.2116268382352941	11	-1.3590386879199998	-1.3556104233613002	NOMINAL_EXPLORATORY	NA	2-octadecanoylglycerol	2-octadecanoylglycerol	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	DAGLA;DAGLB	2	4
PDAC	PDAC	4-hydroxybutyrate (GHB)	4-hydroxybutyrate (GHB)	C00989	HMDB00710	KEGG:C00989	HIGH_ID	Lipid	Fatty Acid, Monohydroxy	-0.904158817335611	0.130851180203264	0.361733576273014	0.0696770012219702	0.703703703703704	single_dataset	PDAC	0.0390625	0.25783203125	11	-0.7218749047144364	-1.001541736676499	NOMINAL_EXPLORATORY	4-Hydroxybutanoic acid;; 4-Hydroxybutanoate;; 4-Hydroxybutyric acid	4-hydroxybutanoate	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ADHFE1;AKR7A2	2	0
PDAC	PDAC	C-glycosyltryptophan	C-glycosyltryptophan	NA	NA	NAME:C-glycosyltryptophan	MODERATE_NAME_ONLY	Amino Acid	Tryptophan Metabolism	1.29469451290088	0.14186054834134	0.376643795038947	0.038488432104132	0.0	single_dataset	PDAC	0.0048828125	0.1748860677083333	11	0.8602223978081999	0.8158947045255012	NOMINAL_EXPLORATORY	NA	NA	NA	Free C-glycosyltryptophan is not protein-bound C-mannosyltryptophan; no protein modification gene assignment.	HOLD	IDENTITY_REVIEW_REQUIRED	NA	0	0
PDAC	PDAC	S-adenosylhomocysteine (SAH)	S-adenosylhomocysteine (SAH)	C00021	HMDB00939	KEGG:C00021	HIGH_ID	Amino acid	Cysteine, methionine, SAM, taurine metabolism	-0.373229048972083	0.122156266819045	0.349508607646571	0.458392588054548	0.0740740740740741	single_dataset	PDAC	0.0419921875	0.25783203125	11	-0.8898917571453091	-1.0120207361545006	NOMINAL_EXPLORATORY	S-Adenosyl-L-homocysteine;; S-Adenosylhomocysteine	S-adenosyl-L-homocysteine	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	AHCY;ASMT;CARNMT1;COMT;COQ3;GNMT;HEMK2;HNMT;INMT;NNMT;PEMT;PNMT;SLC25A26;TMT1A;TMT1B;TPMT	16	152
PDAC	PDAC	alpha-ketoglutarate	alpha-ketoglutarate	C00026	HMDB00208	KEGG:C00026	HIGH_ID	Energy	TCA Cycle	0.575483713252453	0.124616287091125	0.353010321507919	0.378371843032888	0.666666666666667	single_dataset	PDAC	0.03125	0.25783203125	11	0.8541582312671454	1.223611766864499	NOMINAL_EXPLORATORY	2-Oxoglutarate;; Oxoglutaric acid;; 2-Ketoglutaric acid;; alpha-Ketoglutaric acid	2-oxoglutarate	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	AADAT;AASS;ABAT;ADHFE1;BBOX1;BCAT2;CISD1;D2HGDH;DDO;GLUD1;GLUD2;GOT1;GOT1L1;GOT2;GPT;GPT2;IDH1;IDH2;IDH3A;KYAT1;L2HGDH;MDH1;NIT2;OAT;PHGDH;PHYH;PSAT1;SLC13A2;SLC13A3;SLC22A7;SLC22A8;SLC25A11;SLC25A21;TAT;TMLHE	35	69
PDAC	PDAC	aspartylphenylalanine	aspartylphenylalanine	NA	HMDB00706	HMDB:HMDB00706	HIGH_ID	Peptide	Dipeptide	-1.06654475382156	0.1349539307794	0.367360763799565	0.0393227498525208	0.148148148148148	single_dataset	PDAC	0.0068359375	0.1748860677083333	11	-1.1105168187987997	-0.7455904226240975	NOMINAL_EXPLORATORY	NA	NA	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	NA	0	4
PDAC	PDAC	butyrylcarnitine	butyrylcarnitine	C02862	HMDB02013	KEGG:C02862	HIGH_ID	Lipid	Fatty acid metabolism (also BCAA metabolism)	1.11130001277768	0.136203546247289	0.369057646238754	0.0429368517077875	0.037037037037037	single_dataset	PDAC	0.0244140625	0.25783203125	11	1.3566783604311905	1.376759532721998	NOMINAL_EXPLORATORY	O-Butanoylcarnitine	NA	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	NO_RELIABLE_EXACT_RELATION_FOUND_IN_SCOPE	NA	0	0
PDAC	PDAC	caprate (10:0)	caprate (10:0)	C01571	HMDB00511	KEGG:C01571	HIGH_ID	Lipid	Medium Chain Fatty Acid	-1.01824223656389	0.133662899246301	0.365599369865843	0.229635026580984	0.0	single_dataset	PDAC	0.0244140625	0.25783203125	11	-1.1218257113856005	-0.4136175410157001	NOMINAL_EXPLORATORY	Decanoic acid;; Decanoate;; Decylic acid;; n-Capric acid	decanoate	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD6;ACAA2;ACOT1;ACOT13;ACOT2;ACOT4;ACOT8;ACSM1;ACSM2B;ALDH3A2;MGLL;PNLIPRP2;THEM4	14	7
