cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	same_cohort_postselection	n_complete	n_unique_author_cases	seed	B	p_method	ci_method	ci_estimand	bootstrap_valid	rho	n_author_batches	n_pairs
PRAD	CAMP_PRAD	03_PATIENT	20260925T091851Z_slc6a6_delta_v1	prad_slc6a6_paired_delta_v1	DELTA_PRIMARY	KEGG:C00245	taurine	SLC6A6	author_case_pair	43	NA	Spearman_rho	-0.04032014497130776	-0.33915226582107116	0.2530368959750928	0.8026	0.8026	DELTA_PRIMARY	1	DONE	NA	CAMP_v0.3.4_PRAD	True	43	43	3729853130	9999	9999_global_pair_permutations_plus1	4000_whole_pair_bootstrap_percentile	paired_delta_Spearman_rho	4000	-0.04032014497130776	3	43
PRAD	CAMP_PRAD	03_PATIENT	20260925T091851Z_slc6a6_delta_v1	prad_slc6a6_paired_delta_v1	DELTA_AVAILABLE	KEGG:C00245	taurine	SLC6A6	author_case_pair	43	NA	Spearman_rho	-0.04032014497130776	-0.33915226582107116	0.2530368959750928	0.8026	0.8026	DELTA_AVAILABLE	1	DONE	identical_inputs_to_primary;reused_statistics	CAMP_v0.3.4_PRAD	True	43	43	3729853130	9999	9999_global_pair_permutations_plus1	4000_whole_pair_bootstrap_percentile	paired_delta_Spearman_rho	4000	-0.04032014497130776	3	43
PRAD	CAMP_PRAD	03_PATIENT	20260925T091851Z_slc6a6_delta_v1	prad_slc6a6_paired_delta_v1	DELTA_CAPT	KEGG:C00245	taurine	SLC6A6	author_case_pair	36	NA	Spearman_rho	-0.021879021879021878	-0.34461438289748086	0.3158768564954041	0.8994	0.8994	DELTA_CAPT	1	DONE	NA	CAMP_v0.3.4_PRAD	True	36	36	2457923742	9999	9999_global_pair_permutations_plus1	4000_whole_pair_bootstrap_percentile	paired_delta_Spearman_rho	4000	-0.021879021879021878	2	36
PRAD	CAMP_PRAD	03_PATIENT	20260925T091851Z_slc6a6_delta_v1	prad_slc6a6_paired_delta_v1	DELTA_BATCH	KEGG:C00245	taurine	SLC6A6	author_case_pair	43	NA	partial_Spearman_rank_residual_r	0.05070085795589689	-0.26110391326160176	0.3571108783608535	0.7601	0.7601	DELTA_BATCH	1	DONE	NA	CAMP_v0.3.4_PRAD	True	43	43	2236120759	9999	9999_within_author_batch_pair_permutations_plus1	4000_batch_stratified_whole_pair_bootstrap_percentile	paired_delta_rank_residual_correlation	4000	0.05070085795589689	3	43
