relation_id	gene	metabolite	original_n	original_rho	original_q	status	loo_min	loo_max	loo_max_abs_change	loo_same_sign	loo_n	availability_subset_identical	partial_rank_rho	p_value	q_value
KEGG:C00025|SLC7A11	SLC7A11	glutamate	61	0.3713379164463246	0.0466363636363636	DONE	0.3416504584606836	0.41033620450125047	0.038998288054925834	61.0	61.0	True	0.28394762397228174	0.0328	0.19030645161290324
KEGG:C00064|ASNS	ASNS	glutamine	61	-0.4305129561078794	0.01995	DONE	-0.4642400666851904	-0.40155598777438184	0.03372711057731098	61.0	61.0	True	-0.3948321624319598	0.0019	0.053437500000000006
KEGG:C00095|SORD	SORD	fructose	61	0.395404674944938	0.0427499999999999	DONE	0.37021151179020495	0.443442327560801	0.048037652615863013	61.0	61.0	False	0.3955977091460757	0.0018	0.053437500000000006
KEGG:C00189|ETNK1	ETNK1	ethanolamine	61	0.3842411422527763	0.0418	DONE	0.3594887468741318	0.43434287302028346	0.05010173076750718	61.0	61.0	True	0.3853669504047172	0.0021	0.053437500000000006
KEGG:C00242|PNP	PNP	guanine	61	0.4793231094658909	0.0171	DONE	0.4529035843289804	0.5440400111141985	0.06471690164830757	61.0	61.0	False	0.3921112194390904	0.0032	0.06080000000000001
KEGG:C00328|KYNU	KYNU	kynurenine	61	0.4232681121099946	0.01995	DONE	0.4052236732425674	0.4741317032509031	0.05086359114090844	61.0	61.0	True	0.3465345438492198	0.0075	0.09918
KEGG:C00346|PCYT2	PCYT2	phosphoethanolamine	61	0.4090428344791115	0.0342	DONE	0.38366212836899144	0.46296193387051965	0.053919099391408154	61.0	61.0	True	0.3768436747516131	0.0038	0.06498000000000001
KEGG:C00668|GPI	GPI	glucose 6-phosphate	61	0.4648334214701215	0.0171	DONE	0.4418449569324813	0.5028619060850238	0.03802848461490227	61.0	61.0	False	0.44923923283587563	0.0005	0.039900000000000005
KEGG:C00670|GPCPD1	GPCPD1	glycerophosphorylcholine (GPC)	61	-0.5213643574828133	0.0171	DONE	-0.5548207835509865	-0.4991942206168381	0.03345642606817323	61.0	61.0	True	-0.5152108107796246	0.0001	0.0171
KEGG:C02918|NNMT	NNMT	1-methylnicotinamide	61	0.3799048122686408	0.0418	DONE	0.34837454848569055	0.41317032509030294	0.03326551282166207	61.0	61.0	True	0.3844277473038987	0.0025	0.053437500000000006
KEGG:C05345|GPI	GPI	fructose-6-phosphate	61	0.4561446436492835	0.0171	DONE	0.4313393155858144	0.4875598225856432	0.031415178936359645	61.0	61.0	False	0.40411994347488195	0.0007	0.039900000000000005
