gene	subtype	scope	status	reason	top	second	effect	gap	n	detection
ACSL1	HER2+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.4565526163067654	0.13347499986714562	3	0.5104307303273851
ACSL1	TNBC	all_evaluable_celltypes	DONE		Myeloid	Fibroblasts	0.3213292170622692	0.2126089670380334	10	0.2629077400034882
ACSL1	TNBC	shared_celltypes	DONE		Myeloid	Fibroblasts	0.3213292170622692	0.2126089670380334	10	0.2629077400034882
ACSL3	ER+	all_evaluable_celltypes	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.4916647238984546	0.0607606503146616	9	0.4823428444699876
ACSL3	ER+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.4916647238984546	0.2384431805683555	9	0.4823428444699876
ACSL3	HER2+	all_evaluable_celltypes	DONE		Malignant_epithelial	Myeloid	0.4679635247787878	0.13141917840449208	3	0.606888569962906
ACSL3	HER2+	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.4679635247787878	0.13141917840449208	3	0.606888569962906
ACSL3	TNBC	all_evaluable_celltypes	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.3913653840724782	0.0674451348331297	4	0.4236883550329624
ACSL3	TNBC	shared_celltypes	DONE		Malignant_epithelial	Myeloid	0.3239202492393485	0.08219645521414937	8	0.3925096659815646
ACSL4	ER+	all_evaluable_celltypes	DONE		Myeloid	Fibroblasts	0.1503528109699316	0.029832525627840917	11	0.1526735662228064
ACSL4	ER+	shared_celltypes	DONE		Myeloid	Fibroblasts	0.1503528109699316	0.029832525627840917	11	0.1526735662228064
ACSL4	HER2+	all_evaluable_celltypes	DONE		Myeloid	Endothelial	0.198604407416648	0.0286094817636815	5	0.288416121178091
ACSL4	HER2+	shared_celltypes	DONE		Myeloid	Endothelial	0.198604407416648	0.0286094817636815	5	0.288416121178091
ACSL4	TNBC	all_evaluable_celltypes	DONE		Fibroblasts	Myeloid	0.1905262023044068	0.02281272920579802	9	0.1862215528158157
ACSL4	TNBC	shared_celltypes	DONE		Fibroblasts	Myeloid	0.1905262023044068	0.02281272920579802	9	0.1862215528158157
ACSL5	ER+	all_evaluable_celltypes	DONE		Endothelial	Myeloid	0.1684448813405113	0.07408904908972651	11	0.1627757411193096
