cancer	cohort	feature_name	metabolite_key	gene	relation_id	relation_type	original_effect	original_q	compartment	reaction_roles	source_urls	rhea_ids	has_human_experimental_annotation	identity_note	cosubstrate_context	mapping_version	status
PDAC	PDAC	1,3-dihydroxyacetone	KEGG:C00184	DCPH1	be518d6b74258c87	DIRECT_REACTION	0.84453497874925	0.0813113981805886	NOT_SPECIFIED	WRITTEN_RIGHT_PRODUCT	https://www.uniprot.org/uniprotkb/Q9H993/entry	RHEA:28002	True	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	False	PDAC_paired51_mapping_v2	LOCKED_DIRECT_ANNOTATION
PDAC	PDAC	1,3-dihydroxyacetone	KEGG:C00184	TKFC	567cc28eb507571a	DIRECT_REACTION	0.84453497874925	0.0813113981805886	NOT_SPECIFIED	WRITTEN_LEFT_SUBSTRATE	https://www.uniprot.org/uniprotkb/Q3LXA3/entry	RHEA:15773	True	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	False	PDAC_paired51_mapping_v2	LOCKED_DIRECT_ANNOTATION
PDAC	PDAC	1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	ABHD12	933849e4a7e53a7f	DIRECT_REACTION	NA	NA	Endoplasmic reticulum membrane	WRITTEN_LEFT_SUBSTRATE	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	RHEA:44312	True	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	False	PDAC_paired51_mapping_v2	LOCKED_DIRECT_ANNOTATION
PDAC	PDAC	1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	ABHD16A	1f8efd07d56da2aa	DIRECT_REACTION	NA	NA	Membrane	WRITTEN_LEFT_SUBSTRATE	https://www.uniprot.org/uniprotkb/O95870/entry	RHEA:44312	True	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	False	PDAC_paired51_mapping_v2	LOCKED_DIRECT_ANNOTATION
PDAC	PDAC	1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	ABHD6	edca165ae2cf8fdd	DIRECT_REACTION	NA	NA	Late endosome membrane; Lysosome membrane; Mitochondrion membrane	WRITTEN_LEFT_SUBSTRATE	https://www.uniprot.org/uniprotkb/Q9BV23/entry	RHEA:44312	True	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	False	PDAC_paired51_mapping_v2	LOCKED_DIRECT_ANNOTATION
PDAC	PDAC	1-myristoylglycerol (14:0)	NAME:1-myristoylglycerol (14:0)	MGLL	e524515780687985	DIRECT_REACTION	NA	NA	Cytoplasm, cytosol; Membrane	WRITTEN_LEFT_SUBSTRATE	https://www.uniprot.org/uniprotkb/Q99685/entry	RHEA:44312	True	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	False	PDAC_paired51_mapping_v2	LOCKED_DIRECT_ANNOTATION
PDAC	PDAC	1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	ABHD12	bb1f9b8dbed33ba8	DIRECT_REACTION	NA	NA	Endoplasmic reticulum membrane	WRITTEN_LEFT_SUBSTRATE	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	RHEA:38487	True	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	False	PDAC_paired51_mapping_v2	LOCKED_DIRECT_ANNOTATION
PDAC	PDAC	1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	ABHD16A	a62402e78c0edd9c	DIRECT_REACTION	NA	NA	Membrane	WRITTEN_LEFT_SUBSTRATE	https://www.uniprot.org/uniprotkb/O95870/entry	RHEA:38487	True	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	False	PDAC_paired51_mapping_v2	LOCKED_DIRECT_ANNOTATION
PDAC	PDAC	1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	ABHD16B	8844e24ed7c15221	DIRECT_REACTION	NA	NA	NOT_SPECIFIED	WRITTEN_LEFT_SUBSTRATE	https://www.uniprot.org/uniprotkb/Q9H3Z7/entry	RHEA:38487	True	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	False	PDAC_paired51_mapping_v2	LOCKED_DIRECT_ANNOTATION
PDAC	PDAC	1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	ABHD6	0715831efa52ca20	DIRECT_REACTION	NA	NA	Late endosome membrane; Lysosome membrane; Mitochondrion membrane	WRITTEN_LEFT_SUBSTRATE	https://www.uniprot.org/uniprotkb/Q9BV23/entry	RHEA:38487	True	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	False	PDAC_paired51_mapping_v2	LOCKED_DIRECT_ANNOTATION
