cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	same_cohort_postselection	stable_gene_id	expression_scale	model_formula	ci_method	ci_estimand	p_method	seed	bootstrap_valid	n_pairs_total	n_up	n_down	n_equal	up_fraction	mean_delta	median_delta	t_statistic	degrees_freedom	bootstrap_mean_lower	bootstrap_mean_upper	family_n_planned	evidence_label
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	SULT2A1	author_case	36	36	mean_paired_RNA_difference_author_scale	0.0011404525966527412	-0.11681710208154618	0.11909800727485166	0.9844517933773946	0.9844517933773946	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:11458	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	3949158321	4000	36	14	22	0	0.3888888888888889	0.0011404525966527412	-0.1094372672365802	0.01962775393720777	35	-0.10909692129101656	0.12143137324450405	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	SLC22A12	author_case	43	43	mean_paired_RNA_difference_author_scale	-0.04683482875267045	-0.15797881046968737	0.06430915296434647	0.39992650708218225	0.5770368173614344	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:17989	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	895611958	4000	43	17	26	0	0.3953488372093023	-0.04683482875267045	-0.10075968312937	-0.8503970186440875	42	-0.1546055338027721	0.057704980152698135	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	SLC22A12	author_case	36	36	mean_paired_RNA_difference_author_scale	-0.07733271233948609	-0.18867764112773605	0.03401221644876386	0.1673717251035414	0.3521780049053684	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:17989	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	4040316705	4000	36	13	23	0	0.3611111111111111	-0.07733271233948609	-0.14336964398345042	-1.4099766746634363	35	-0.18509815379885766	0.026667583884643662	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	SLC2A9	author_case	43	43	mean_paired_RNA_difference_author_scale	-0.28458342113057394	-0.38744263926710587	-0.18172420299404202	1.5745159001608793e-06	0.00010964749721428231	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:13446	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	1844375799	4000	43	9	34	0	0.20930232558139536	-0.28458342113057394	-0.28499511996314997	-5.5834820046776645	42	-0.38209162375081623	-0.18830011377313646	101.0	FDR_SUPPORTED
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	SLC2A9	author_case	36	36	mean_paired_RNA_difference_author_scale	-0.26001575735828947	-0.35271447653172927	-0.1673170381848497	1.9526011007906196e-06	0.00019721271117985258	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:13446	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	1049344315	4000	36	8	28	0	0.2222222222222222	-0.26001575735828947	-0.28931622031729987	-5.694361855156293	35	-0.3470818390691154	-0.16795317124967463	101.0	FDR_SUPPORTED
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	STS	author_case	43	43	mean_paired_RNA_difference_author_scale	-0.15636506200068576	-0.2780118361948031	-0.034718287806568465	0.013004250963710752	0.057105623797164606	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:11425	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	423150641	4000	43	18	25	0	0.4186046511627907	-0.15636506200068576	-0.10811674982060993	-2.5940471646646146	42	-0.27285627463000045	-0.040191491997182124	101.0	NOMINAL_EXPLORATORY
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	STS	author_case	36	36	mean_paired_RNA_difference_author_scale	-0.12654816244053746	-0.25126589609021094	-0.0018304287908639666	0.046904835031582444	0.14411717700836882	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:11425	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	1436851278	4000	36	16	20	0	0.4444444444444444	-0.12654816244053746	-0.08767823568321997	-2.0599029533176565	35	-0.24349675646861094	-0.009532056564831155	101.0	NOMINAL_EXPLORATORY
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	SLC2A1	author_case	43	43	mean_paired_RNA_difference_author_scale	0.0654870722979659	-0.06414290491427498	0.19511704951020675	0.3138007483025045	0.5282312596425492	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:11005	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	2013105097	4000	43	25	18	0	0.5813953488372093	0.0654870722979659	0.11274812390809963	1.0195038589302479	42	-0.05853437930230108	0.18948379652053932	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CAPT	NA	NA	SLC2A1	author_case	36	36	mean_paired_RNA_difference_author_scale	0.0735771899699198	-0.07233703983646353	0.21949141977630313	0.31300957939488483	0.5182617626046454	RNA_PAIRED_CAPT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:11005	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	2512441311	4000	36	22	14	0	0.6111111111111112	0.0735771899699198	0.13765262085251528	1.0236810823352698	35	-0.06610171945520019	0.2133003088165605	101.0	NOT_SUPPORTED_THIS_TEST
PRAD	CAMP_PRAD	03_PATIENT	20260922T142000Z_discovery_v1	prad_patient_v1	RNA_PAIRED_CURRENT	NA	NA	SLC2A3	author_case	43	43	mean_paired_RNA_difference_author_scale	-0.13040956649574212	-0.458487856128419	0.19766872313693482	0.42696581269276024	0.6036366122808917	RNA_PAIRED_CURRENT	101.0	DONE	NA	CAMP_v0.3.4_PRAD	True	HGNC:11007	author_RMA_BatchAdj_continuous	RNA_T-RNA_N ~ intercept	paired_t_analytic95	mean_paired_RNA_difference	two_sided_paired_t	2165178743	4000	43	16	27	0	0.37209302325581395	-0.13040956649574212	-0.29251726919189025	-0.8021779178558991	42	-0.4371737563557916	0.18554556989195117	101.0	NOT_SUPPORTED_THIS_TEST
