代谢物	来源英文名	配对数	升高对数	降低对数	相等对数	升高百分比	降低百分比	本轮配对P	本轮配对q	原CAMPq	中位配对差	差值尺度	填补前双侧完整对数	子集升高	子集降低	子集相等	子集P	子集q	子集状态
胍基乙酸	guanidinoacetate	33	6	27	0	18.181818181818183	81.81818181818183	0.00019497298967102218	0.0007269690833274863	0.0074791702312904	-0.6051286494601902	median_paired_T_minus_N_author_normalized_log_scale	33	6	27	0	0.00019497298967102218	0.000794889880966475	DONE
葡萄糖醛酸	glucuronate	33	7	16	10	21.21212121212121	48.484848484848484	0.026398980713274567	0.04465359503628358	0.102697311380866	0.0	median_paired_T_minus_N_author_normalized_log_scale	18	4	14	0	0.0021384380262505845	0.005862269761617982	DONE
癸二酸	sebacate (decanedioate)	33	6	22	5	18.181818181818183	66.66666666666666	0.017873515819031526	0.03273084757547438	0.12185706354843	-0.36632728474115595	median_paired_T_minus_N_author_normalized_log_scale	24	4	20	0	0.01012799054939065	0.020491485516378683	DONE
尿苷单磷酸（UMP）	uridine 5'-monophosphate (UMP)	33	12	21	0	36.36363636363637	63.63636363636363	0.015474009505206743	0.029290089420569907	0.0859555339031192	-0.1900730683102605	median_paired_T_minus_N_author_normalized_log_scale	33	12	21	0	0.015474009505206743	0.028945500133269086	DONE
肌苷	inosine	33	8	25	0	24.242424242424242	75.75757575757575	0.006433188589840646	0.01345890770769293	0.00317493716792095	-0.6869376194683587	median_paired_T_minus_N_author_normalized_log_scale	33	8	25	0	0.006433188589840646	0.013638359810462169	DONE
丙酸	Propionate	33	15	15	3	45.45454545454545	45.45454545454545	0.24519030932096386	0.311882073456266	0.335953064469857	0.0	median_paired_T_minus_N_author_normalized_log_scale	23	12	11	0	0.2735436610893661	0.34518604851753343	DONE
3-羟基丁酸	3-hydroxybutyrate (BHBA)	33	6	23	4	18.181818181818183	69.6969696969697	0.0001756918371506169	0.0006813415148036119	0.201308384491351	-0.43276543551114965	median_paired_T_minus_N_author_normalized_log_scale	28	6	22	0	0.000293856642936905	0.0011680801556741972	DONE
肌酸	creatine	33	6	27	0	18.181818181818183	81.81818181818183	9.456859109027828e-05	0.0003759101495838562	0.0051099208710439	-0.534906070129999	median_paired_T_minus_N_author_normalized_log_scale	33	6	27	0	9.456859109027828e-05	0.000439542486862592	DONE
胞苷-5′-单磷酸（CMP）	cytidine 5'-monophosphate (5'-CMP)	33	11	22	0	33.33333333333333	66.66666666666666	0.017909331692240696	0.03273084757547438	0.0539757777143879	-0.31454725466007005	median_paired_T_minus_N_author_normalized_log_scale	33	11	22	0	0.017909331692240696	0.032358906125753074	DONE
己酸	Hexanoate	33	13	20	0	39.39393939393939	60.60606060606061	0.5258798792348047	0.6015460489088773	0.73939377650572	-0.2890378654797099	median_paired_T_minus_N_author_normalized_log_scale	30	11	19	0	0.3184906025782175	0.38656492984684415	DONE
三乙醇胺	triethanolamine	33	4	25	4	12.121212121212121	75.75757575757575	4.174619343439777e-05	0.00023705874128818733	0.00205315909153294	-0.91998596046088	median_paired_T_minus_N_author_normalized_log_scale	23	3	20	0	0.00011214112045483084	0.0004952899486755028	DONE
丙二酸	malonate	33	3	21	9	9.090909090909092	63.63636363636363	0.0020306384450003404	0.00512494464690562	0.139266731582772	-0.368934641036713	median_paired_T_minus_N_author_normalized_log_scale	23	3	20	0	0.0031751641568663422	0.00779135045718356	DONE
邻苯二甲酸	Phthalate	33	3	21	9	9.090909090909092	63.63636363636363	0.00035503938074694154	0.0012010906710375256	0.0104274039204103	-0.78208180351539	median_paired_T_minus_N_author_normalized_log_scale	22	3	19	0	0.0007788753356181733	0.002476823567265791	DONE
N-乙酰神经氨酸	N-acetylneuraminate	33	7	26	0	21.21212121212121	78.78787878787878	0.00036436716452989236	0.0012069662325052684	0.000927728383719889	-1.04428474338643	median_paired_T_minus_N_author_normalized_log_scale	33	7	26	0	0.00036436716452989236	0.001379389980006021	DONE
核酮糖／木酮糖-5-磷酸合并特征	ribulose/xylulose 5-phosphate	33	4	29	0	12.121212121212121	87.87878787878788	5.18642191075362e-05	0.00026601325284187927	2.1849625495186e-06	-0.8607705508620498	median_paired_T_minus_N_author_normalized_log_scale	33	4	29	0	5.18642191075362e-05	0.00029451467278922343	DONE
葡萄糖-6-磷酸（G6P）	glucose 6-phosphate	33	14	19	0	42.42424242424242	57.57575757575758	0.1357086529569216	0.19265781982277264	0.16177907131735	-0.2705209106927202	median_paired_T_minus_N_author_normalized_log_scale	33	14	19	0	0.1357086529569216	0.19439347585721203	DONE
壬二酸	azelate (nonanedioate)	33	8	22	3	24.242424242424242	66.66666666666666	0.01565848334220057	0.029290574722469303	0.0277131462125493	-0.556054358582214	median_paired_T_minus_N_author_normalized_log_scale	27	6	21	0	0.004250124367677342	0.010086116036726826	DONE
尿素	urea	33	1	32	0	3.0303030303030303	96.96969696969697	7.110442835794288e-07	1.806440826697348e-05	0.00191710763837069	-0.6116019518123004	median_paired_T_minus_N_author_normalized_log_scale	33	1	32	0	7.110442835794288e-07	2.1075142978135727e-05	DONE
戊二酸（来源标注C5-DC）	glutarate (C5-DC)	33	6	26	1	18.181818181818183	78.78787878787878	0.0047496512171545735	0.010345130733254482	0.12185706354843	-0.8161049601605201	median_paired_T_minus_N_author_normalized_log_scale	30	4	26	0	0.0001742281335965429	0.0007290071905750085	DONE
肌酐	creatinine	33	1	32	0	3.0303030303030303	96.96969696969697	6.484785739349568e-07	1.806440826697348e-05	2.15403529632938e-06	-0.6692681302355599	median_paired_T_minus_N_author_normalized_log_scale	33	1	32	0	6.484785739349568e-07	2.1075142978135727e-05	DONE
谷氨酰胺	glutamine	33	4	29	0	12.121212121212121	87.87878787878788	2.976463631587499e-06	3.380412267302945e-05	1.53194804029879e-05	-0.6917210563292286	median_paired_T_minus_N_author_normalized_log_scale	33	4	29	0	2.976463631587499e-06	3.943814311853436e-05	DONE
乙酰羟肟酸	Acetohydroxamate	33	5	28	0	15.151515151515152	84.84848484848484	0.01971375711025402	0.03561917477875442	1.51302088736128e-05	-1.0513914231488197	median_paired_T_minus_N_author_normalized_log_scale	28	1	27	0	6.129463457764176e-05	0.00032486156326150137	DONE
鸟苷	guanosine	33	6	27	0	18.181818181818183	81.81818181818183	8.782118560905848e-05	0.00035804021825231537	7.94549647812405e-05	-1.01916699811501	median_paired_T_minus_N_author_normalized_log_scale	33	6	27	0	8.782118560905848e-05	0.00042313843975273633	DONE
磷酸烯醇式丙酮酸（PEP）	phosphoenolpyruvate (PEP)	33	9	21	3	27.27272727272727	63.63636363636363	0.004681835234144671	0.010339052808736149	0.00582518324469414	-0.44842811006290995	median_paired_T_minus_N_author_normalized_log_scale	25	8	17	0	0.010181304124490037	0.020491485516378683	DONE
尿苷三磷酸（UTP）	uridine 5'-triphosphate (UTP)	33	18	12	3	54.54545454545454	36.36363636363637	0.4528065046691958	0.5217118423362473	0.541926741990423	0.17989848375968498	median_paired_T_minus_N_author_normalized_log_scale	18	11	7	0	0.44598168917699166	0.519504804001771	DONE
顺乌头酸	cis-aconitate	33	4	28	1	12.121212121212121	84.84848484848484	5.3686202226740976e-05	0.0002667533173141192	0.000307793700547115	-1.050897806301321	median_paired_T_minus_N_author_normalized_log_scale	30	3	27	0	1.126539849982107e-05	9.427359797218685e-05	DONE
甘油磷酸胆碱（GPC）	glycerophosphorylcholine (GPC)	33	8	25	0	24.242424242424242	75.75757575757575	0.0009181299027220289	0.00256109920232987	0.0113140364356053	-1.0487378710441497	median_paired_T_minus_N_author_normalized_log_scale	33	8	25	0	0.0009181299027220289	0.0028073587410154346	DONE
6-磷酸葡萄糖酸	6-phosphogluconate	33	10	23	0	30.303030303030305	69.6969696969697	0.0034847323382247116	0.008030035388083032	0.0291207682154118	-0.5482386675215993	median_paired_T_minus_N_author_normalized_log_scale	32	10	22	0	0.005982406239553057	0.013211147112346335	DONE
肌肽	carnosine	33	5	24	4	15.151515151515152	72.72727272727273	0.0009028823434238286	0.00256109920232987	0.0303181418621276	-0.611359325353088	median_paired_T_minus_N_author_normalized_log_scale	25	4	21	0	0.0006021785797492559	0.0020814433517419933	DONE
腺苷三磷酸（ATP）	adenosine 5'-triphosphate (ATP)	33	15	18	0	45.45454545454545	54.54545454545454	0.25653995570017973	0.3237289917168935	0.520910815457932	-0.41774869164532014	median_paired_T_minus_N_author_normalized_log_scale	33	15	18	0	0.25653995570017973	0.328950427067166	DONE
