cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	original_effect	original_q	family_n_planned	up_pairs	down_pairs	equal_pairs	up_percent	down_percent	both_observed_pairs	tumor_only_missing_pairs	normal_only_missing_pairs	both_missing_pairs	n_nonzero_differences	bootstrap_valid	random_seed
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C02712	N-acetylmethionine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.072719548390575	0.0	1.761275694325468	4.967669864299499e-05	0.0002632865028078734	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.760384400279365	0.0035199914001332	159	21	3	9	63.63636363636363	9.090909090909092	12	0	12	9	24	4000	3495099528
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00262	hypoxanthine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.6793937776349299	0.4742296367879302	1.1250457438569104	1.5954458124186302e-05	0.00012079804008312487	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.13415428000986	7.85844714558742e-05	159	27	6	0	81.81818181818183	18.181818181818183	33	0	0	0	33	4000	730822456
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00043	UDP-N-acetylglucosamine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.1185403457901995	0.67696682643414	1.4772411874641298	1.0606732958025696e-05	8.876160738558345e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.939007643120185	0.000290785192477196	159	27	6	0	81.81818181818183	18.181818181818183	33	0	0	0	33	4000	2565775700
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C02918	1-methylnicotinamide	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.6229930426523302	0.44263753293181995	1.1110106878427202	1.7295905123417605e-05	0.0001250022233919727	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.736754320620112	0.0104274039204103	159	29	4	0	87.87878787878788	12.121212121212121	33	0	0	0	33	4000	633988617
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00148	proline	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.9440649544719797	0.7572884789952603	1.09875811891445	1.4692006662221896e-06	1.9466908827444013e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.83185674666479	3.7774906946348e-08	159	30	3	0	90.9090909090909	9.090909090909092	33	0	0	0	33	4000	3919204027
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00328	kynurenine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.0857933848103203	0.6840176929179997	1.1366192725404298	8.782118560905848e-05	0.00035804021825231537	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.03558795953485	0.000218307827746403	159	28	5	0	84.84848484848484	15.151515151515152	30	0	3	0	33	4000	774970550
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00170	5-methylthioadenosine (MTA)	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.88923113762611	0.47544719885780906	1.62298223145417	3.7242647279456434e-05	0.000219317811756799	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.794416000324265	0.00110684292910678	159	24	6	3	72.72727272727273	18.181818181818183	20	0	10	3	30	4000	1213749175
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C03761	3-hydroxy-3-methylglutarate	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.923078048558363	0.744758104817146	1.1878695142220195	1.404771606093229e-06	1.9466908827444013e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.28253291327222	4.64513926849744e-06	159	30	2	1	90.9090909090909	6.0606060606060606	26	1	5	1	32	4000	527758388
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C02037	glycylglycine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.8108573073226599	0.60539430725848	0.95617158702198	7.02044012817468e-05	0.0003283088177587571	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.09439254708472	5.32472647854001e-06	159	29	4	0	87.87878787878788	12.121212121212121	30	1	2	0	33	4000	1115082139
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00385	xanthine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.48655113364594005	0.2801621901929998	0.7172169853652495	0.01034635631729135	0.0203095142524608	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.38387480653592	0.12185706354843	159	24	9	0	72.72727272727273	27.27272727272727	28	1	4	0	33	4000	2681830856
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00245	taurine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.7869469417343993	0.6504893729445005	1.0452938402491991	1.0246143586016148e-06	1.8101520335295194e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.76824722222295	3.7774906946348e-08	159	30	3	0	90.9090909090909	9.090909090909092	33	0	0	0	33	4000	2743522800
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C02494	1-methyladenosine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.41510669384983506	0.15349077539925993	1.014642250337943	0.00020583772884590765	0.0007438227019658936	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.744539332175952	0.0104274039204103	159	23	5	5	69.6969696969697	15.151515151515152	19	1	8	5	28	4000	3170243788
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C04501	N-Acetylglucosamine 1-phosphate	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.6527715753768799	0.3312227068241298	0.82993746200132	0.0039060080746021477	0.008872218340882022	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.651874150570456	0.0233237692703757	159	24	9	0	72.72727272727273	27.27272727272727	33	0	0	0	33	4000	1068055152
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00167	UDP-glucuronate	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.43432495420066	0.1642429729663002	0.8997083564619599	8.782118560905848e-05	0.00035804021825231537	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.51439178620292	0.0104274039204103	159	29	4	0	87.87878787878788	12.121212121212121	32	1	0	0	33	4000	2071913766
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C16741	5-hydroxylysine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.278965557378394	0.3623092329755452	1.801846850276178	8.782118560905848e-05	0.00035804021825231537	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.10235368258317	0.000106513585786417	159	26	7	0	78.78787878787878	21.21212121212121	14	1	18	0	33	4000	618350369
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00147	adenine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.8679636638366789	0.38673758792368806	1.0959183123863898	0.00038999365261257655	0.0012401798153079935	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.00605822007937	0.000171933865206755	159	27	6	0	81.81818181818183	18.181818181818183	28	0	5	0	33	4000	2660255614
