figure_id	title	format	source_commit	sources	source_run	relation_keys	filter	transform	data_tsv	caption	configured_analysis_families
01_design	研究设计与数据范围	PNG;PDF;SVG	8663004f8d98acaf1368badc7436c84b059e4462	results/BRCA/03_PATIENT/20260921T102429Z_camp_sample_identity_v1/README_CN.md			config examples	原统计值；仅布局与选择	figure_data/01_design.tsv	figures/01_design_caption_CN.md	"{""metabolite_primary"": ""paired_processed"", ""metabolite_sensitivity"": ""paired_author_available"", ""association_primary"": ""processed_Spearman262"", ""association_sensitivity"": ""available_Spearman262""}"
02_metabolites	配对代谢物：全量效应概览 / CAMP_BRCA1_Terunuma	PNG;PDF;SVG	8663004f8d98acaf1368badc7436c84b059e4462	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	20260921T112611Z_metabolite318_paired_v1		full specified scope	原统计值；仅布局与选择	figure_data/02_metabolites.tsv	figures/02_metabolites_caption_CN.md	"{""metabolite_primary"": ""paired_processed"", ""metabolite_sensitivity"": ""paired_author_available"", ""association_primary"": ""processed_Spearman262"", ""association_sensitivity"": ""available_Spearman262""}"
03_metabolite_counts	示例代谢物：配对方向人数	PNG;PDF;SVG	8663004f8d98acaf1368badc7436c84b059e4462	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv	20260921T112611Z_metabolite318_paired_v1		config examples	原统计值；仅布局与选择	figure_data/03_metabolite_counts.tsv	figures/03_metabolite_counts_caption_CN.md	"{""metabolite_primary"": ""paired_processed"", ""metabolite_sensitivity"": ""paired_author_available"", ""association_primary"": ""processed_Spearman262"", ""association_sensitivity"": ""available_Spearman262""}"
04_sensitivity	缺失敏感性：汇总效应对照	PNG;PDF;SVG	8663004f8d98acaf1368badc7436c84b059e4462	results/BRCA/04_ROBUSTNESS/20260921T112611Z_metabolite318_paired_v1/paired_metabolite318.tsv			full specified scope	原统计值；仅布局与选择	figure_data/04_sensitivity.tsv	figures/04_sensitivity_caption_CN.md	"{""metabolite_primary"": ""paired_processed"", ""metabolite_sensitivity"": ""paired_author_available"", ""association_primary"": ""processed_Spearman262"", ""association_sensitivity"": ""available_Spearman262""}"
05_mapping	直接生化映射与保留范围	PNG;PDF;SVG	8663004f8d98acaf1368badc7436c84b059e4462	results/BRCA/02_MAPPING/20260921T124136Z_mapping190_v2/metabolite190_mapping_status.tsv;results/BRCA/07_INTEGRATION/20260922T112000Z_sop_record_v1/candidate_relations262_history_preserved.tsv;results/BRCA/07_INTEGRATION/20260922T112000Z_sop_record_v1/candidate_genes156_history_preserved.tsv			config examples	按状态计数；关系行数；去重基因及集合差；无统计检验	figure_data/05_mapping.tsv	figures/05_mapping_caption_CN.md	"{""metabolite_primary"": ""paired_processed"", ""metabolite_sensitivity"": ""paired_author_available"", ""association_primary"": ""processed_Spearman262"", ""association_sensitivity"": ""available_Spearman262""}"
06_associations	肿瘤内部关系：全量概览 / CAMP_BRCA1_Terunuma	PNG;PDF;SVG	8663004f8d98acaf1368badc7436c84b059e4462	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	20260921T150000Z_mapping262_patient_v1	HMDB:HMDB00721|PEPD;HMDB:HMDB00736|CRAT;HMDB:HMDB00848|CPT2;HMDB:HMDB05065|CPT2;HMDB:HMDB10384|ENPP2;HMDB:HMDB10384|LPCAT1;HMDB:HMDB10384|LPCAT2;HMDB:HMDB10384|LPCAT3;HMDB:HMDB10384|LYPLA2;HMDB:HMDB61702|LPCAT4;KEGG:C00009|PPA1;KEGG:C00009|PPA2;KEGG:C00013|PPA1;KEGG:C00013|PPA2;KEGG:C00021|AHCY;KEGG:C00021|NNMT;KEGG:C00025|ASNS;KEGG:C00025|BCAT1;KEGG:C00025|BCAT2;KEGG:C00025|FOLH1;KEGG:C00025|GCLC;KEGG:C00025|GLS;KEGG:C00025|GLS2;KEGG:C00025|GLUL;KEGG:C00025|GOT1;KEGG:C00025|GOT2;KEGG:C00025|OAT;KEGG:C00025|SLC7A11;KEGG:C00025|TAT;KEGG:C00037|GSS;KEGG:C00037|PEPD;KEGG:C00037|SHMT1;KEGG:C00037|SHMT2;KEGG:C00042|SDHA;KEGG:C00042|SDHB;KEGG:C00042|SDHC;KEGG:C00042|SDHD;KEGG:C00042|SLC13A3;KEGG:C00042|SLC25A10;KEGG:C00042|SUCLA2;KEGG:C00042|SUCLG1;KEGG:C00042|SUCLG2;KEGG:C00047|AASS;KEGG:C00049|ASNS;KEGG:C00049|ASS1;KEGG:C00049|GOT1;KEGG:C00049|GOT2;KEGG:C00051|GSR;KEGG:C00051|GSS;KEGG:C00055|CEPT1;KEGG:C00055|CHPT1;KEGG:C00055|CMPK1;KEGG:C00055|CMPK2;KEGG:C00062|ARG1;KEGG:C00062|ARG2;KEGG:C00064|ASNS;KEGG:C00064|GLS;KEGG:C00064|GLS2;KEGG:C00064|GLUL;KEGG:C00065|SHMT1;KEGG:C00065|SHMT2;KEGG:C00077|ARG1;KEGG:C00077|ARG2;KEGG:C00077|OAT;KEGG:C00077|ODC1;KEGG:C00077|OTC;KEGG:C00095|KHK;KEGG:C00095|SORD;KEGG:C00097|CDO1;KEGG:C00097|GCLC;KEGG:C00099|UPB1;KEGG:C00106|DPYD;KEGG:C00106|SLC29A2;KEGG:C00106|UPP1;KEGG:C00106|UPP2;KEGG:C00114|CHKA;KEGG:C00114|CHKB;KEGG:C00114|GDPD5;KEGG:C00114|GPCPD1;KEGG:C00114|SLC22A2;KEGG:C00121|RBKS;KEGG:C00134|ODC1;KEGG:C00135|HAL;KEGG:C00140|NAGK;KEGG:C00148|PEPD;KEGG:C00148|PRODH;KEGG:C00148|PYCR1;KEGG:C00148|PYCR2;KEGG:C00148|PYCR3;KEGG:C00149|FH;KEGG:C00149|MDH1;KEGG:C00149|MDH2;KEGG:C00153|NAMPT;KEGG:C00153|NNMT;KEGG:C00153|SLC29A2;KEGG:C00186|LDHA;KEGG:C00186|LDHB;KEGG:C00187|SOAT1;KEGG:C00187|SOAT2;KEGG:C00189|CHKA;KEGG:C00189|CHKB;KEGG:C00189|ETNK1;KEGG:C00189|ETNK2;KEGG:C00208|MGAM;KEGG:C00212|ADA;KEGG:C00212|ADA2;KEGG:C00212|AHCY;KEGG:C00212|SLC29A2;KEGG:C00219|ABHD12;KEGG:C00219|ABHD6;KEGG:C00219|ACSL1;KEGG:C00219|ACSL3;KEGG:C00219|ACSL4;KEGG:C00219|ACSL5;KEGG:C00219|ACSL6;KEGG:C00219|ALOX15;KEGG:C00219|ALOX5;KEGG:C00219|CYP4F2;KEGG:C00219|MGLL;KEGG:C00219|PTGS1;KEGG:C00219|PTGS2;KEGG:C00242|GDA;KEGG:C00242|HPRT1;KEGG:C00242|PNP;KEGG:C00242|SLC29A2;KEGG:C00245|SLC6A6;KEGG:C00255|RFK;KEGG:C00257|IDNK;KEGG:C00262|HPRT1;KEGG:C00262|PNP;KEGG:C00262|SLC29A2;KEGG:C00270|CMAS;KEGG:C00270|NPL;KEGG:C00275|MPI;KEGG:C00275|PMM1;KEGG:C00275|PMM2;KEGG:C00294|ADA;KEGG:C00294|ADA2;KEGG:C00294|NT5C2;KEGG:C00294|PNP;KEGG:C00294|SLC29A2;KEGG:C00300|CKB;KEGG:C00300|CKM;KEGG:C00300|GAMT;KEGG:C00300|SLC6A8;KEGG:C00307|CEPT1;KEGG:C00307|CHPT1;KEGG:C00307|PCYT1A;KEGG:C00307|PCYT1B;KEGG:C00319|SPHK1;KEGG:C00319|SPHK2;KEGG:C00327|ASS1;KEGG:C00327|OTC;KEGG:C00328|AFMID;KEGG:C00328|KMO;KEGG:C00328|KYNU;KEGG:C00345|IDNK;KEGG:C00345|PGD;KEGG:C00346|CHKA;KEGG:C00346|CHKB;KEGG:C00346|ETNK1;KEGG:C00346|ETNK2;KEGG:C00346|PCYT2;KEGG:C00357|AMDHD2;KEGG:C00357|GNPNAT1;KEGG:C00357|NAGK;KEGG:C00357|PGM3;KEGG:C00385|GDA;KEGG:C00429|DPYD;KEGG:C00429|DPYS;KEGG:C00491|CTNS;KEGG:C00491|SLC7A11;KEGG:C00668|GPI;KEGG:C00670|GDPD5;KEGG:C00670|GPCPD1;KEGG:C00670|LYPLA1;KEGG:C00670|LYPLA2;KEGG:C00712|ABHD12;KEGG:C00712|ABHD6;KEGG:C00712|ACSL1;KEGG:C00712|ACSL3;KEGG:C00712|ACSL5;KEGG:C00712|LYPLA1;KEGG:C00712|MGLL;KEGG:C00751|FDFT1;KEGG:C00751|SQLE;KEGG:C00791|SLC22A2;KEGG:C00791|SLC47A1;KEGG:C00791|SLC47A2;KEGG:C00794|SORD;KEGG:C00864|PANK1;KEGG:C00864|PANK2;KEGG:C00864|PANK3;KEGG:C01157|PRODH2;KEGG:C01179|HPD;KEGG:C01179|TAT;KEGG:C01181|BBOX1;KEGG:C01530|ABHD12;KEGG:C01530|ACSL3;KEGG:C01530|LYPLA2;KEGG:C01530|MGLL;KEGG:C01762|NT5C2;KEGG:C01835|MGAM;KEGG:C01885|ABHD12;KEGG:C01885|MGLL;KEGG:C02067|PUDP;KEGG:C02477|CYP4F2;KEGG:C02483|CYP4F2;KEGG:C02679|ABHD12;KEGG:C02679|ABHD6;KEGG:C02679|ACSL3;KEGG:C02679|ACSM1;KEGG:C02679|MGLL;KEGG:C02862|CRAT;KEGG:C02918|AOX1;KEGG:C02918|NNMT;KEGG:C02918|SLC22A2;KEGG:C02990|CPT1A;KEGG:C02990|CPT1B;KEGG:C02990|CPT2;KEGG:C02990|SLC25A20;KEGG:C03017|CRAT;KEGG:C03017|SLC25A20;KEGG:C03916|ABHD12;KEGG:C03916|ENPP2;KEGG:C03916|LPCAT1;KEGG:C03916|LPCAT3;KEGG:C03916|LPCAT4;KEGG:C04006|IMPA1;KEGG:C04006|IMPA2;KEGG:C04102|ENPP2;KEGG:C04102|LPCAT1;KEGG:C04102|LPCAT2;KEGG:C04102|LPCAT3;KEGG:C04102|LPCAT4;KEGG:C04102|LYPLA1;KEGG:C04102|LYPLA2;KEGG:C05282|FOLH1;KEGG:C05345|GPI;KEGG:C05345|MPI;KEGG:C05345|PFKL;KEGG:C05345|PFKM;KEGG:C05345|PFKP;KEGG:C06424|ABHD12;KEGG:C06424|ABHD6;KEGG:C06424|ACSL3;KEGG:C06424|ACSM1;KEGG:C06424|MGLL;KEGG:C06428|ACSL3;KEGG:C06428|ACSL4;KEGG:C06428|CYP4F2;KEGG:C06429|ACSL3;KEGG:C06429|ACSL4;KEGG:C06429|ALOX15;KEGG:C06429|CYP4F2;KEGG:C07326|SLC5A10;KEGG:C10172|SLC22A4;KEGG:C12270|FOLH1;KEGG:C16527|ACSL4;KEGG:D01947|ABHD12;KEGG:D01947|MGLL;NAME:2-oleoylglycerophosphoethanolamine|LPCAT4	full specified scope	原统计值；仅布局与选择	figure_data/06_associations.tsv	figures/06_associations_caption_CN.md	"{""metabolite_primary"": ""paired_processed"", ""metabolite_sensitivity"": ""paired_author_available"", ""association_primary"": ""processed_Spearman262"", ""association_sensitivity"": ""available_Spearman262""}"
07_association_intervals	固定示例：主分析与可用值相关	PNG;PDF;SVG	8663004f8d98acaf1368badc7436c84b059e4462	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/CAMP_relations262.tsv	20260921T150000Z_mapping262_patient_v1	KEGG:C00047|AASS;KEGG:C00064|ASNS;KEGG:C00148|PYCR1;KEGG:C00189|ETNK1;KEGG:C00219|ABHD12;KEGG:C00491|SLC7A11;KEGG:C00668|GPI;KEGG:C00670|GPCPD1;KEGG:C02918|NNMT;KEGG:C04102|LPCAT1;KEGG:C04102|LYPLA1;KEGG:C04102|LYPLA2	config examples	原统计值；仅布局与选择	figure_data/07_association_intervals.tsv	figures/07_association_intervals_caption_CN.md	"{""metabolite_primary"": ""paired_processed"", ""metabolite_sensitivity"": ""paired_author_available"", ""association_primary"": ""processed_Spearman262"", ""association_sensitivity"": ""available_Spearman262""}"
08_RNA	配对RNA：全量效应概览 / CAMP_BRCA1_Terunuma	PNG;PDF;SVG	8663004f8d98acaf1368badc7436c84b059e4462	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	20260921T150000Z_mapping262_patient_v1	NA|AASS;NA|ABHD12;NA|ABHD6;NA|ACSL1;NA|ACSL3;NA|ACSL4;NA|ACSL5;NA|ACSL6;NA|ACSM1;NA|ADA;NA|ADA2;NA|AFMID;NA|AHCY;NA|ALOX15;NA|ALOX5;NA|AMDHD2;NA|AOX1;NA|ARG1;NA|ARG2;NA|ASNS;NA|ASS1;NA|BBOX1;NA|BCAT1;NA|BCAT2;NA|CDO1;NA|CEPT1;NA|CHKA;NA|CHKB;NA|CHPT1;NA|CKB;NA|CKM;NA|CMAS;NA|CMPK1;NA|CMPK2;NA|CPT1A;NA|CPT1B;NA|CPT2;NA|CRAT;NA|CTNS;NA|CYP4F2;NA|DPYD;NA|DPYS;NA|ENPP2;NA|ETNK1;NA|ETNK2;NA|FDFT1;NA|FH;NA|FOLH1;NA|GAMT;NA|GCLC;NA|GDA;NA|GDPD5;NA|GLS;NA|GLS2;NA|GLUL;NA|GNPNAT1;NA|GOT1;NA|GOT2;NA|GPCPD1;NA|GPI;NA|GSR;NA|GSS;NA|HAL;NA|HPD;NA|HPRT1;NA|IDNK;NA|IMPA1;NA|IMPA2;NA|KHK;NA|KMO;NA|KYNU;NA|LDHA;NA|LDHB;NA|LPCAT1;NA|LPCAT2;NA|LPCAT3;NA|LPCAT4;NA|LYPLA1;NA|LYPLA2;NA|MDH1;NA|MDH2;NA|MGAM;NA|MGLL;NA|MPI;NA|NAGK;NA|NAMPT;NA|NNMT;NA|NPL;NA|NT5C2;NA|OAT;NA|ODC1;NA|OTC;NA|PANK1;NA|PANK2;NA|PANK3;NA|PCYT1A;NA|PCYT1B;NA|PCYT2;NA|PEPD;NA|PFKL;NA|PFKM;NA|PFKP;NA|PGD;NA|PGM3;NA|PMM1;NA|PMM2;NA|PNP;NA|PPA1;NA|PPA2;NA|PRODH;NA|PRODH2;NA|PTGS1;NA|PTGS2;NA|PUDP;NA|PYCR1;NA|PYCR2;NA|PYCR3;NA|RBKS;NA|RFK;NA|SDHA;NA|SDHB;NA|SDHC;NA|SDHD;NA|SHMT1;NA|SHMT2;NA|SLC13A3;NA|SLC22A2;NA|SLC22A4;NA|SLC25A10;NA|SLC25A20;NA|SLC29A2;NA|SLC47A1;NA|SLC47A2;NA|SLC5A10;NA|SLC6A6;NA|SLC6A8;NA|SLC7A11;NA|SOAT1;NA|SOAT2;NA|SORD;NA|SPHK1;NA|SPHK2;NA|SQLE;NA|SUCLA2;NA|SUCLG1;NA|SUCLG2;NA|TAT;NA|UPB1;NA|UPP1;NA|UPP2	config examples	原统计值；仅布局与选择	figure_data/08_RNA.tsv	figures/08_RNA_caption_CN.md	"{""metabolite_primary"": ""paired_processed"", ""metabolite_sensitivity"": ""paired_author_available"", ""association_primary"": ""processed_Spearman262"", ""association_sensitivity"": ""available_Spearman262""}"
09_RNA_counts	示例基因：配对RNA方向人数	PNG;PDF;SVG	8663004f8d98acaf1368badc7436c84b059e4462	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	20260921T150000Z_mapping262_patient_v1	NA|LYPLA1;NA|ASNS;NA|GPI;NA|GPCPD1;NA|NNMT;NA|LYPLA2;NA|ABHD12;NA|LPCAT1;NA|SLC7A11;NA|PYCR1;NA|AASS;NA|ETNK1	config examples	原统计值；仅布局与选择	figure_data/09_RNA_counts.tsv	figures/09_RNA_counts_caption_CN.md	"{""metabolite_primary"": ""paired_processed"", ""metabolite_sensitivity"": ""paired_author_available"", ""association_primary"": ""processed_Spearman262"", ""association_sensitivity"": ""available_Spearman262""}"
10_source_Wu2021	单细胞来源 / Wu2021	PNG;PDF;SVG	8663004f8d98acaf1368badc7436c84b059e4462	results/BRCA/06_EXTERNAL/20260919T140105Z_scRNA117_v1/Wu2021_celltype_profiles.tsv;results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/Wu2021_celltype_profiles.tsv;results/BRCA/06_EXTERNAL/20260919T140105Z_scRNA117_v1/Pal2021_reprocessed_celltype_profiles.tsv;results/BRCA/06_EXTERNAL/20260922T023000Z_sc39_v1/Pal2021_reprocessed_celltype_profiles.tsv	20260919T140105Z_scRNA117_v1;20260922T023000Z_sc39_v1		config examples	原统计值；仅布局与选择	figure_data/10_source_Wu2021.tsv	figures/10_source_Wu2021_caption_CN.md	"{""metabolite_primary"": ""paired_processed"", ""metabolite_sensitivity"": ""paired_author_available"", ""association_primary"": ""processed_Spearman262"", ""association_sensitivity"": ""available_Spearman262""}"
