logFC	logCPM	F	PValue	gene	site	construct	author_n_treated	author_n_control	gene_identity	q_within_contrast	ci_lower	ci_upper	ci_reason	q_global4
0.055854465803456	5.89638358037606	0.38843530523253	0.542630634833748	Mnat1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.767003106860584
0.229730729441244	4.13712982968763	4.40944441145195	0.0533539456481342	Mnd1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.972165399605687	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.198644318998111
0.155537834795514	4.18294568531793	1.40406641003435	0.254884137324932	Mnda	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.517950987319617
0.121393766877534	5.94856987837913	1.30349618502889	0.27183490516522	Mndal	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.535621243538847
0.0962426249672385	7.02798529439201	0.185485294168788	0.672961244039637	Mnf1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.84772462491753
-0.194921579636527	4.00799408270197	1.98356387540532	0.17985402742429	Mns1	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.425428776069365
-0.162820440984667	2.30665076204557	1.4204752057136	0.252129141678013	Mnt	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.514780302076058
0.198077516144658	2.92569681974976	1.30502828690053	0.271598464193237	Mob1a	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.535348141516976
0.0511532891986799	5.32547522368683	0.230325463483021	0.638342216387749	Mob1b	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.827323230471645
0.0058251793026388	4.35901242416293	0.00168649368440028	0.967796195140349	Mob2	Lung	shAsns1	4	4	author_mouse_gene_symbol;no_human_ortholog_inference	0.99829283719919	NA	NA	edgeR_QLF_does_not_supply_corresponding_effect_CI;not_fabricated	0.987344190629604
