query_translation	hits	retrieved	scope
"(ASNS[All Fields] OR ""asparagine synthetase""[All Fields]) AND gse[Entry Type]"	46	46	bounded_gene_keyword_GEO_series_search;not_exhaustive
"(GLS[All Fields] OR GLS1[All Fields] OR (""glutaminase""[All Fields] OR ""glutaminase""[MeSH Terms] OR glutaminase[All Fields])) AND ((""breast""[MeSH Terms] OR breast[All Fields]) OR (""mammary glands, human""[MeSH Terms] OR ""breast""[MeSH Terms] OR mammary[All Fields])) AND gse[Entry Type]"	7	7	bounded_gene_keyword_GEO_series_search;not_exhaustive
