cohort	metabolite_key	metabolite_name	status	reason	feature	external_name	row_index
FUSCC	KEGG:C00065	serine	DONE	unique_author_identifier	M106T367_POS	L-Serine	-1
Tang	KEGG:C00065	serine	DONE	unique_author_name;not_spectral_reidentification	8	serine	367
FUSCC	KEGG:C00077	ornithine	DONE	unique_author_identifier	M133T489_POS	Ornithine	-1
Tang	KEGG:C00077	ornithine	DONE	unique_author_name;not_spectral_reidentification	258	ornithine	320
FUSCC	KEGG:C00095	fructose	DONE	unique_author_identifier	M359T295_NEG	D-Fructose	-1
Tang	KEGG:C00095	fructose	DONE	unique_author_name;not_spectral_reidentification	537	fructose	194
FUSCC	KEGG:C00097	cysteine	NOT_EVALUABLE	no_exact_author_identifier			-1
Tang	KEGG:C00097	cysteine	DONE	unique_author_name;not_spectral_reidentification	224	cysteine	165
FUSCC	KEGG:C00099	beta-alanine	DONE	unique_author_identifier	M126T163_NEG	Beta-Alanine	-1
Tang	KEGG:C00099	beta-alanine	DONE	unique_author_name;not_spectral_reidentification	28	beta-alanine	140
FUSCC	KEGG:C00106	uracil	DONE	unique_author_identifier	M111T82_NEG	Uracil	-1
Tang	KEGG:C00106	uracil	DONE	unique_author_name;not_spectral_reidentification	1277	uracil	399
FUSCC	KEGG:C00114	choline	DONE	unique_author_identifier	M104T293_POS	Choline	-1
Tang	KEGG:C00114	choline	DONE	unique_author_name;not_spectral_reidentification	960	choline	154
FUSCC	KEGG:C00121	ribose	DONE	unique_author_identifier	M149T177_NEG	D-Ribose	-1
Tang	KEGG:C00121	ribose	DONE	unique_author_name;not_spectral_reidentification	622	ribose	358
FUSCC	KEGG:C00134	putrescine	NOT_EVALUABLE	no_exact_author_identifier			-1
Tang	KEGG:C00134	putrescine	DONE	unique_author_name;not_spectral_reidentification	282	putrescine	351
FUSCC	KEGG:C00135	histidine	DONE	unique_author_identifier	M156T391_POS	L-Histidine	-1
Tang	KEGG:C00135	histidine	DONE	unique_author_name;not_spectral_reidentification	53	histidine	245
FUSCC	KEGG:C00140	N-acetylglucosamine	DONE	unique_author_identifier	M222T255_POS	N-Acetyl-D-glucosamine	-1
Tang	KEGG:C00140	N-acetylglucosamine	NOT_EVALUABLE	no_unique_author_name			-1
FUSCC	KEGG:C00148	proline	DONE	unique_author_identifier	M116T307_POS	L-Proline	-1
Tang	KEGG:C00148	proline	DONE	unique_author_name;not_spectral_reidentification	261	proline	347
FUSCC	KEGG:C00149	malate	DONE	unique_author_identifier	M133T397_NEG	L-Malic acid	-1
Tang	KEGG:C00149	malate	DONE	unique_author_name;not_spectral_reidentification	667	malate	277
FUSCC	KEGG:C00153	nicotinamide	DONE	unique_author_identifier	M123T51_POS	Nicotinamide	-1
Tang	KEGG:C00153	nicotinamide	DONE	unique_author_name;not_spectral_reidentification	1324	nicotinamide	312
FUSCC	KEGG:C00186	lactate	NEEDS_REVIEW	L_vs_DL_lactate_scope_unresolved	M89T227_NEG	DL-lactate	-1
Tang	KEGG:C00186	lactate	NEEDS_REVIEW	L_lactate_scope_unresolved	604	lactate	265
FUSCC	KEGG:C00187	cholesterol	NOT_EVALUABLE	no_exact_author_identifier			-1
Tang	KEGG:C00187	cholesterol	DONE	unique_author_name;not_spectral_reidentification	1102	cholesterol	153
FUSCC	KEGG:C00189	ethanolamine	NOT_EVALUABLE	no_exact_author_identifier			-1
Tang	KEGG:C00189	ethanolamine	DONE	unique_author_name;not_spectral_reidentification	955	ethanolamine	192
FUSCC	KEGG:C00208	maltose	DONE	unique_author_identifier	M341T442_NEG	D-Maltose	-1
