population	PC1	PC2
B lineage	0.3518293271480176	-0.25670569817790023
Cytotoxic lymphocytes	0.42232116764578675	-0.23327303440725727
Endothelial cells	0.18517118206461902	0.558309543523657
Fibroblasts	0.11188419535770353	0.549983467954778
Monocytic lineage	0.3568299761890407	-0.09356582383057131
Myeloid dendritic cells	0.3973592881453158	0.17639035286489751
NK cells	0.325588428370837	0.004036497079043576
Neutrophils	0.22717607437350637	0.4121505881133632
T cells	0.45630657111162815	-0.23609742473079065
