cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	previous_n	previous_effect	previous_p	previous_q	original_CAMP_g	original_CAMP_q	seed	bootstrap_valid	p_origin	design_condition	effect_change	q_threshold_changed
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER_PC12	KEGG:C00025	glutamate	ASNS	author_case_row	60.0	NA	partial_rank_correlation	0.06251750088439	-0.2275989277252004	0.3176351339591847	0.6474	0.8490857142857142	available_ER_PC12	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00025|ASNS	61.0	0.0392852584997148	0.7643	0.8700882352941176	1.76291003863997	2.72915698370918e-10	4232609905.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	1.77606183259292	0.0232322423846752	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER_MonoEndoFib	KEGG:C00025	glutamate	ASNS	author_case_row	60.0	NA	partial_rank_correlation	0.1424127453751861	-0.1399750892860357	0.4297205393603697	0.3037	0.7493696202531647	available_ER_MonoEndoFib	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00025|ASNS	61.0	0.1151397391890122	0.4038	0.7625472527472527	1.76291003863997	2.72915698370918e-10	3472410494.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	2.5161007870503527	0.0272730061861739	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	processed_Spearman	KEGG:C00025	glutamate	GLS	author_case_row	60.0	NA	Spearman_rho	0.1793831619894415	-0.0867625378988067	0.4365048901327072	0.1685	0.3526353658536585	processed_Spearman	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00025|GLS	61.0	0.2057641459545213	0.1142	0.2675095890410958	1.76291003863997	2.72915698370918e-10	3801202819.0	4000.0	NEW_EXCLUDED_CASE_ANALYSIS	NA	-0.0263809839650797	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_Spearman	KEGG:C00025	glutamate	GLS	author_case_row	60.0	NA	Spearman_rho	0.1793831619894415	-0.0937131240707679	0.4252965986378194	0.1711	0.3953797297297297	available_Spearman	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00025|GLS	61.0	0.2057641459545213	0.1071	0.2861578125	1.76291003863997	2.72915698370918e-10	1256667972.0	4000.0	NEW_EXCLUDED_CASE_ANALYSIS	NA	-0.0263809839650797	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	processed_ER	KEGG:C00025	glutamate	GLS	author_case_row	60.0	NA	partial_rank_correlation	0.1360028070276919	-0.1432513160757292	0.3816114978671156	0.3095	0.5695615384615385	processed_ER	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00025|GLS	61.0	0.176069622215776	0.1844	0.420432	1.76291003863997	2.72915698370918e-10	3892562882.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	1.0000000000000002	-0.040066815188084	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER	KEGG:C00025	glutamate	GLS	author_case_row	60.0	NA	partial_rank_correlation	0.1360028070276919	-0.1507600696864062	0.4109644770365757	0.3163	0.5753968085106383	available_ER	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00025|GLS	61.0	0.176069622215776	0.1844	0.4637117647058824	1.76291003863997	2.72915698370918e-10	4046700521.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	1.0000000000000002	-0.040066815188084	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER_PC12	KEGG:C00025	glutamate	GLS	author_case_row	60.0	NA	partial_rank_correlation	0.1831332211047263	-0.0868464069856844	0.4570407139586208	0.1779	0.6607148936170214	available_ER_PC12	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00025|GLS	61.0	0.2125618582908159	0.1134	0.5876181818181818	1.76291003863997	2.72915698370918e-10	1880665781.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	1.77606183259292	-0.0294286371860895	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER_MonoEndoFib	KEGG:C00025	glutamate	GLS	author_case_row	60.0	NA	partial_rank_correlation	0.1080025765905664	-0.1777705623157979	0.3465978095275536	0.439	0.8086360824742268	available_ER_MonoEndoFib	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00025|GLS	61.0	0.1260846747863644	0.3562	0.7429447058823531	1.76291003863997	2.72915698370918e-10	398457516.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	2.5161007870503527	-0.0180820981957979	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	processed_Spearman	KEGG:C00049	aspartate	ASNS	author_case_row	60.0	NA	Spearman_rho	0.124256737982773	-0.1417919991405478	0.3739397618670838	0.3443	0.5453	processed_Spearman	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00049|ASNS	61.0	0.0859333685880486	0.5178	0.6893023255813954	1.54594696706781	3.98041506834046e-09	3488084602.0	4000.0	NEW_EXCLUDED_CASE_ANALYSIS	NA	0.0383233693947244	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_Spearman	KEGG:C00049	aspartate	ASNS	author_case_row	60.0	NA	Spearman_rho	0.124256737982773	-0.1310690372780737	0.3862511941718747	0.3477	0.5772495145631068	available_Spearman	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00049|ASNS	61.0	0.0859333685880486	0.5078	0.6783890625000001	1.54594696706781	3.98041506834046e-09	2881730252.0	4000.0	NEW_EXCLUDED_CASE_ANALYSIS	NA	0.0383233693947244	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	processed_ER	KEGG:C00049	aspartate	ASNS	author_case_row	60.0	NA	partial_rank_correlation	0.1246249273720876	-0.1257798405104519	0.3388511749328038	0.345	0.5695615384615385	processed_ER	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00049|ASNS	61.0	0.0917335266277562	0.486	0.6660921259842519	1.54594696706781	3.98041506834046e-09	2273738728.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	1.0000000000000002	0.0328914007443314	False
BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T103911Z_camp_pair_sensitivity_v1	camp_pair_sensitivity_v1	available_ER	KEGG:C00049	aspartate	ASNS	author_case_row	60.0	NA	partial_rank_correlation	0.1246249273720876	-0.1450715136628409	0.3783034189180178	0.3435	0.6009428571428571	available_ER	171.0	DONE	NA	CAMP_GSE37751_original_author_case_table	KEGG:C00049|ASNS	61.0	0.0917335266277562	0.486	0.7008126050420168	1.54594696706781	3.98041506834046e-09	1698959326.0	500.0	NEW_EXCLUDED_CASE_ANALYSIS	1.0000000000000002	0.0328914007443314	False
