family	evaluable	old_q_lt005	new_q_lt005	max_abs_rho_change	median_abs_rho_change	q_threshold_crossings	effect_sign_changes	reused_p
available_ER	171	4	8	0.0766460983007756	0.0153966509807004	4	2	33
available_ER_MonoEndoFib	171	1	2	0.0808396445306096	0.0112632678792798	1	5	33
available_ER_PC12	171	2	0	0.0896276916282211	0.0105811269376446	2	3	0
available_Spearman	171	9	10	0.0583728876165851	0.0112106381013943	1	4	33
processed_ER	171	3	7	0.0766460983007756	0.0228015200062721	6	4	0
processed_Spearman	171	11	12	0.0515492654769695	0.016007850997516	3	4	0
