feature_id	metabolite_key	metabolite_name	n_direct_relations	status	reason
GBM_FEATURE:ea47f8b6bd42e6dc	NAME:Unknown 020	Unknown 020	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:ebe8f638454708db	NAME:Unknown 021	Unknown 021	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:24bef348f62eeeb2	NAME:Unknown 023	Unknown 023	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:ee2424d5fa9f23b4	NAME:Unknown 025	Unknown 025	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a9b7b823eb6b9e1f	NAME:Unknown 026	Unknown 026	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:12e2e6ac93e35d35	NAME:Unknown 028	Unknown 028	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:096c3b310f11f8a2	NAME:Unknown 031	Unknown 031	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b3a7e6ba4396125e	NAME:Unknown 032	Unknown 032	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:7e9b803e0729e525	NAME:Unknown 033	Unknown 033	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:0a730e1d1a476d5e	NAME:Unknown 034	Unknown 034	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d469d7f5dc8e870e	NAME:Unknown 040	Unknown 040	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:8a2af3b7942f3bfa	NAME:Unknown 041	Unknown 041	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:395c684b3d87834f	NAME:Unknown 042	Unknown 042	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:c827aec0e1a9b05d	NAME:Unknown 045	Unknown 045	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:46abc0dad66a7313	NAME:Unknown 049	Unknown 049	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:08a7f66b7b458f5b	NAME:Unknown 050	Unknown 050	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:f0e389f340df4915	NAME:anandamide(18:1)	anandamide(18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:30949f914cf36823	NAME:carnitine(12:0)	carnitine(12:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:02f6781c423a8b4b	NAME:carnitine(14:0)	carnitine(14:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:826b6886af0bd114	NAME:carnitine(14:1)	carnitine(14:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:eba8c9dac8165085	NAME:carnitine(16:0)	carnitine(16:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:406749f550b2d3d5	NAME:carnitine(16:1)	carnitine(16:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:ca8fd7f6d13a5edc	KEGG:C14641	CE(18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:cee4c59f633e0393	KEGG:C15441	CE(18:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:18796b789097e0b0	NAME:CE(20:2)	CE(20:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:3a9783b2f0ee5dd5	KEGG:C02530	CE(20:3)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:54f5318e7737fe45	KEGG:C02530	CE(20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:8d642951c9e3d17f	NAME:CE(22:3)	CE(22:3)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:c20870feeee1ecc6	KEGG:C02530	CE(22:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:04c96d3c5692fd81	HMDB:HMDB10374	CE(22:5)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:27c40439ba8f9dca	KEGG:C02530	CE(22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:4760f03fbb18a2a7	HMDB:HMDB56009	DG(16:0/0:0/16:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d3f9c7423db5d276	HMDB:HMDB07103	palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:0cf7c2997d885ab7	HMDB:HMDB07110	DG(16:0/20:3/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d4cec206c1c55c1f	HMDB:HMDB07112	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:ca94937bf8058bca	HMDB:HMDB07159	DG(18:0/18:1/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:16f25f6bfd3f555f	HMDB:HMDB07176	DG(18:0/22:4/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:38c0a8fd832bbce8	HMDB:HMDB07190	DG(18:1/18:2/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:eb7aa01acda60d0a	HMDB:HMDB07638	DG(18:1/26:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:ae1380309387cf24	NAME:HexCer(d18:1/18:0)	HexCer(d18:1/18:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:962bd4add66df85c	NAME:HexCer(d18:1/18:1)	HexCer(d18:1/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2eb6aa2ed3a14d23	NAME:HexCer(d18:1/22:1)	HexCer(d18:1/22:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:c32bc1568247f3c2	NAME:HexCer(d18:1/23:0)	HexCer(d18:1/23:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:68377d3f59cc05b6	NAME:HexCer(d18:1/23:1)	HexCer(d18:1/23:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b8bd411ad1476786	NAME:HexCer(d18:1/24:0)	HexCer(d18:1/24:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:fe7e75a60863e472	NAME:HexCer(d18:1/24:1)_A	HexCer(d18:1/24:1)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:4f11afa8ace49aec	NAME:HexCer(d18:1/24:1)_B	HexCer(d18:1/24:1)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2f9c26fcb0056c1d	NAME:HexCer(d18:1/24:1)_C	HexCer(d18:1/24:1)_C	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
