feature_id	metabolite_key	metabolite_name	n_direct_relations	status	reason
GBM_FEATURE:3ab75b182dbd0881	KEGG:C00157	PC(18:0/22:5)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:80eb32c3400cfe48	HMDB:HMDB08057	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:930996b243842d03	HMDB:HMDB62690	PC(18:1/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d27acecf31511609	KEGG:C00157	PC(18:1/18:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d70a35ffb4dd6e6e	KEGG:C00157	PC(18:1/19:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:dd0016190d563098	KEGG:C00157	PC(18:1/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:44ee968737189ee9	KEGG:C00157	PC(18:1/22:5)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:fadd7b8677cedaa6	KEGG:C00157	PC(18:1/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:38bfafc6ab7e4a93	NAME:PC(18:1/24:0);PC(16:0/26:1)	PC(18:1/24:0);PC(16:0/26:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:4a7e727fc9d8ab52	NAME:PC(18:1/24:1);PC(16:1/26:1)	PC(18:1/24:1);PC(16:1/26:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:98b585743a0a55e7	NAME:PC(18:1/26:0)	PC(18:1/26:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a7f618b5634a682e	KEGG:C00157	PC(18:1/26:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:10ace3e4ab35f501	NAME:PC(18:1/28:0)	PC(18:1/28:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:3de131a5b78a6b2c	NAME:PC(18:1/28:1)	PC(18:1/28:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:3a3dc3ef6aed0525	NAME:PC(18:1/30:1)	PC(18:1/30:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:329b6816f5802feb	NAME:PC(18:1/30:2)	PC(18:1/30:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:81a93b772de6f996	NAME:PC(18:1/36:6)	PC(18:1/36:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a59f3c993865a5ca	NAME:PC(18:2/0:0)_B	PC(18:2/0:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:7c8cce5f10b0173f	HMDB:HMDB08147	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:5e36c0f4c5622ae6	NAME:PC(19:1/0:0)	PC(19:1/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9a6d951c5b80ad34	NAME:PC(19:1/20:4)	PC(19:1/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2a70db932d8be4f2	NAME:PC(20:1/0:0)_A	PC(20:1/0:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:22c8015b19446749	NAME:PC(20:1/0:0)_B	PC(20:1/0:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:42cb2cbf80244598	NAME:PC(20:2/0:0)	PC(20:2/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:79432ba875c535a8	NAME:PC(20:3/0:0)_A	PC(20:3/0:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:e27c9c40647a8146	NAME:PC(20:3/0:0)_B	PC(20:3/0:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:25f57689a68bea94	KEGG:C00157	PC(20:3/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9f18a2c7ec8635e8	KEGG:C00157	PC(20:3/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:c5309782e3d7fd7f	NAME:PC(20:3/26:1)	PC(20:3/26:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9b8778f2ec7c2884	NAME:PC(20:4/20:4);PC(18:2/22:6)	PC(20:4/20:4);PC(18:2/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b3236075affff33b	KEGG:C00157	PC(20:4/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:feba66ac9fd94f31	KEGG:C00157	PC(20:4/24:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:adee739f888a7882	NAME:PC(20:4/26:1)	PC(20:4/26:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:1cf8eb29aa966885	NAME:PC(20:4/28:1)	PC(20:4/28:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:208297f5f065ce7e	NAME:PC(20:4/36:4)	PC(20:4/36:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:6f8b300f80474557	NAME:PC(20:4/36:5)	PC(20:4/36:5)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:87f9d26d4e460286	KEGG:C04230	PC(22:0/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:71688d5cce4abf69	KEGG:C00157	PC(22:4/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:100959c541c4d9a1	KEGG:C04230	PC(22:6/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d7926df2602d07d8	KEGG:C00157	PC(22:6/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:25c9817ab0d5c8ba	NAME:PC(22:6/36:4)	PC(22:6/36:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:bd158b3ee654e568	NAME:PC(26:1/0:0)_A	PC(26:1/0:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:93c20447d5fe6cb4	NAME:PC(26:1/0:0)_B	PC(26:1/0:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:0809fbde1759b99b	NAME:PC(O-16:0/0:0)	PC(O-16:0/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:204b491e77cc941d	NAME:PC(O-16:0/16:1)_A	PC(O-16:0/16:1)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a2b243c5fe6ea125	NAME:PC(O-16:0/16:1)_B	PC(O-16:0/16:1)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:5e8f02d22e9e6f44	NAME:PC(O-16:0/18:1);PC(P-18:0/16:0)	PC(O-16:0/18:1);PC(P-18:0/16:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:dd2b9924e0ac972f	NAME:PC(O-16:0/18:2)	PC(O-16:0/18:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:6492701a7a81e03f	NAME:PC(O-16:0/20:4)	PC(O-16:0/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:461abc4dd6bfd3f4	KEGG:C04317	PC(O-18:0/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:06cab9b3ae97007a	NAME:PC(O-18:0/16:0)	PC(O-18:0/16:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:353bbe7635cd4715	NAME:PC(O-18:0/18:1)	PC(O-18:0/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d022da5d0febf26a	NAME:PC(O-18:1/0:0)	PC(O-18:1/0:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:ca2309b95392b0e0	HMDB:HMDB13432	PC(O-18:1/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:e4898dd6fa827c89	HMDB:HMDB11207	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9d739907a10579c8	HMDB:HMDB11209	PC(P-16:0/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:0a5810e9680acba1	HMDB:HMDB11220	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:4ed6f5cc776b2fab	HMDB:HMDB11253	PC(P-18:0/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:968f19d3eacc80c0	NAME:PC(P-18:0/22:6)_A	PC(P-18:0/22:6)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:60ffd7cf01750fd4	HMDB:HMDB11275	PC(P-18:1/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:75c800ef865aa4d8	NAME:SM(d17:1/16:0)	SM(d17:1/16:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:8e738968ebd330c3	NAME:SM(d17:1/24:1);SM(d18:1/23:1)	SM(d17:1/24:1);SM(d18:1/23:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a48c6ba4a7173acb	HMDB:HMDB12087	sphingomyelin (d18:0/18:0, d19:0/17:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:02dded84452eceb3	KEGG:C00550	SM(d18:0/20:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:84fc79fefe51e37c	KEGG:C00550	SM(d18:0/24:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:cf702e40e728c6e2	NAME:SM(d18:1/16:0)_A	SM(d18:1/16:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:701fbd6db3a92f54	KEGG:C00550	stearoyl sphingomyelin (d18:1/18:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:13137e730a7dabd8	HMDB:HMDB12102	sphingomyelin (d18:1/20:0, d16:1/22:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:300a32bd25010199	HMDB:HMDB12103	behenoyl sphingomyelin (d18:1/22:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:ceca07c67d261485	NAME:SM(d18:1/22:1)	SM(d18:1/22:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:88f0f1442ba231d9	HMDB:HMDB12105	tricosanoyl sphingomyelin (d18:1/23:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:684bb2a9eedbbf20	HMDB:HMDB11697	SM(d18:1/24:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:7cd48c5cbd8542a8	HMDB:HMDB12107	sphingomyelin (d18:1/24:1, d18:2/24:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:3b4c63529054a671	NAME:SM(d18:1/25:0)	SM(d18:1/25:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:daad4594d1113a56	NAME:SM(d18:1/25:1)	SM(d18:1/25:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:5b1efc88a9b1fff6	KEGG:C00550	SM(d18:1/26:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:7a56b7726e63728a	KEGG:C00550	SM(d18:1/26:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a46a945f71808602	NAME:SM(d18:2/16:0)_A	SM(d18:2/16:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:e1234fdeb9e281dd	NAME:SM(d18:2/18:0)_A	SM(d18:2/18:0)_A	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a083afddd286af81	NAME:SM(d18:2/18:0)_B	SM(d18:2/18:0)_B	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2db04272f79053cb	NAME:SM(d18:2/22:0)	SM(d18:2/22:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:829db5eadbadcc57	NAME:SM(d18:2/23:0)	SM(d18:2/23:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:e0d3ae9a5b4438fb	NAME:SM(d42:0)	SM(d42:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a6890104111333bf	NAME:SM(d43:3);SM(d18:2/25:1)	SM(d43:3);SM(d18:2/25:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:8e0a390762327aea	NAME:TG(10:0/16:0/20:4)	TG(10:0/16:0/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:076bfe9a0130f83f	NAME:TG(12:0/18:2/22:6)	TG(12:0/18:2/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:dcabf492a7b2cacb	HMDB:HMDB42123	TG(14:0/16:0/16:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:97040615827bc135	HMDB:HMDB42140	TG(14:0/16:0/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b32f384c604b279e	NAME:TG(14:0/18:1/18:1);TG(16:0/16:1/18:1)	TG(14:0/18:1/18:1);TG(16:0/16:1/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:75e483c49448061c	NAME:TG(14:0/20:4/20:4);TG(14:0/18:2/22:6)	TG(14:0/20:4/20:4);TG(14:0/18:2/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:99992c07f51dbfb7	HMDB:HMDB42659	TG(14:0/20:4/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:3a23510ff25deb6b	HMDB:HMDB05356	TG(16:0/16:0/16:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:69208002aaa2a81e	HMDB:HMDB0104223	TG(16:0/16:0/17:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:eabb1b0f83ab50cb	KEGG:C00422	TG(16:0/16:0/18:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a7940ed46dc0cb77	KEGG:C00422	TG(16:0/16:0/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:e4541ea5bb7f9dc0	KEGG:C00422	TG(16:0/18:0/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:77dba9ffef950086	NAME:TG(16:0/18:0/18:2);TG(16:0/18:1/18:1)	TG(16:0/18:0/18:2);TG(16:0/18:1/18:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:997a87d97602ca7d	KEGG:C00422	TG(16:0/18:0/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9864a8deeda13a96	HMDB:HMDB43939	TG(16:0/18:0/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d7214a5eaf526026	KEGG:C00422	TG(16:0/18:1/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:3002baa6ea5dbc45	HMDB:HMDB44100	TG(16:0/18:1/22:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a445e5265202b096	NAME:TG(16:0/18:1/22:5);TG(18:1/18:1/20:4)	TG(16:0/18:1/22:5);TG(18:1/18:1/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:f9d8034f17477793	NAME:TG(16:0/18:1/23:0)	TG(16:0/18:1/23:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:21bdb2131ff980d9	NAME:TG(16:0/18:1/23:1)	TG(16:0/18:1/23:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:10a377657644e339	KEGG:C00422	TG(16:0/18:2/18:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:34185e60ec6dd92b	NAME:TG(16:0/18:2/20:4);TG(16:1/18:1/20:4)	TG(16:0/18:2/20:4);TG(16:1/18:1/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2bca403d0e61f5d4	NAME:TG(16:0/20:1/22:6);TG(18:0/18:1/22:6)	TG(16:0/20:1/22:6);TG(18:0/18:1/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:6af61c6a749d6c53	HMDB:HMDB44387	TG(16:0/20:4/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:ac5ffdadec94c040	HMDB:HMDB44639	TG(16:0/22:6/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:5e91d023b9f82d51	NAME:TG(16:1/18:1/18:1);TG(16:0/18:1/18:2)	TG(16:1/18:1/18:1);TG(16:0/18:1/18:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:8e189519f9a4c4e2	KEGG:C00422	TG(16:1/18:2/18:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2c131d6921f735b2	KEGG:C00422	TG(16:1/18:2/20:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:329d6f4ce669db95	HMDB:HMDB49005	TG(16:1/20:5/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:73b7be1d59bf495c	NAME:TG(17:1/18:1/18:2)	TG(17:1/18:1/18:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b566924dc9112a4f	NAME:TG(18:0/18:1/18:1);TG(16:0/18:1/20:1)	TG(18:0/18:1/18:1);TG(16:0/18:1/20:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:39d445e86c1a6670	HMDB:HMDB44929	TG(18:0/18:1/22:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b8fff74c3386c871	NAME:TG(18:0/18:1/22:5);TG(18:0/18:0/22:6)	TG(18:0/18:1/22:5);TG(18:0/18:0/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:39e43760de797760	HMDB:HMDB45199	TG(18:0/20:4/22:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:bafbd3cf2d0a2167	HMDB:HMDB45260	TG(18:0/22:4/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:51c2f9641fee203b	HMDB:HMDB10467	TG(18:1/18:1/22:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:6d7f3e7557547efa	NAME:TG(18:1/18:1/26:1)	TG(18:1/18:1/26:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a4f4e7b045e13723	KEGG:C00422	TG(18:1/18:2/18:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:c13c334f06ba3734	HMDB:HMDB49392	TG(18:1/18:2/24:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2708a88c3382611a	NAME:TG(18:1/19:1/22:2)	TG(18:1/19:1/22:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:4d98f0b879d4f541	NAME:TG(18:1/28:2/23:0)	TG(18:1/28:2/23:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2902ca204d5f7017	KEGG:C00422	TG(18:2/18:2/18:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:25eabce2cf5151d4	HMDB:HMDB10489	TG(18:2/18:2/18:3)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:2668ae2e94a518e7	NAME:TG(18:2/18:2/20:4);TG(16:0/18:2/22:6)	TG(18:2/18:2/20:4);TG(16:0/18:2/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:bc06f806764034d7	NAME:TG(18:2/20:4/20:4);TG(18:2/18:2/22:6)	TG(18:2/20:4/20:4);TG(18:2/18:2/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b3b7dd24d22f4df6	HMDB:HMDB52687	TG(18:2/20:4/22:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d8c723b4315626bc	HMDB:HMDB54307	TG(20:4/20:5/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:62f1256d0119d01d	HMDB:HMDB54263	TG(20:4/22:5/22:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:0b0674e719961643	HMDB:HMDB43834	TG(44:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:a85428d5aa543a68	HMDB:HMDB47746	TG(46:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:bfce28cb1a22ec82	HMDB:HMDB48391	TG(46:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:52678c670dd3a2ff	HMDB:HMDB48434	TG(48:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:8e3eae95623bf636	HMDB:HMDB48588	TG(48:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d703004ae5953cfb	HMDB:HMDB48574	TG(48:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:b39d9a724d8600e7	HMDB:HMDB48456	TG(49:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9b955df959ff7ac4	HMDB:HMDB48437	TG(49:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:48a456b0306eba68	HMDB:HMDB55154	TG(50:3)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:cefafaf9c28a57a6	HMDB:HMDB49740	TG(51:1)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:d98ced6377f67d4f	HMDB:HMDB52425	TG(51:2)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:5e1587e438465d87	HMDB:HMDB55161	TG(51:3)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:9dbe31227b76886d	HMDB:HMDB0110765	TG(52:0)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:f3af8b135cace636	HMDB:HMDB55540	TG(52:4)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:8a68764195e39275	HMDB:HMDB55688	TG(52:5)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:172f7ee76ab9643a	HMDB:HMDB55716	TG(52:6)	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
