metric	n	n_reference	rank_biserial	p_value	log10_p	status
LYPLA1	24489	4355	0.2384455187101273	1.4018546641820183e-151	-150.85329700906235	PASS
KEGG92_score	24489	4355	0.018499610804898037	0.05137223212299743	-1.2892715637745882	PASS
