cohort	annotation_origin	Malignant_epithelial	Nonmalignant_epithelial
Wu2021	Wu2021_author_celltype_major_via_CELLxGENE	24489	4355
Pal2021_reprocessed	Chen2026_reannotation_of_Pal2021_counts_not_original_Pal_labels	130078	0
