cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	metric	mean_malignant	mean_nonmalignant	median_malignant	median_nonmalignant	mean_difference	detection_malignant	detection_nonmalignant	mean_CP10k_ratio	p_underflow
BRCA	Wu2021	06_EXTERNAL	20260925T140924Z_cellcomparison_v1	cellcomparison_v1	pooled_cell_group_comparison	NA	NA	LYPLA1	cell	24489	4355	rank_biserial_malignant_minus_nonmalignant	0.2384455187101273	NA	NA	1.4018546641820183e-151	2.8037093283640367e-151	two_metrics_Wu_pooled_cells	2	DONE	CELL_LEVEL_EXPLORATORY_NO_DONOR_ADJUSTMENT	GSE176078_CELLxGENE_22a27631	LYPLA1	0.6645756959915161	0.3776210844516754	0.6225875616073608	0.0	0.2869546115398407	0.5898158356813263	0.4176808266360505	2.0972492694854736	False
BRCA	Wu2021	06_EXTERNAL	20260925T140924Z_cellcomparison_v1	cellcomparison_v1	pooled_cell_group_comparison	NA	NA	NA	cell	24489	4355	rank_biserial_malignant_minus_nonmalignant	0.018499610804898	NA	NA	0.0513722321229974	0.0513722321229974	two_metrics_Wu_pooled_cells	2	DONE	CELL_LEVEL_EXPLORATORY_NO_DONOR_ADJUSTMENT	GSE176078_CELLxGENE_22a27631	KEGG92_score	0.0002581828448455	-0.0014508585445582	0.0032348572276532	-0.0045886556617915	0.0017090414185076	NA	NA	NA	False
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260925T140924Z_cellcomparison_v1	cellcomparison_v1	pooled_cell_group_comparison	NA	NA	LYPLA1	cell	130078	0	rank_biserial_malignant_minus_nonmalignant	NA	NA	NA	NA	NA	two_metrics_Wu_pooled_cells	2	NOT_EVALUABLE	No annotated nonmalignant epithelial reference in current Pal reprocessed source	GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	LYPLA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRCA	Pal2021_reprocessed	06_EXTERNAL	20260925T140924Z_cellcomparison_v1	cellcomparison_v1	pooled_cell_group_comparison	NA	NA	NA	cell	130078	0	rank_biserial_malignant_minus_nonmalignant	NA	NA	NA	NA	NA	two_metrics_Wu_pooled_cells	2	NOT_EVALUABLE	No annotated nonmalignant epithelial reference in current Pal reprocessed source	GSE161529_reprocessed_Chen2026_CELLxGENE_0fbf6fa3	KEGG92_score	NA	NA	NA	NA	NA	NA	NA	NA	NA
