cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	current_pool	history_only	n_pairs_total	expression_scale	n_up	n_down	n_equal	mean_delta	median_delta	up_fraction	seed	p_method	ci_method	bootstrap_mean_lower	bootstrap_mean_upper	family_n_planned	evidence_label
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	RNA_PAIRED_CURRENT	NA	NA	AADAT	author_patient	17	17	mean_paired_difference_log2_1plus_TPM	-0.3816478632494011	-0.5715564785049321	-0.19173924799387015	0.0005982601398825051	0.0010635735820133424	RNA_PAIRED_CURRENT	144.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	HGNC:17929	True	False	17	patient_mean_log2_1plus_author_TPM	2	15	0	-0.3816478632494011	-0.5072644861307949	0.11764705882352941	860428035	paired_t_on_patient_means	t_df_nminus1_pointwise	-0.5383736336029691	-0.20582833229105033	144.0	FDR_SUPPORTED
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	RNA_PAIRED_CURRENT	NA	NA	ABHD12	author_patient	17	17	mean_paired_difference_log2_1plus_TPM	0.21977665409438168	0.029757149086431872	0.40979615910233147	0.026074270850791458	0.034446743142330004	RNA_PAIRED_CURRENT	144.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ENSG00000100997	True	False	17	patient_mean_log2_1plus_author_TPM	11	6	0	0.21977665409438168	0.1606746979122171	0.6470588235294118	2148478967	paired_t_on_patient_means	t_df_nminus1_pointwise	0.055849596031929065	0.4005332300119414	144.0	FDR_SUPPORTED
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	RNA_PAIRED_CURRENT	NA	NA	ABHD6	author_patient	17	17	mean_paired_difference_log2_1plus_TPM	-0.4650334937183685	-0.9253843347034121	-0.00468265273332491	0.04797302910708763	0.0600705755775706	RNA_PAIRED_CURRENT	144.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ENSG00000163686	True	False	17	patient_mean_log2_1plus_author_TPM	5	12	0	-0.4650334937183685	-0.40519837942321946	0.29411764705882354	3353944801	paired_t_on_patient_means	t_df_nminus1_pointwise	-0.8759451453837138	-0.06533133017533257	144.0	NOMINAL_EXPLORATORY
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	RNA_PAIRED_CURRENT	NA	NA	ACSL1	author_patient	17	17	mean_paired_difference_log2_1plus_TPM	-0.42878267413261334	-0.776874973515159	-0.08069037475006768	0.018901160455086007	0.02543707575263911	RNA_PAIRED_CURRENT	144.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ENSG00000151726	True	False	17	patient_mean_log2_1plus_author_TPM	5	12	0	-0.42878267413261334	-0.17229692384459394	0.29411764705882354	3535588493	paired_t_on_patient_means	t_df_nminus1_pointwise	-0.7448995209714123	-0.1203984376346218	144.0	FDR_SUPPORTED
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	RNA_PAIRED_CURRENT	NA	NA	ACSL3	author_patient	17	17	mean_paired_difference_log2_1plus_TPM	-0.40289454962408594	-0.534781805583937	-0.2710072936642349	7.650793973986568e-06	2.503896209668331e-05	RNA_PAIRED_CURRENT	144.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ENSG00000123983	True	False	17	patient_mean_log2_1plus_author_TPM	1	16	0	-0.40289454962408594	-0.3306995114515505	0.058823529411764705	1466976935	paired_t_on_patient_means	t_df_nminus1_pointwise	-0.5245152290966791	-0.2879781405734951	144.0	FDR_SUPPORTED
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	RNA_PAIRED_CURRENT	NA	NA	ACSL4	author_patient	17	17	mean_paired_difference_log2_1plus_TPM	-0.9112233112195118	-1.1258367592291467	-0.6966098632098768	1.1636097047182846e-07	7.616354430883316e-07	RNA_PAIRED_CURRENT	144.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ENSG00000068366	True	False	17	patient_mean_log2_1plus_author_TPM	0	17	0	-0.9112233112195118	-0.8033526744117321	0.0	16487152	paired_t_on_patient_means	t_df_nminus1_pointwise	-1.105463124720938	-0.7141052445518348	144.0	FDR_SUPPORTED
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	RNA_PAIRED_CURRENT	NA	NA	ACSL5	author_patient	17	17	mean_paired_difference_log2_1plus_TPM	0.4928167481018427	0.251326085997163	0.7343074102065225	0.000521467631542144	0.0009505232777477054	RNA_PAIRED_CURRENT	144.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ENSG00000197142	True	False	17	patient_mean_log2_1plus_author_TPM	14	3	0	0.4928167481018427	0.572893052518765	0.8235294117647058	1743100522	paired_t_on_patient_means	t_df_nminus1_pointwise	0.2658856871172725	0.7022272395959087	144.0	FDR_SUPPORTED
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	RNA_PAIRED_CURRENT	NA	NA	ACSL6	author_patient	17	17	mean_paired_difference_log2_1plus_TPM	-0.9923250717098268	-1.4320684179765637	-0.5525817254430899	0.00020293068845796727	0.00040586137691593454	RNA_PAIRED_CURRENT	144.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ENSG00000164398	True	False	17	patient_mean_log2_1plus_author_TPM	3	14	0	-0.9923250717098268	-1.1895067096618002	0.17647058823529413	3009029730	paired_t_on_patient_means	t_df_nminus1_pointwise	-1.363932424694442	-0.5856095799294756	144.0	FDR_SUPPORTED
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	RNA_PAIRED_CURRENT	NA	NA	ACSM1	author_patient	17	17	mean_paired_difference_log2_1plus_TPM	-1.0651955033817126	-1.4032627202344927	-0.7271282865289326	5.292238612317297e-06	1.85873746383827e-05	RNA_PAIRED_CURRENT	144.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ENSG00000166743	True	False	17	patient_mean_log2_1plus_author_TPM	1	16	0	-1.0651955033817126	-1.1342711208307161	0.058823529411764705	1464129137	paired_t_on_patient_means	t_df_nminus1_pointwise	-1.356894363034208	-0.7576547333128145	144.0	FDR_SUPPORTED
ccRCC	ccRCC3	03_PATIENT	20260925T151000Z_ccrcc3_v1	ccrcc3_patient_v1	RNA_PAIRED_CURRENT	NA	NA	ADA	author_patient	17	17	mean_paired_difference_log2_1plus_TPM	1.0143750761291714	0.642333794785334	1.3864163574730088	2.816613068203865e-05	7.115654067041344e-05	RNA_PAIRED_CURRENT	144.0	DONE	NA	CAMP_ccRCC3_SUBJECT_ID	ENSG00000196839	True	False	17	patient_mean_log2_1plus_author_TPM	16	1	0	1.0143750761291714	0.9928202939020374	0.9411764705882353	1406533907	paired_t_on_patient_means	t_df_nminus1_pointwise	0.6788652441555505	1.3657115000532158	144.0	FDR_SUPPORTED
