cohort	gene	n_feature_matches	status	reason
Pal2021_reprocessed	AASS	1	DONE	
Pal2021_reprocessed	ACLY	1	DONE	
Pal2021_reprocessed	ADA	1	DONE	
Pal2021_reprocessed	ADA2	1	DONE	
Pal2021_reprocessed	AFMID	1	DONE	
Pal2021_reprocessed	AHCY	1	DONE	
Pal2021_reprocessed	AMDHD2	1	DONE	
Pal2021_reprocessed	AOX1	1	DONE	
Pal2021_reprocessed	ARG1	1	DONE	
Pal2021_reprocessed	ARG2	1	DONE	
Pal2021_reprocessed	ASNS	1	DONE	
Pal2021_reprocessed	ASS1	1	DONE	
Pal2021_reprocessed	BBOX1	1	DONE	
Pal2021_reprocessed	BCAT1	1	DONE	
Pal2021_reprocessed	BCAT2	1	DONE	
Pal2021_reprocessed	CDO1	1	DONE	
Pal2021_reprocessed	CEPT1	1	DONE	
Pal2021_reprocessed	CHKA	1	DONE	
Pal2021_reprocessed	CHKB	1	DONE	
Pal2021_reprocessed	CHPT1	1	DONE	
Pal2021_reprocessed	CKB	1	DONE	
Pal2021_reprocessed	CKM	1	DONE	
Pal2021_reprocessed	CMAS	1	DONE	
Pal2021_reprocessed	CMPK1	1	DONE	
Pal2021_reprocessed	CMPK2	1	DONE	
Pal2021_reprocessed	CPT1A	1	DONE	
Pal2021_reprocessed	CPT1B	1	DONE	
Pal2021_reprocessed	CPT2	1	DONE	
Pal2021_reprocessed	CRAT	1	DONE	
Pal2021_reprocessed	CROT	1	DONE	
Pal2021_reprocessed	CS	1	DONE	
Pal2021_reprocessed	CTNS	1	DONE	
Pal2021_reprocessed	DPYD	1	DONE	
Pal2021_reprocessed	DPYS	1	DONE	
Pal2021_reprocessed	ETNK1	1	DONE	
Pal2021_reprocessed	ETNK2	1	DONE	
Pal2021_reprocessed	FDFT1	1	DONE	
Pal2021_reprocessed	FH	1	DONE	
Pal2021_reprocessed	FOLH1	1	DONE	
Pal2021_reprocessed	GAMT	1	DONE	
Pal2021_reprocessed	GCLC	1	DONE	
Pal2021_reprocessed	GDA	1	DONE	
Pal2021_reprocessed	GDPD5	1	DONE	
Pal2021_reprocessed	GLS	1	DONE	
Pal2021_reprocessed	GLS2	1	DONE	
Pal2021_reprocessed	GLUL	1	DONE	
Pal2021_reprocessed	GNPNAT1	1	DONE	
Pal2021_reprocessed	GOT1	1	DONE	
Pal2021_reprocessed	GOT2	1	DONE	
Pal2021_reprocessed	GPCPD1	1	DONE	
Pal2021_reprocessed	GPI	1	DONE	
Pal2021_reprocessed	GSR	1	DONE	
Pal2021_reprocessed	GSS	1	DONE	
Pal2021_reprocessed	HAL	1	DONE	
Pal2021_reprocessed	HPD	1	DONE	
Pal2021_reprocessed	HPRT1	1	DONE	
Pal2021_reprocessed	IDNK	1	DONE	
Pal2021_reprocessed	IMPA1	1	DONE	
Pal2021_reprocessed	IMPA2	1	DONE	
Pal2021_reprocessed	KHK	1	DONE	
Pal2021_reprocessed	KMO	1	DONE	
Pal2021_reprocessed	KYNU	1	DONE	
Pal2021_reprocessed	LDHA	1	DONE	
Pal2021_reprocessed	LDHB	1	DONE	
Pal2021_reprocessed	MAT1A	1	DONE	
Pal2021_reprocessed	MAT2A	1	DONE	
Pal2021_reprocessed	MDH1	1	DONE	
Pal2021_reprocessed	MDH2	1	DONE	
Pal2021_reprocessed	MGAM	1	DONE	
Pal2021_reprocessed	MPI	1	DONE	
Pal2021_reprocessed	NAGK	1	DONE	
Pal2021_reprocessed	NAMPT	1	DONE	
Pal2021_reprocessed	NNMT	1	DONE	
Pal2021_reprocessed	NPL	1	DONE	
Pal2021_reprocessed	OAT	1	DONE	
Pal2021_reprocessed	ODC1	1	DONE	
Pal2021_reprocessed	OTC	1	DONE	
Pal2021_reprocessed	PAH	1	DONE	
Pal2021_reprocessed	PANK1	1	DONE	
Pal2021_reprocessed	PANK2	1	DONE	
Pal2021_reprocessed	PANK3	1	DONE	
Pal2021_reprocessed	PCYT1A	1	DONE	
Pal2021_reprocessed	PCYT1B	1	DONE	
Pal2021_reprocessed	PCYT2	1	DONE	
Pal2021_reprocessed	PEPD	1	DONE	
Pal2021_reprocessed	PFKL	1	DONE	
Pal2021_reprocessed	PFKM	1	DONE	
Pal2021_reprocessed	PFKP	1	DONE	
Pal2021_reprocessed	PGD	1	DONE	
Pal2021_reprocessed	PGM3	1	DONE	
Pal2021_reprocessed	PMM1	1	DONE	
Pal2021_reprocessed	PMM2	1	DONE	
Pal2021_reprocessed	PNP	1	DONE	
Pal2021_reprocessed	PPA1	1	DONE	
Pal2021_reprocessed	PPA2	1	DONE	
Pal2021_reprocessed	PRODH	1	DONE	
Pal2021_reprocessed	PRODH2	1	DONE	
Pal2021_reprocessed	PYCR1	1	DONE	
Pal2021_reprocessed	PYCR2	1	DONE	
Pal2021_reprocessed	PYCR3	1	DONE	
Pal2021_reprocessed	RBKS	1	DONE	
Pal2021_reprocessed	RFK	1	DONE	
Pal2021_reprocessed	SHMT1	1	DONE	
Pal2021_reprocessed	SHMT2	1	DONE	
Pal2021_reprocessed	SLC6A6	1	DONE	
Pal2021_reprocessed	SLC6A8	1	DONE	
Pal2021_reprocessed	SLC7A11	1	DONE	
