cohort	gene	n_feature_matches	status	reason
Wu2021	AASS	1	DONE	
Wu2021	ACLY	1	DONE	
Wu2021	ADA	1	DONE	
Wu2021	ADA2	1	DONE	
Wu2021	AFMID	1	DONE	
Wu2021	AHCY	1	DONE	
Wu2021	AMDHD2	1	DONE	
Wu2021	AOX1	1	DONE	
Wu2021	ARG1	1	DONE	
Wu2021	ARG2	1	DONE	
Wu2021	ASNS	1	DONE	
Wu2021	ASS1	1	DONE	
Wu2021	BBOX1	1	DONE	
Wu2021	BCAT1	1	DONE	
Wu2021	BCAT2	1	DONE	
Wu2021	CDO1	1	DONE	
Wu2021	CEPT1	1	DONE	
Wu2021	CHKA	1	DONE	
Wu2021	CHKB	1	DONE	
Wu2021	CHPT1	1	DONE	
Wu2021	CKB	1	DONE	
Wu2021	CKM	1	DONE	
Wu2021	CMAS	1	DONE	
Wu2021	CMPK1	1	DONE	
Wu2021	CMPK2	1	DONE	
Wu2021	CPT1A	1	DONE	
Wu2021	CPT1B	1	DONE	
Wu2021	CPT2	1	DONE	
Wu2021	CRAT	1	DONE	
Wu2021	CROT	1	DONE	
Wu2021	CS	1	DONE	
Wu2021	CTNS	1	DONE	
Wu2021	DPYD	1	DONE	
Wu2021	DPYS	1	DONE	
Wu2021	ETNK1	1	DONE	
Wu2021	ETNK2	1	DONE	
Wu2021	FDFT1	1	DONE	
Wu2021	FH	1	DONE	
Wu2021	FOLH1	1	DONE	
Wu2021	GAMT	1	DONE	
Wu2021	GCLC	1	DONE	
Wu2021	GDA	1	DONE	
Wu2021	GDPD5	1	DONE	
Wu2021	GLS	1	DONE	
Wu2021	GLS2	1	DONE	
Wu2021	GLUL	1	DONE	
Wu2021	GNPNAT1	1	DONE	
Wu2021	GOT1	1	DONE	
Wu2021	GOT2	1	DONE	
Wu2021	GPCPD1	1	DONE	
Wu2021	GPI	1	DONE	
Wu2021	GSR	1	DONE	
Wu2021	GSS	1	DONE	
Wu2021	HAL	1	DONE	
Wu2021	HPD	1	DONE	
Wu2021	HPRT1	1	DONE	
Wu2021	IDNK	1	DONE	
Wu2021	IMPA1	1	DONE	
Wu2021	IMPA2	1	DONE	
Wu2021	KHK	1	DONE	
Wu2021	KMO	1	DONE	
Wu2021	KYNU	1	DONE	
Wu2021	LDHA	1	DONE	
Wu2021	LDHB	1	DONE	
Wu2021	MAT1A	1	DONE	
Wu2021	MAT2A	1	DONE	
Wu2021	MDH1	1	DONE	
Wu2021	MDH2	1	DONE	
Wu2021	MGAM	1	DONE	
Wu2021	MPI	1	DONE	
Wu2021	NAGK	1	DONE	
Wu2021	NAMPT	1	DONE	
Wu2021	NNMT	1	DONE	
Wu2021	NPL	1	DONE	
Wu2021	OAT	1	DONE	
Wu2021	ODC1	1	DONE	
Wu2021	OTC	1	DONE	
Wu2021	PAH	1	DONE	
Wu2021	PANK1	1	DONE	
Wu2021	PANK2	1	DONE	
Wu2021	PANK3	1	DONE	
Wu2021	PCYT1A	1	DONE	
Wu2021	PCYT1B	1	DONE	
Wu2021	PCYT2	1	DONE	
Wu2021	PEPD	1	DONE	
Wu2021	PFKL	1	DONE	
Wu2021	PFKM	1	DONE	
Wu2021	PFKP	1	DONE	
Wu2021	PGD	1	DONE	
Wu2021	PGM3	1	DONE	
Wu2021	PMM1	1	DONE	
Wu2021	PMM2	1	DONE	
Wu2021	PNP	1	DONE	
Wu2021	PPA1	1	DONE	
Wu2021	PPA2	1	DONE	
Wu2021	PRODH	1	DONE	
Wu2021	PRODH2	1	DONE	
Wu2021	PYCR1	1	DONE	
Wu2021	PYCR2	1	DONE	
Wu2021	PYCR3	1	DONE	
Wu2021	RBKS	1	DONE	
Wu2021	RFK	1	DONE	
Wu2021	SHMT1	1	DONE	
Wu2021	SHMT2	1	DONE	
Wu2021	SLC6A6	1	DONE	
Wu2021	SLC6A8	1	DONE	
Wu2021	SLC7A11	1	DONE	
Wu2021	SOAT1	1	DONE	
Wu2021	SOAT2	1	DONE	
Wu2021	SORD	1	DONE	
Wu2021	SPHK1	1	DONE	
Wu2021	SPHK2	1	DONE	
Wu2021	SQLE	1	DONE	
Wu2021	TAT	1	DONE	
Wu2021	UPB1	1	DONE	
Wu2021	UPP1	1	DONE	
Wu2021	UPP2	1	DONE	
