cohort	gene	n_feature_matches	status	reason
Reed2024	AASS	1	DONE	
Reed2024	ACLY	1	DONE	
Reed2024	ADA	1	DONE	
Reed2024	ADA2	1	DONE	
Reed2024	AFMID	1	DONE	
Reed2024	AHCY	1	DONE	
Reed2024	AMDHD2	1	DONE	
Reed2024	AOX1	1	DONE	
Reed2024	ARG1	1	DONE	
Reed2024	ARG2	1	DONE	
Reed2024	ASNS	1	DONE	
Reed2024	ASS1	1	DONE	
Reed2024	BBOX1	1	DONE	
Reed2024	BCAT1	1	DONE	
Reed2024	BCAT2	1	DONE	
Reed2024	CDO1	1	DONE	
Reed2024	CEPT1	1	DONE	
Reed2024	CHKA	1	DONE	
Reed2024	CHKB	1	DONE	
Reed2024	CHPT1	1	DONE	
Reed2024	CKB	1	DONE	
Reed2024	CKM	1	DONE	
Reed2024	CMAS	1	DONE	
Reed2024	CMPK1	1	DONE	
Reed2024	CMPK2	1	DONE	
Reed2024	CPT1A	1	DONE	
Reed2024	CPT1B	1	DONE	
Reed2024	CPT2	1	DONE	
Reed2024	CRAT	1	DONE	
Reed2024	CROT	1	DONE	
Reed2024	CS	1	DONE	
Reed2024	CTNS	1	DONE	
Reed2024	DPYD	1	DONE	
Reed2024	DPYS	1	DONE	
Reed2024	ETNK1	1	DONE	
Reed2024	ETNK2	1	DONE	
Reed2024	FDFT1	1	DONE	
Reed2024	FH	1	DONE	
Reed2024	FOLH1	1	DONE	
Reed2024	GAMT	1	DONE	
Reed2024	GCLC	1	DONE	
Reed2024	GDA	1	DONE	
Reed2024	GDPD5	1	DONE	
Reed2024	GLS	1	DONE	
Reed2024	GLS2	1	DONE	
Reed2024	GLUL	1	DONE	
Reed2024	GNPNAT1	1	DONE	
Reed2024	GOT1	1	DONE	
Reed2024	GOT2	1	DONE	
Reed2024	GPCPD1	1	DONE	
Reed2024	GPI	1	DONE	
Reed2024	GSR	1	DONE	
Reed2024	GSS	1	DONE	
Reed2024	HAL	1	DONE	
Reed2024	HPD	1	DONE	
Reed2024	HPRT1	1	DONE	
Reed2024	IDNK	1	DONE	
Reed2024	IMPA1	1	DONE	
Reed2024	IMPA2	1	DONE	
Reed2024	KHK	1	DONE	
Reed2024	KMO	1	DONE	
Reed2024	KYNU	1	DONE	
Reed2024	LDHA	1	DONE	
Reed2024	LDHB	1	DONE	
Reed2024	MAT1A	1	DONE	
Reed2024	MAT2A	1	DONE	
Reed2024	MDH1	1	DONE	
Reed2024	MDH2	1	DONE	
Reed2024	MGAM	1	DONE	
Reed2024	MPI	1	DONE	
Reed2024	NAGK	1	DONE	
Reed2024	NAMPT	1	DONE	
Reed2024	NNMT	1	DONE	
Reed2024	NPL	1	DONE	
Reed2024	OAT	1	DONE	
Reed2024	ODC1	1	DONE	
Reed2024	OTC	1	DONE	
Reed2024	PAH	1	DONE	
Reed2024	PANK1	1	DONE	
Reed2024	PANK2	1	DONE	
Reed2024	PANK3	1	DONE	
Reed2024	PCYT1A	1	DONE	
Reed2024	PCYT1B	1	DONE	
Reed2024	PCYT2	1	DONE	
Reed2024	PEPD	1	DONE	
Reed2024	PFKL	1	DONE	
Reed2024	PFKM	1	DONE	
Reed2024	PFKP	1	DONE	
Reed2024	PGD	1	DONE	
Reed2024	PGM3	1	DONE	
Reed2024	PMM1	1	DONE	
Reed2024	PMM2	1	DONE	
Reed2024	PNP	1	DONE	
Reed2024	PPA1	1	DONE	
Reed2024	PPA2	1	DONE	
Reed2024	PRODH	1	DONE	
Reed2024	PRODH2	1	DONE	
Reed2024	PYCR1	1	DONE	
Reed2024	PYCR2	1	DONE	
Reed2024	PYCR3	1	DONE	
Reed2024	RBKS	1	DONE	
Reed2024	RFK	1	DONE	
Reed2024	SHMT1	1	DONE	
Reed2024	SHMT2	1	DONE	
Reed2024	SLC6A6	1	DONE	
Reed2024	SLC6A8	1	DONE	
Reed2024	SLC7A11	1	DONE	
Reed2024	SOAT1	1	DONE	
Reed2024	SOAT2	1	DONE	
Reed2024	SORD	1	DONE	
Reed2024	SPHK1	1	DONE	
Reed2024	SPHK2	1	DONE	
Reed2024	SQLE	1	DONE	
Reed2024	TAT	1	DONE	
Reed2024	UPB1	1	DONE	
Reed2024	UPP1	1	DONE	
Reed2024	UPP2	1	DONE	
