cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	rna_higher	rna_lower	rna_equal	metabolite_higher	metabolite_lower	metabolite_equal	historical_metabolite_p	historical_metabolite_q	mean_RNA_delta	mean_metabolite_delta	historical_RNA_main_p	historical_RNA_main_q	permutation_extreme	permutation_n	permutation_mc_se	bootstrap_valid	bootstrap_n	seed
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260925T091556Z_lypla1_paired_delta_v1	lypla1_paired_delta_v1	processed	KEGG:C04102	1-palmitoyl-GPC (16:0)	LYPLA1	audited_author_paired_case	45	45	Spearman_of_paired_RNA_and_metabolite_differences	0.3220026350461133	0.01853675628081393	0.5757142313993783	0.03122	0.12488	LYPLA1_delta_BH4	4	DONE	same_cohort_postselection;not_cell_intrinsic_or_causal	CAMP_GSE37751_author_case_pairing	34	11	0	36	9	0	1.0174435201622437e-05	6.603000804318235e-05	0.48169295308170174	2.4738664344382286	1.1941768946186584e-05	5.523068137611295e-05	3121	99999	0.000549957376530218	10000	10000	1532693712
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260925T091556Z_lypla1_paired_delta_v1	lypla1_paired_delta_v1	author_available	KEGG:C04102	1-palmitoyl-GPC (16:0)	LYPLA1	audited_author_paired_case	28	45	Spearman_of_paired_RNA_and_metabolite_differences	0.21729611384783798	-0.21840402944742576	0.5618731178505595	0.26469	0.52938	LYPLA1_delta_BH4	4	DONE	same_cohort_postselection;not_cell_intrinsic_or_causal	CAMP_GSE37751_author_case_pairing	19	9	0	21	7	0	0.005662198552398	0.0201322615196375	0.3284573914829764	1.4780706374950392	1.1941768946186584e-05	5.523068137611295e-05	26468	99999	0.001395095709619953	10000	10000	3082272081
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260925T091556Z_lypla1_paired_delta_v1	lypla1_paired_delta_v1	processed	KEGG:C00670	glycerophosphorylcholine (GPC)	LYPLA1	audited_author_paired_case	45	45	Spearman_of_paired_RNA_and_metabolite_differences	-0.012911725955204217	-0.2890753040654664	0.26735379635251205	0.93201	0.93201	LYPLA1_delta_BH4	4	DONE	same_cohort_postselection;not_cell_intrinsic_or_causal	CAMP_GSE37751_author_case_pairing	34	11	0	14	31	0	0.002139054014638	0.0054856385214103	0.48169295308170174	-0.7109714169790355	1.1941768946186584e-05	5.523068137611295e-05	93200	99999	0.0007960361794541752	10000	10000	1279261100
BRCA	CAMP_BRCA1_Terunuma	03_PATIENT	20260925T091556Z_lypla1_paired_delta_v1	lypla1_paired_delta_v1	author_available	KEGG:C00670	glycerophosphorylcholine (GPC)	LYPLA1	audited_author_paired_case	45	45	Spearman_of_paired_RNA_and_metabolite_differences	-0.012911725955204217	-0.2890753040654664	0.26735379635251205	0.93201	0.93201	LYPLA1_delta_BH4	4	DONE	same_cohort_postselection;not_cell_intrinsic_or_causal	CAMP_GSE37751_author_case_pairing	34	11	0	14	31	0	0.002139054014638	0.0092883588521883	0.48169295308170174	-0.7109714169790355	1.1941768946186584e-05	5.523068137611295e-05	93200	99999	0.0007960361794541752	10000	10000	1279261100
