cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	comparator	tumor_mean	normal_mean	tumor_detection	normal_detection	tumor_cells	normal_cells	n_up	n_down
ccRCC	GSE159115	06_EXTERNAL	20260926T010000Z_lypla1_epithelial_v1	ccrcc_lypla1_epithelial_v1	paired_epithelial_expression	NA	NA	LYPLA1	author_patient	4	4	Tumor-minus-normal mean log1p_CP10K	-0.09183366216961485	-0.3869772099427222	0.2033098856034925	0.375	0.375	LYPLA1_two_epithelial_contrasts	2	DONE	small_n_exploratory	GSE159115	Normal_PT	0.2033874808295109	0.2952211429991257	0.2521454273380838	0.3093171928076454	3520	1366	1	3
ccRCC	GSE159115	06_EXTERNAL	20260926T010000Z_lypla1_epithelial_v1	ccrcc_lypla1_epithelial_v1	paired_epithelial_expression	NA	NA	LYPLA1	author_patient	4	4	Tumor-minus-normal mean log1p_CP10K	-0.1767293007899366	-0.3322502315094864	-0.02120837007038681	0.125	0.25	LYPLA1_two_epithelial_contrasts	2	DONE	small_n_exploratory	GSE159115	Normal_tubular	0.2033874808295109	0.3801167816194475	0.2521454273380838	0.4146709272290191	3520	2787	0	4
