group	n_donors	n_cells	mean_expression	mean_detection	status
Normal_PT	5	2127	0.31546589818129717	0.2973880512237773	DONE
Normal_PT-A	3	1938	0.4031348849078829	0.28926088235783487	DONE
Normal_PT-B	3	125	0.291536913796338	0.3381818181818182	DONE
Normal_PT-C	1	26	0.31250795038733237	0.5	DESCRIPTIVE_LOW_N
Normal_tubular	5	3931	0.3901939812097583	0.3983451333916069	DONE
Tumor	7	9139	0.21347198316693777	0.2919143122018872	DONE
