cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	external_feature_id	n_bootstrap_valid	seed	CAMP_unadjusted_rho	CAMP_unadjusted_q	FUSCC_primary174_rho	FUSCC_primary174_q	interpretation
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	HMDB:HMDB00721	glycylproline	PEPD	author_case_identifier	20.0	NA	Spearman_rho	0.1189760385398211	-0.3431959439390707	0.5425112421108564	0.6168	0.9172203389830508	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	HMDB:HMDB00721|PEPD	314.0	2000.0	20260921.0	-0.1712585329993992	0.3768035294117647	NA	NA	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00009	phosphate	PPA1	author_case_identifier	20.0	NA	Spearman_rho	0.4932330827067669	-0.0174797106384064	0.8150457996297833	0.026	0.2675117647058824	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00009|PPA1	671.0	2000.0	20260922.0	0.3212057112638815	0.089775	NA	NA	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00009	phosphate	PPA2	author_case_identifier	20.0	NA	Spearman_rho	-0.431578947368421	-0.7266721731828066	0.0370945173866605	0.0591	0.417932	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00009|PPA2	671.0	2000.0	20260923.0	0.1848228450555261	0.334305	NA	NA	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00013	pyrophosphate (PPi)	PPA1	author_case_identifier	20.0	NA	Spearman_rho	0.2818017829928674	-0.1699536070515794	0.6793525557772192	0.2227	0.6329833333333333	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00013|PPA1	672.0	1999.0	20260924.0	-0.1399099559668608	0.4857795918367346	NA	NA	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00013	pyrophosphate (PPi)	PPA2	author_case_identifier	20.0	NA	Spearman_rho	-0.1492437074403015	-0.6507713582739052	0.4319429774135875	0.5231	0.8790237113402062	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00013|PPA2	672.0	1999.0	20260925.0	0.1426899780189345	0.48556875	NA	NA	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00021	S-adenosylhomocysteine (SAH)	AHCY	author_case_identifier	20.0	NA	Spearman_rho	0.2721804511278195	-0.1294021595826709	0.5830253348496335	0.2463	0.6564693548387096	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00021|AHCY	236.0	2000.0	20260926.0	0.0279424293457536	0.8987240506329114	0.0806299913568887	0.6032950819672132	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00021	S-adenosylhomocysteine (SAH)	NNMT	author_case_identifier	20.0	NA	Spearman_rho	-0.2706766917293233	-0.6351800149103026	0.2064047970146558	0.2497	0.6564693548387096	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00021|NNMT	236.0	2000.0	20260927.0	-0.1276460976931019	0.5264242990654207	-0.0941929943358185	0.4994170212765957	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	ASNS	author_case_identifier	20.0	NA	Spearman_rho	0.2330827067669172	-0.2862078907435508	0.6596502790806132	0.3242	0.73024	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00025|ASNS	39.0	2000.0	20260928.0	0.2327340031729243	0.212735593220339	-0.2358091250499177	0.0074571428571428	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	BCAT1	author_case_identifier	20.0	NA	Spearman_rho	0.0180451127819548	-0.4171857286150831	0.4824602110100354	0.9432	0.9818414012738852	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00025|BCAT1	39.0	2000.0	20260929.0	0.2941829719725012	0.12426	0.1213863138575834	0.3095090909090909	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	BCAT2	author_case_identifier	20.0	NA	Spearman_rho	-0.3338345864661654	-0.6929419769564484	0.1574184813918654	0.1575	0.5465702127659574	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00025|BCAT2	39.0	2000.0	20260930.0	0.3253305129561079	0.0800590909090909	-0.0771316839545959	0.6087238095238096	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	FOLH1	author_case_identifier	20.0	NA	Spearman_rho	0.5684210526315789	0.2191177481093447	0.7901220367755961	0.0105	0.17115	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00025|FOLH1	39.0	2000.0	20260931.0	0.2109994711792702	0.2592260869565218	-0.1883360020180217	0.0336399999999999	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
BRCA	Tang2014	06_EXTERNAL	20260921T072503Z_oslo_tang_external_v1	oslo_tang_external_v1	tumor_spearman_permutation	KEGG:C00025	glutamate	GCLC	author_case_identifier	20.0	NA	Spearman_rho	-0.356390977443609	-0.751896398654053	0.16717169920041	0.1239	0.5207849999999999	Tang2014_original174	163	DONE	author_TCGA_case_join;imputed_metabolomics;different_aliquot_possible;unadjusted	Tang2014	KEGG:C00025|GCLC	39.0	2000.0	20260932.0	0.1354838709677419	0.4955679611650485	0.0477543743311547	0.8606307692307693	different_cohorts_and_processed_versions;no_formal_effect_difference_test;Tang_only20_cases
