cancer	cohort	stable_gene_id	gene	source_feature_id	source_symbol	match_method	status	reason	source_id
PDAC	GSE263733	UniProtKB:Q8N5Z0	AADAT	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:Q8N5Z0	AADAT	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:Q8N5Z0	AADAT	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
PDAC	GSE263733	UniProtKB:Q9UDR5	AASS	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:Q9UDR5	AASS	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:Q9UDR5	AASS	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
PDAC	GSE263733	UniProtKB:P80404	ABAT	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:P80404	ABAT	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:P80404	ABAT	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
PDAC	GSE263733	UniProtKB:Q8NFV4	ABHD11	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:Q8NFV4	ABHD11	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:Q8NFV4	ABHD11	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
PDAC	GSE263733	UniProtKB:Q8N2K0	ABHD12	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:Q8N2K0	ABHD12	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:Q8N2K0	ABHD12	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
PDAC	GSE263733	UniProtKB:O95870	ABHD16A	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:O95870	ABHD16A	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:O95870	ABHD16A	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
PDAC	GSE263733	UniProtKB:Q9H3Z7	ABHD16B	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:Q9H3Z7	ABHD16B	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:Q9H3Z7	ABHD16B	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
PDAC	GSE263733	UniProtKB:P08910	ABHD2	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:P08910	ABHD2	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:P08910	ABHD2	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
PDAC	GSE263733	UniProtKB:Q9BV23	ABHD6	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:Q9BV23	ABHD6	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:Q9BV23	ABHD6	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
PDAC	GSE263733	UniProtKB:P42765	ACAA2	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:P42765	ACAA2	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:P42765	ACAA2	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
PDAC	GSE263733	UniProtKB:Q9BYF1	ACE2	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE263733
PDAC	GSE278688	UniProtKB:Q9BYF1	ACE2	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE278688
PDAC	GSE242230	UniProtKB:Q9BYF1	ACE2	NA	NA	NA	ACCESS_BLOCKED	New cellwise log1p10k source extraction not run;historical pseudobulk not substituted	GSE242230
