module_id	module	gene	cohort	source_status	reason	display_top	mechanical_top	top_n	top_detection	bootstrap
M01	氨基酸氮分配与谷氨酸分支	GOT2	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.26313019938138227	0.495
M01	氨基酸氮分配与谷氨酸分支	GOT2	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.1562445759136066	0.997
M01	氨基酸氮分配与谷氨酸分支	OAT	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.6293088039029497	0.988
M01	氨基酸氮分配与谷氨酸分支	OAT	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.37393952229495553	0.999
M01	氨基酸氮分配与谷氨酸分支	SLC7A11	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.045730349791350725	0.555
M01	氨基酸氮分配与谷氨酸分支	SLC7A11	Pal2021_reprocessed	DONE	NA	Endothelial	Endothelial	23	0.026823172580960983	0.938
M01	氨基酸氮分配与谷氨酸分支	TAT	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.04619901503519761	0.938
M01	氨基酸氮分配与谷氨酸分支	TAT	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.032195308653484855	0.991
M01	氨基酸氮分配与谷氨酸分支	ASS1	Wu2021	DONE	NA	Endothelial	Endothelial	24	0.27376529588008985	0.649
M01	氨基酸氮分配与谷氨酸分支	ASS1	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.1573033283696286	0.61
M01	氨基酸氮分配与谷氨酸分支	PEPD	Wu2021	DONE	NA	Myeloid	Myeloid	26	0.3122209279984801	0.933
M01	氨基酸氮分配与谷氨酸分支	PEPD	Pal2021_reprocessed	DONE	NA	Myeloid	Myeloid	30	0.15632231468112964	0.608
M01	氨基酸氮分配与谷氨酸分支	PRODH	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.0219370942659773	0.89
M01	氨基酸氮分配与谷氨酸分支	PRODH	Pal2021_reprocessed	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Malignant_epithelial	33	0.004061031693209193	NA
M01	氨基酸氮分配与谷氨酸分支	PYCR1	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.5434593493820177	1.0
M01	氨基酸氮分配与谷氨酸分支	PYCR1	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.2760125648536717	1.0
M01	氨基酸氮分配与谷氨酸分支	PYCR2	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.1934833720386784	0.78
M01	氨基酸氮分配与谷氨酸分支	PYCR2	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.16861382374804612	0.995
M01	氨基酸氮分配与谷氨酸分支	PYCR3	Wu2021	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.17392507838055832	1.0
M01	氨基酸氮分配与谷氨酸分支	PYCR3	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.08200779936224989	1.0
M01	氨基酸氮分配与谷氨酸分支	ARG1	Wu2021	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	T_NK_cells	26	0.000616526144050964	NA
M01	氨基酸氮分配与谷氨酸分支	ARG1	Pal2021_reprocessed	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Fibroblasts	30	0.00011051811605828228	NA
M01	氨基酸氮分配与谷氨酸分支	ARG2	Wu2021	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.15689804878268826	0.993
M01	氨基酸氮分配与谷氨酸分支	ARG2	Pal2021_reprocessed	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.034646157978638105	0.574
M01	氨基酸氮分配与谷氨酸分支	ODC1	Wu2021	DONE	NA	B_cells	B_cells	20	0.23909605048100052	0.823
M01	氨基酸氮分配与谷氨酸分支	ODC1	Pal2021_reprocessed	DONE	NA	B_cells	B_cells	14	0.13581776388600084	0.985
