module_id	module	metabolite_name	cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	pairs_higher	pairs_lower	pairs_equal	higher_fraction	lower_fraction	n_both_author_available	n_pairs_with_at_least_one_author_missing	old_hedges_g	old_p	old_q	old_n_tumor	old_n_normal	old_design	median_paired_difference	w_positive	w_negative	paired_rank_biserial	seed	nonzero_pairs	normal_approximation_warning	same_mean_direction_as_old_g	pairs_in_old_direction	fraction_in_old_direction
M01	氨基酸氮分配与谷氨酸分支	arginine	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00062	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.4783187985423576	-0.754725239449559	-0.18953497636244987	0.004448634876398953	0.009962435849963853	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	12	33	0	0.26666666666666666	0.7333333333333333	45	0	-0.688564831222648	0.0003103491435448	0.0008843577364728	61	47	Unpaired; author supplied processed values; no new transformation	-0.3685831721290995	265.0	770.0	-0.48792270531400966	947179491.0	45	False	True	33	0.7333333333333333
M01	氨基酸氮分配与谷氨酸分支	arginine	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C00062	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.4783187985423576	-0.7628815856941488	-0.19237226278111136	0.004448634876398953	0.016944366043318962	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	12	33	0	0.26666666666666666	0.7333333333333333	45	0	-0.688564831222648	0.0003103491435448	0.0008843577364728	61	47	Unpaired; author supplied processed values; no new transformation	-0.3685831721290995	265.0	770.0	-0.48792270531400966	1580563112.0	45	False	True	33	0.7333333333333333
M01	氨基酸氮分配与谷氨酸分支	ornithine	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00077	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.2927762521334512	-0.6090297298732391	0.013010566248528381	0.04952614989461459	0.082891135086776	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	15	30	0	0.3333333333333333	0.6666666666666666	45	0	-0.430648438682791	0.0078511945745396	0.0158005290812611	61	47	Unpaired; author supplied processed values; no new transformation	-0.3760540584286005	343.0	692.0	-0.33719806763285026	428782214.0	45	False	True	30	0.6666666666666666
M01	氨基酸氮分配与谷氨酸分支	ornithine	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C00077	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.2927762521334512	-0.5985626758344812	0.031870863219643	0.04952614989461459	0.0963752106057365	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	15	30	0	0.3333333333333333	0.6666666666666666	45	0	-0.430648438682791	0.0078511945745396	0.0158005290812611	61	47	Unpaired; author supplied processed values; no new transformation	-0.3760540584286005	343.0	692.0	-0.33719806763285026	3952138389.0	45	False	True	30	0.6666666666666666
M01	氨基酸氮分配与谷氨酸分支	citrulline	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00327	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.8225009890157466	-1.0856814117238704	-0.5385712259509774	9.656733313429757e-06	6.397585820147214e-05	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	8	37	0	0.17777777777777778	0.8222222222222222	45	0	-0.902649010014025	1.48080948607663e-05	6.35760872688901e-05	61	47	Unpaired; author supplied processed values; no new transformation	-0.8783954268620029	125.0	910.0	-0.7584541062801933	5300878.0	45	False	True	37	0.8222222222222222
M01	氨基酸氮分配与谷氨酸分支	citrulline	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C00327	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.8225009890157466	-1.1005803825646012	-0.5309393666137902	9.656733313429757e-06	0.00011588079976115709	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	8	37	0	0.17777777777777778	0.8222222222222222	45	0	-0.902649010014025	1.48080948607663e-05	6.35760872688901e-05	61	47	Unpaired; author supplied processed values; no new transformation	-0.8783954268620029	125.0	910.0	-0.7584541062801933	3220406867.0	45	False	True	37	0.8222222222222222
M02	乙醇胺至磷酸乙醇胺短链	ethanolamine	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00189	NA	author_paired_case	45	45	mean_paired_difference_author_scale	1.3048617280472286	0.8854686843285118	1.7402628713878634	2.9676469143085604e-06	2.8597324810609762e-05	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	38	7	0	0.8444444444444444	0.15555555555555556	44	1	0.993418253510911	7.24222937054185e-06	3.53333008684011e-05	61	47	Unpaired; author supplied processed values; no new transformation	1.4133599405707002	932.0	103.0	0.8009661835748793	879936975.0	45	False	True	38	0.8444444444444444
M02	乙醇胺至磷酸乙醇胺短链	ethanolamine	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C00189	NA	author_paired_case	44	44	mean_paired_difference_author_scale	1.2321096663476794	0.8366747595153253	1.6660826698092188	4.903364928843627e-06	6.139865650030282e-05	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	37	7	0	0.8409090909090909	0.1590909090909091	44	1	0.993418253510911	7.24222937054185e-06	3.53333008684011e-05	61	47	Unpaired; author supplied processed values; no new transformation	1.1587591601344016	887.0	103.0	0.7919191919191919	2455286984.0	44	False	True	37	0.8409090909090909
M02	乙醇胺至磷酸乙醇胺短链	phosphoethanolamine	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00346	NA	author_paired_case	45	45	mean_paired_difference_author_scale	2.2859584036560596	1.753036987436184	2.8271064704290523	1.1975999105423957e-07	3.1736397629373487e-06	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	39	6	0	0.8666666666666667	0.13333333333333333	45	0	1.71789869941203	3.74328398131029e-12	2.72915698370918e-10	61	47	Unpaired; author supplied processed values; no new transformation	2.319235639656199	987.0	48.0	0.9072463768115943	1411074046.0	45	False	True	39	0.8666666666666667
M02	乙醇胺至磷酸乙醇胺短链	phosphoethanolamine	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C00346	NA	author_paired_case	45	45	mean_paired_difference_author_scale	2.2859584036560596	1.7317191677722097	2.7921635888968455	1.1975999105423957e-07	4.311359677952625e-06	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	39	6	0	0.8666666666666667	0.13333333333333333	45	0	1.71789869941203	3.74328398131029e-12	2.72915698370918e-10	61	47	Unpaired; author supplied processed values; no new transformation	2.319235639656199	987.0	48.0	0.9072463768115943	1095870722.0	45	False	True	39	0.8666666666666667
M03	胆碱与溶血磷脂重塑背景	choline	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_processed	KEGG:C00114	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.556493694851978	-0.7126285542466133	-0.4018035537983737	4.522526653276709e-07	7.190817378709968e-06	paired_processed	318.0	DONE	NA	CAMP_processed_original_author_pair_table	5	40	0	0.1111111111111111	0.8888888888888888	45	0	-1.03824245330727	1.26068519112757e-06	7.12176546566802e-06	61	47	Unpaired; author supplied processed values; no new transformation	-0.48943351240469823	70.0	965.0	-0.8647342995169082	2211657905.0	45	False	True	40	0.8888888888888888
M03	胆碱与溶血磷脂重塑背景	choline	BRCA	CAMP_BRCA1_Terunuma	04_ROBUSTNESS	20260921T112611Z_metabolite318_paired_v1	metabolite318_paired_v1	paired_author_available	KEGG:C00114	NA	author_paired_case	45	45	mean_paired_difference_author_scale	-0.556493694851978	-0.7099093484934826	-0.40483607879301514	4.522526653276709e-07	8.140547975898076e-06	paired_author_available	288.0	DONE	NA	CAMP_processed_original_author_pair_table	5	40	0	0.1111111111111111	0.8888888888888888	45	0	-1.03824245330727	1.26068519112757e-06	7.12176546566802e-06	61	47	Unpaired; author supplied processed values; no new transformation	-0.48943351240469823	70.0	965.0	-0.8647342995169082	2854835116.0	45	False	True	40	0.8888888888888888
